,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947020000,9.36000000,9.36000000,9.36000000,9.36000000,11.25000000,1667947079999,105.30000000,2,4.92800000,46.12608000,0
1,1667947080000,9.37000000,9.37000000,9.37000000,9.37000000,76.84200000,1667947139999,720.00954000,1,0.00000000,0.00000000,0
2,1667947140000,9.36000000,9.36000000,9.36000000,9.36000000,156.32300000,1667947199999,1463.18328000,8,156.32300000,1463.18328000,0
3,1667947200000,9.36000000,9.36000000,9.36000000,9.36000000,49.20800000,1667947259999,460.58688000,2,43.67700000,408.81672000,0
4,1667947260000,9.37000000,9.37000000,9.37000000,9.37000000,5.53100000,1667947319999,51.82547000,1,5.53100000,51.82547000,0
5,1667947320000,9.36000000,9.37000000,9.35000000,9.37000000,21.78000000,1667947379999,203.80911000,3,5.53700000,51.88169000,0
6,1667947380000,9.38000000,9.42000000,9.38000000,9.42000000,33.94500000,1667947439999,319.20773000,8,7.39100000,69.47540000,0
7,1667947440000,9.42000000,9.42000000,9.42000000,9.42000000,1.73900000,1667947499999,16.38138000,1,0.00000000,0.00000000,0
8,1667947500000,9.39000000,9.39000000,9.38000000,9.38000000,21.27400000,1667947559999,199.64705000,4,0.00000000,0.00000000,0
9,1667947560000,9.38000000,9.38000000,9.38000000,9.38000000,8.04400000,1667947619999,75.45272000,1,0.00000000,0.00000000,0
10,1667947620000,9.40000000,9.40000000,9.40000000,9.40000000,12.70100000,1667947679999,119.38940000,2,0.00000000,0.00000000,0
11,1667947680000,9.39000000,9.39000000,9.35000000,9.35000000,14.21700000,1667947739999,133.36407000,3,0.00000000,0.00000000,0
12,1667947740000,9.36000000,9.36000000,9.34000000,9.34000000,437.42700000,1667947799999,4088.84084000,13,0.00000000,0.00000000,0
13,1667947800000,9.34000000,9.34000000,9.34000000,9.34000000,0.00000000,1667947859999,0.00000000,0,0.00000000,0.00000000,0
14,1667947860000,9.35000000,9.35000000,9.35000000,9.35000000,32.01400000,1667947919999,299.33090000,1,32.01400000,299.33090000,0
15,1667947920000,9.36000000,9.36000000,9.35000000,9.35000000,14.83700000,1667947979999,138.80431000,2,0.00000000,0.00000000,0
16,1667947980000,9.37000000,9.40000000,9.37000000,9.40000000,31.20500000,1667948039999,292.70449000,5,14.63500000,137.24392000,0
17,1667948040000,9.40000000,9.40000000,9.39000000,9.39000000,8.77100000,1667948099999,82.37043000,2,0.00000000,0.00000000,0
18,1667948100000,9.40000000,9.41000000,9.40000000,9.41000000,7.32800000,1667948159999,68.89489000,2,1.16900000,11.00029000,0
19,1667948160000,9.41000000,9.41000000,9.40000000,9.40000000,11.83500000,1667948219999,111.30210000,2,5.31000000,49.96710000,0
20,1667948220000,9.39000000,9.39000000,9.39000000,9.39000000,9.12400000,1667948279999,85.67436000,1,0.00000000,0.00000000,0
21,1667948280000,9.39000000,9.39000000,9.38000000,9.38000000,7.07400000,1667948339999,66.38390000,2,0.00000000,0.00000000,0
22,1667948340000,9.38000000,9.38000000,9.38000000,9.38000000,0.00000000,1667948399999,0.00000000,0,0.00000000,0.00000000,0
23,1667948400000,9.38000000,9.38000000,9.38000000,9.38000000,0.00000000,1667948459999,0.00000000,0,0.00000000,0.00000000,0
24,1667948460000,9.37000000,9.37000000,9.34000000,9.37000000,75.46300000,1667948519999,705.01878000,6,0.00000000,0.00000000,0
25,1667948520000,9.38000000,9.38000000,9.38000000,9.38000000,7.95200000,1667948579999,74.58976000,1,0.00000000,0.00000000,0
26,1667948580000,9.36000000,9.36000000,9.36000000,9.36000000,44.95800000,1667948639999,420.80688000,1,0.00000000,0.00000000,0
27,1667948640000,9.39000000,9.39000000,9.38000000,9.38000000,12.00000000,1667948699999,112.61669000,2,0.00000000,0.00000000,0
28,1667948700000,9.41000000,9.41000000,9.41000000,9.41000000,5.31300000,1667948759999,49.99533000,1,5.31300000,49.99533000,0
