,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946660000,0.00004407,0.00004407,0.00004407,0.00004407,0.00000000,1667946719999,0.00000000,0,0.00000000,0.00000000,0
1,1667946720000,0.00004407,0.00004407,0.00004407,0.00004407,0.00000000,1667946779999,0.00000000,0,0.00000000,0.00000000,0
2,1667946780000,0.00004407,0.00004407,0.00004407,0.00004407,0.00000000,1667946839999,0.00000000,0,0.00000000,0.00000000,0
3,1667946840000,0.00004403,0.00004403,0.00004403,0.00004403,14.00000000,1667946899999,0.00061642,1,14.00000000,0.00061642,0
4,1667946900000,0.00004394,0.00004394,0.00004383,0.00004383,370.90000000,1667946959999,0.01629347,3,353.90000000,0.01554836,0
5,1667946960000,0.00004383,0.00004383,0.00004383,0.00004383,0.00000000,1667947019999,0.00000000,0,0.00000000,0.00000000,0
6,1667947020000,0.00004383,0.00004383,0.00004383,0.00004383,0.00000000,1667947079999,0.00000000,0,0.00000000,0.00000000,0
7,1667947080000,0.00004390,0.00004390,0.00004389,0.00004389,68.70000000,1667947139999,0.00301583,2,9.10000000,0.00039939,0
8,1667947140000,0.00004389,0.00004389,0.00004389,0.00004389,30.50000000,1667947199999,0.00133863,2,9.40000000,0.00041256,0
9,1667947200000,0.00004391,0.00004398,0.00004391,0.00004398,400.00000000,1667947259999,0.01757800,2,400.00000000,0.01757800,0
10,1667947260000,0.00004398,0.00004398,0.00004398,0.00004398,0.00000000,1667947319999,0.00000000,0,0.00000000,0.00000000,0
11,1667947320000,0.00004398,0.00004398,0.00004398,0.00004398,0.00000000,1667947379999,0.00000000,0,0.00000000,0.00000000,0
12,1667947380000,0.00004398,0.00004398,0.00004398,0.00004398,0.00000000,1667947439999,0.00000000,0,0.00000000,0.00000000,0
13,1667947440000,0.00004398,0.00004398,0.00004398,0.00004398,0.00000000,1667947499999,0.00000000,0,0.00000000,0.00000000,0
14,1667947500000,0.00004397,0.00004398,0.00004397,0.00004398,1250.50000000,1667947559999,0.05499498,5,768.50000000,0.03379663,0
15,1667947560000,0.00004398,0.00004398,0.00004398,0.00004398,0.00000000,1667947619999,0.00000000,0,0.00000000,0.00000000,0
16,1667947620000,0.00004403,0.00004411,0.00004403,0.00004411,311.80000000,1667947679999,0.01374760,7,60.80000000,0.00267702,0
17,1667947680000,0.00004411,0.00004411,0.00004411,0.00004411,0.00000000,1667947739999,0.00000000,0,0.00000000,0.00000000,0
18,1667947740000,0.00004411,0.00004411,0.00004411,0.00004411,0.00000000,1667947799999,0.00000000,0,0.00000000,0.00000000,0
19,1667947800000,0.00004390,0.00004390,0.00004390,0.00004390,449.60000000,1667947859999,0.01973744,4,0.00000000,0.00000000,0
20,1667947860000,0.00004385,0.00004392,0.00004385,0.00004391,706.40000000,1667947919999,0.03100610,5,0.00000000,0.00000000,0
21,1667947920000,0.00004393,0.00004393,0.00004393,0.00004393,51.00000000,1667947979999,0.00224043,1,51.00000000,0.00224043,0
22,1667947980000,0.00004403,0.00004403,0.00004403,0.00004403,200.00000000,1667948039999,0.00880600,1,0.00000000,0.00000000,0
