,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947140000,1.32000000,1.32900000,1.31800000,1.31800000,1582.60000000,1667947199999,2094.27610000,18,1267.20000000,1678.14990000,0
1,1667947200000,1.31800000,1.32400000,1.31200000,1.31200000,689.30000000,1667947259999,908.12140000,14,401.60000000,529.85240000,0
2,1667947260000,1.31100000,1.31900000,1.31100000,1.31300000,799.10000000,1667947319999,1050.39530000,9,55.20000000,72.47760000,0
3,1667947320000,1.31400000,1.32200000,1.31100000,1.31300000,1202.90000000,1667947379999,1588.15480000,12,105.00000000,138.81000000,0
4,1667947380000,1.31300000,1.31300000,1.31300000,1.31300000,293.70000000,1667947439999,385.62810000,4,0.00000000,0.00000000,0
5,1667947440000,1.31300000,1.31300000,1.31200000,1.31200000,159.50000000,1667947499999,209.41520000,6,0.00000000,0.00000000,0
6,1667947500000,1.31300000,1.32200000,1.31300000,1.31500000,195.30000000,1667947559999,256.75650000,5,2.80000000,3.70160000,0
7,1667947560000,1.31500000,1.32200000,1.31400000,1.31600000,307.30000000,1667947619999,404.66730000,11,71.70000000,94.78740000,0
8,1667947620000,1.31700000,1.31700000,1.31700000,1.31700000,167.60000000,1667947679999,220.72920000,3,0.00000000,0.00000000,0
9,1667947680000,1.31500000,1.32600000,1.31500000,1.31700000,280.10000000,1667947739999,369.91560000,7,140.20000000,185.83450000,0
10,1667947740000,1.31500000,1.31700000,1.31500000,1.31500000,162.70000000,1667947799999,214.04910000,5,0.00000000,0.00000000,0
11,1667947800000,1.31400000,1.31500000,1.31400000,1.31500000,139.70000000,1667947859999,183.59190000,3,0.00000000,0.00000000,0
12,1667947860000,1.31500000,1.31500000,1.31400000,1.31400000,183.50000000,1667947919999,241.23140000,4,0.00000000,0.00000000,0
13,1667947920000,1.31500000,1.32400000,1.31300000,1.32400000,413.60000000,1667947979999,544.49430000,8,295.70000000,389.47910000,0
14,1667947980000,1.31500000,1.32600000,1.31500000,1.32500000,273.80000000,1667948039999,361.52490000,5,22.30000000,29.56980000,0
15,1667948040000,1.31900000,1.32800000,1.31900000,1.32000000,254.40000000,1667948099999,336.05240000,7,95.10000000,125.76480000,0
16,1667948100000,1.32000000,1.32900000,1.31900000,1.31900000,1168.80000000,1667948159999,1544.24360000,12,710.10000000,938.88590000,0
17,1667948160000,1.32300000,1.32300000,1.31900000,1.31900000,243.60000000,1667948219999,321.70510000,6,0.00000000,0.00000000,0
18,1667948220000,1.32100000,1.32100000,1.31100000,1.31400000,2768.80000000,1667948279999,3647.38840000,26,866.10000000,1140.03820000,0
19,1667948280000,1.31400000,1.32300000,1.31400000,1.32300000,339.50000000,1667948339999,447.61680000,6,20.60000000,27.23320000,0
20,1667948340000,1.32200000,1.32200000,1.31500000,1.31500000,211.90000000,1667948399999,279.41940000,4,7.60000000,10.04720000,0
21,1667948400000,1.31500000,1.31700000,1.31500000,1.31700000,234.00000000,1667948459999,307.97550000,5,0.00000000,0.00000000,0
22,1667948460000,1.31600000,1.33300000,1.31600000,1.33300000,1088.20000000,1667948519999,1439.54080000,16,741.40000000,983.15200000,0
23,1667948520000,1.32200000,1.32300000,1.31500000,1.31500000,700.10000000,1667948579999,923.31770000,15,302.00000000,398.95340000,0
24,1667948580000,1.31500000,1.31500000,1.31300000,1.31500000,302.30000000,1667948639999,397.52430000,8,0.00000000,0.00000000,0
25,1667948640000,1.31500000,1.32000000,1.31500000,1.31600000,696.10000000,1667948699999,918.06860000,6,111.20000000,146.78400000,0
26,1667948700000,1.31600000,1.31800000,1.31600000,1.31800000,238.30000000,1667948759999,313.82150000,3,0.00000000,0.00000000,0
27,1667948760000,1.32400000,1.33200000,1.31700000,1.33200000,3491.80000000,1667948819999,4647.81070000,17,1031.50000000,1372.50030000,0
28,1667948820000,1.32500000,1.32500000,1.32500000,1.32500000,238.00000000,1667948879999,315.35000000,6,0.00000000,0.00000000,0
29,1667948880000,1.32100000,1.33100000,1.32000000,1.32900000,1207.80000000,1667948939999,1605.50750000,16,424.30000000,564.70930000,0
30,1667948940000,1.32900000,1.32900000,1.32800000,1.32900000,278.60000000,1667948999999,370.24110000,6,0.00000000,0.00000000,0
31,1667949000000,1.32900000,1.33200000,1.32300000,1.32800000,277.00000000,1667949059999,367.67640000,6,25.20000000,33.52560000,0
32,1667949060000,1.32400000,1.32400000,1.32000000,1.32000000,367.20000000,1667949119999,485.41230000,10,0.00000000,0.00000000,0
33,1667949120000,1.32100000,1.32300000,1.32100000,1.32300000,308.10000000,1667949179999,407.25550000,6,0.00000000,0.00000000,0
34,1667949180000,1.32300000,1.33300000,1.32300000,1.33200000,400.60000000,1667949239999,532.14840000,9,241.40000000,320.91180000,0
35,1667949240000,1.32900000,1.33500000,1.32900000,1.32900000,123.60000000,1667949299999,164.43960000,5,29.20000000,38.98200000,0
36,1667949300000,1.32900000,1.33100000,1.32900000,1.33100000,155.20000000,1667949359999,206.31640000,4,0.00000000,0.00000000,0
37,1667949360000,1.32900000,1.33100000,1.32900000,1.33100000,216.00000000,1667949419999,287.42240000,5,0.00000000,0.00000000,0
38,1667949420000,1.33100000,1.33200000,1.32900000,1.32900000,174.00000000,1667949479999,231.51700000,6,0.00000000,0.00000000,0
39,1667949480000,1.32900000,1.33400000,1.32900000,1.32900000,634.30000000,1667949539999,842.99470000,7,82.80000000,110.05120000,0
40,1667949540000,1.33000000,1.33000000,1.32900000,1.32900000,301.50000000,1667949599999,400.87290000,4,179.40000000,238.60200000,0
41,1667949600000,1.33000000,1.33100000,1.33000000,1.33100000,113.90000000,1667949659999,151.56780000,4,7.60000000,10.11560000,0
