,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946660000,7.32000000,7.32000000,7.31000000,7.31000000,209.69000000,1667946719999,1534.42240000,12,158.85000000,1162.78200000,0
1,1667946720000,7.31000000,7.33000000,7.30000000,7.33000000,153.16000000,1667946779999,1121.47540000,15,134.74000000,986.94940000,0
2,1667946780000,7.33000000,7.33000000,7.31000000,7.32000000,267.47000000,1667946839999,1958.23330000,17,127.88000000,936.56160000,0
3,1667946840000,7.32000000,7.33000000,7.32000000,7.32000000,408.91000000,1667946899999,2994.89630000,20,374.21000000,2740.89230000,0
4,1667946900000,7.31000000,7.31000000,7.30000000,7.31000000,233.98000000,1667946959999,1709.74660000,18,86.52000000,632.46120000,0
5,1667946960000,7.31000000,7.33000000,7.31000000,7.33000000,87.96000000,1667947019999,644.00340000,8,87.96000000,644.00340000,0
6,1667947020000,7.32000000,7.32000000,7.30000000,7.32000000,311.86000000,1667947079999,2280.23130000,16,92.56000000,677.53920000,0
7,1667947080000,7.31000000,7.33000000,7.31000000,7.32000000,194.51000000,1667947139999,1422.86320000,9,97.04000000,710.35750000,0
8,1667947140000,7.31000000,7.31000000,7.29000000,7.31000000,322.92000000,1667947199999,2358.28710000,17,85.63000000,625.95530000,0
9,1667947200000,7.30000000,7.31000000,7.29000000,7.29000000,374.75000000,1667947259999,2734.00460000,25,63.39000000,462.98540000,0
10,1667947260000,7.30000000,7.31000000,7.30000000,7.31000000,150.23000000,1667947319999,1097.18250000,11,91.11000000,665.60650000,0
11,1667947320000,7.31000000,7.32000000,7.30000000,7.32000000,563.69000000,1667947379999,4121.07730000,31,339.28000000,2480.76940000,0
12,1667947380000,7.32000000,7.32000000,7.32000000,7.32000000,45.60000000,1667947439999,333.79200000,4,45.60000000,333.79200000,0
13,1667947440000,7.31000000,7.31000000,7.30000000,7.31000000,336.03000000,1667947499999,2454.37400000,16,104.10000000,760.97100000,0
14,1667947500000,7.30000000,7.31000000,7.30000000,7.31000000,291.38000000,1667947559999,2128.96730000,13,189.33000000,1384.00230000,0
15,1667947560000,7.30000000,7.32000000,7.30000000,7.31000000,311.62000000,1667947619999,2277.47910000,29,143.06000000,1046.20760000,0
16,1667947620000,7.31000000,7.33000000,7.31000000,7.33000000,207.78000000,1667947679999,1520.42710000,22,76.68000000,561.49070000,0
17,1667947680000,7.33000000,7.33000000,7.32000000,7.32000000,223.65000000,1667947739999,1637.55960000,14,60.37000000,442.35000000,0
18,1667947740000,7.31000000,7.31000000,7.26000000,7.28000000,682.16000000,1667947799999,4970.22610000,53,437.27000000,3185.85930000,0
19,1667947800000,7.27000000,7.29000000,7.27000000,7.28000000,458.94000000,1667947859999,3340.67700000,25,312.90000000,2278.96620000,0
20,1667947860000,7.27000000,7.28000000,7.26000000,7.28000000,275.88000000,1667947919999,2007.37890000,10,57.32000000,417.28960000,0
21,1667947920000,7.28000000,7.28000000,7.28000000,7.28000000,39.79000000,1667947979999,289.67120000,2,39.79000000,289.67120000,0
22,1667947980000,7.28000000,7.32000000,7.28000000,7.32000000,441.61000000,1667948039999,3220.24060000,31,407.44000000,2970.79960000,0
23,1667948040000,7.33000000,7.34000000,7.32000000,7.33000000,1097.12000000,1667948099999,8047.53010000,39,117.96000000,864.99040000,0
24,1667948100000,7.32000000,7.34000000,7.32000000,7.34000000,272.25000000,1667948159999,1995.38940000,18,201.12000000,1474.71780000,0
25,1667948160000,7.34000000,7.34000000,7.33000000,7.33000000,82.54000000,1667948219999,605.24280000,6,22.46000000,164.85640000,0
26,1667948220000,7.33000000,7.33000000,7.33000000,7.33000000,4.00000000,1667948279999,29.32000000,1,4.00000000,29.32000000,0
27,1667948280000,7.32000000,7.32000000,7.30000000,7.30000000,212.84000000,1667948339999,1555.71770000,11,0.00000000,0.00000000,0
28,1667948340000,7.30000000,7.31000000,7.30000000,7.31000000,436.26000000,1667948399999,3188.78700000,20,204.85000000,1497.45350000,0
29,1667948400000,7.30000000,7.30000000,7.29000000,7.29000000,538.58000000,1667948459999,3928.27970000,52,75.14000000,548.52200000,0
30,1667948460000,7.29000000,7.30000000,7.26000000,7.27000000,1129.45000000,1667948519999,8221.97270000,71,171.74000000,1249.59400000,0
31,1667948520000,7.27000000,7.30000000,7.27000000,7.30000000,984.74000000,1667948579999,7165.70130000,101,410.62000000,2991.84890000,0
32,1667948580000,7.29000000,7.31000000,7.29000000,7.31000000,632.00000000,1667948639999,4615.50010000,51,370.48000000,2706.38950000,0
33,1667948640000,7.32000000,7.33000000,7.32000000,7.33000000,363.04000000,1667948699999,2658.73440000,12,363.04000000,2658.73440000,0
34,1667948700000,7.33000000,7.35000000,7.33000000,7.35000000,352.35000000,1667948759999,2585.99730000,18,245.55000000,1803.15330000,0
35,1667948760000,7.35000000,7.36000000,7.35000000,7.35000000,296.87000000,1667948819999,2182.15030000,12,15.58000000,114.66880000,0
36,1667948820000,7.36000000,7.36000000,7.34000000,7.34000000,104.56000000,1667948879999,768.86140000,9,40.82000000,300.40800000,0
37,1667948880000,7.34000000,7.34000000,7.33000000,7.33000000,288.75000000,1667948939999,2118.41930000,12,0.00000000,0.00000000,0
