,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946720000,0.01700000,0.01709000,0.01700000,0.01706000,218559.20000000,1667946779999,3724.65402600,40,135571.10000000,2308.39478800,0
1,1667946780000,0.01705000,0.01708000,0.01703000,0.01705000,135969.40000000,1667946839999,2318.62673300,26,42573.20000000,726.32551300,0
2,1667946840000,0.01704000,0.01706000,0.01699000,0.01699000,215000.70000000,1667946899999,3662.92092300,49,124810.00000000,2127.73582600,0
3,1667946900000,0.01699000,0.01699000,0.01693000,0.01696000,176143.50000000,1667946959999,2987.52505300,46,89325.90000000,1514.91110600,0
4,1667946960000,0.01695000,0.01701000,0.01694000,0.01701000,149376.10000000,1667947019999,2535.18485300,39,115107.10000000,1954.36781300,0
5,1667947020000,0.01701000,0.01701000,0.01695000,0.01696000,88156.10000000,1667947079999,1496.61251600,42,38057.60000000,646.15816500,0
6,1667947080000,0.01697000,0.01699000,0.01694000,0.01694000,32754.40000000,1667947139999,555.41563800,20,11156.80000000,189.30063600,0
7,1667947140000,0.01694000,0.01696000,0.01691000,0.01692000,150997.00000000,1667947199999,2557.58819500,48,47525.60000000,805.15871900,0
8,1667947200000,0.01691000,0.01691000,0.01688000,0.01689000,356610.20000000,1667947259999,6024.67508000,32,25321.80000000,427.89068100,0
9,1667947260000,0.01691000,0.01693000,0.01691000,0.01692000,38881.40000000,1667947319999,657.94673600,12,17459.50000000,295.40941100,0
10,1667947320000,0.01694000,0.01697000,0.01694000,0.01695000,55515.20000000,1667947379999,941.07684400,14,16183.80000000,274.30645600,0
11,1667947380000,0.01697000,0.01697000,0.01697000,0.01697000,225945.40000000,1667947439999,3834.29343800,14,15421.90000000,261.70964300,0
12,1667947440000,0.01697000,0.01697000,0.01693000,0.01694000,47632.70000000,1667947499999,807.69775000,20,19096.50000000,323.79930400,0
13,1667947500000,0.01693000,0.01693000,0.01688000,0.01689000,129230.10000000,1667947559999,2184.91994700,25,77863.20000000,1316.64191000,0
14,1667947560000,0.01689000,0.01689000,0.01689000,0.01689000,135339.50000000,1667947619999,2285.88415500,12,128363.80000000,2168.06458200,0
15,1667947620000,0.01690000,0.01690000,0.01690000,0.01690000,300662.90000000,1667947679999,5081.20301000,28,274002.90000000,4630.64901000,0
16,1667947680000,0.01690000,0.01690000,0.01682000,0.01683000,812349.20000000,1667947739999,13697.06322900,75,28340.20000000,477.36082600,0
17,1667947740000,0.01683000,0.01683000,0.01669000,0.01672000,1437087.50000000,1667947799999,24079.86036000,153,613245.00000000,10273.36293200,0
18,1667947800000,0.01672000,0.01672000,0.01664000,0.01666000,2474675.90000000,1667947859999,41258.45923000,80,240701.00000000,4023.02908100,0
19,1667947860000,0.01667000,0.01675000,0.01667000,0.01674000,683512.30000000,1667947919999,11428.60631300,53,631088.90000000,10551.00612400,0
20,1667947920000,0.01675000,0.01677000,0.01674000,0.01675000,546199.30000000,1667947979999,9156.77913600,45,502079.20000000,8417.87022400,0
21,1667947980000,0.01677000,0.01690000,0.01677000,0.01690000,383260.50000000,1667948039999,6448.77878400,53,228754.70000000,3852.26675200,0
22,1667948040000,0.01688000,0.01691000,0.01687000,0.01688000,169113.80000000,1667948099999,2856.86458200,34,76243.80000000,1287.69986700,0
23,1667948100000,0.01689000,0.01689000,0.01686000,0.01689000,106510.50000000,1667948159999,1797.31465100,10,24866.30000000,419.99180700,0
24,1667948160000,0.01689000,0.01691000,0.01687000,0.01687000,118508.70000000,1667948219999,2001.31497000,16,10911.80000000,184.41298600,0
