,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947140000,0.95700000,0.95900000,0.95500000,0.95600000,11705.27000000,1667947199999,11190.86107000,54,1879.96000000,1801.67062000,0
1,1667947200000,0.95600000,0.96000000,0.95500000,0.95800000,20722.04000000,1667947259999,19843.00154000,83,10597.09000000,10153.77213000,0
2,1667947260000,0.95800000,0.96200000,0.95800000,0.96100000,77792.69000000,1667947319999,74740.83453000,104,60668.51000000,58299.66759000,0
3,1667947320000,0.96100000,0.96300000,0.96000000,0.96300000,7923.70000000,1667947379999,7616.01938000,41,2362.83000000,2272.40683000,0
4,1667947380000,0.96300000,0.96500000,0.96300000,0.96400000,13739.00000000,1667947439999,13237.30627000,33,8004.48000000,7711.42595000,0
5,1667947440000,0.96300000,0.96400000,0.95900000,0.95900000,58068.22000000,1667947499999,55894.18319000,107,1214.52000000,1165.99728000,0
6,1667947500000,0.95900000,0.95900000,0.95600000,0.95900000,44357.65000000,1667947559999,42491.99317000,99,32248.30000000,30896.11400000,0
7,1667947560000,0.95800000,0.95900000,0.95700000,0.95900000,26795.80000000,1667947619999,25692.15864000,37,24274.44000000,23277.04464000,0
8,1667947620000,0.95900000,0.96000000,0.95800000,0.96000000,2835.04000000,1667947679999,2718.72516000,23,927.29000000,889.88721000,0
9,1667947680000,0.96000000,0.96000000,0.95700000,0.95800000,15784.61000000,1667947739999,15123.77616000,54,583.85000000,560.25044000,0
10,1667947740000,0.95800000,0.95800000,0.95000000,0.95000000,42774.08000000,1667947799999,40728.21167000,165,8804.35000000,8388.84996000,0
11,1667947800000,0.95100000,0.95100000,0.94800000,0.95000000,13799.50000000,1667947859999,13095.14757000,58,1798.16000000,1707.69459000,0
12,1667947860000,0.94900000,0.95200000,0.94800000,0.95200000,13308.71000000,1667947919999,12654.10736000,57,8337.97000000,7923.99659000,0
13,1667947920000,0.95100000,0.95100000,0.94700000,0.94900000,46255.29000000,1667947979999,43906.85410000,80,12976.62000000,12326.23574000,0
14,1667947980000,0.94900000,0.95600000,0.94900000,0.95500000,46138.18000000,1667948039999,43908.95180000,82,42168.64000000,40127.97629000,0
15,1667948040000,0.95600000,0.95800000,0.95600000,0.95700000,16186.03000000,1667948099999,15485.55069000,68,8731.56000000,8356.15765000,0
16,1667948100000,0.95800000,0.95900000,0.95800000,0.95900000,6405.66000000,1667948159999,6137.45338000,35,4571.32000000,4380.15566000,0
17,1667948160000,0.95800000,0.96100000,0.95800000,0.95900000,27054.23000000,1667948219999,25974.34209000,71,12782.74000000,12274.83022000,0
18,1667948220000,0.95900000,0.95900000,0.95500000,0.95700000,18651.43000000,1667948279999,17859.77743000,64,5088.43000000,4866.60860000,0
