,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947140000,1.34300000,1.34400000,1.34300000,1.34400000,601.31000000,1667947199999,808.01172000,6,469.43000000,630.76500000,0
1,1667947200000,1.34400000,1.34600000,1.34400000,1.34600000,1821.64000000,1667947259999,2450.24562000,13,1670.48000000,2246.98154000,0
2,1667947260000,1.34500000,1.34900000,1.34500000,1.34900000,1828.82000000,1667947319999,2462.03634000,5,1263.43000000,1701.02140000,0
3,1667947320000,1.34900000,1.34900000,1.34900000,1.34900000,21.95000000,1667947379999,29.61055000,1,21.95000000,29.61055000,0
4,1667947380000,1.34900000,1.34900000,1.34900000,1.34900000,7.44000000,1667947439999,10.03656000,1,7.44000000,10.03656000,0
5,1667947440000,1.34900000,1.34900000,1.34900000,1.34900000,0.00000000,1667947499999,0.00000000,0,0.00000000,0.00000000,0
6,1667947500000,1.34900000,1.34900000,1.34900000,1.34900000,0.00000000,1667947559999,0.00000000,0,0.00000000,0.00000000,0
7,1667947560000,1.34000000,1.34000000,1.34000000,1.34000000,89.79000000,1667947619999,120.31860000,2,0.00000000,0.00000000,0
8,1667947620000,1.35100000,1.35100000,1.34200000,1.34200000,449.18000000,1667947679999,604.72426000,4,164.37000000,220.68156000,0
9,1667947680000,1.34600000,1.34600000,1.34600000,1.34600000,57.45000000,1667947739999,77.32770000,1,0.00000000,0.00000000,0
10,1667947740000,1.34500000,1.34500000,1.34500000,1.34500000,112.88000000,1667947799999,151.82360000,2,0.00000000,0.00000000,0
11,1667947800000,1.34200000,1.34200000,1.34200000,1.34200000,112.03000000,1667947859999,150.34426000,2,0.00000000,0.00000000,0
12,1667947860000,1.34100000,1.34100000,1.34000000,1.34000000,318.08000000,1667947919999,426.34028000,5,0.00000000,0.00000000,0
13,1667947920000,1.34000000,1.34000000,1.34000000,1.34000000,237.00000000,1667947979999,317.58000000,2,0.00000000,0.00000000,0
14,1667947980000,1.34000000,1.34000000,1.33900000,1.33900000,527.00000000,1667948039999,705.90000000,2,0.00000000,0.00000000,0
15,1667948040000,1.33900000,1.33900000,1.33900000,1.33900000,213.00000000,1667948099999,285.20700000,1,0.00000000,0.00000000,0
16,1667948100000,1.34000000,1.34000000,1.34000000,1.34000000,478.00000000,1667948159999,640.52000000,4,0.00000000,0.00000000,0
17,1667948160000,1.34000000,1.34000000,1.34000000,1.34000000,0.00000000,1667948219999,0.00000000,0,0.00000000,0.00000000,0
18,1667948220000,1.34000000,1.34500000,1.34000000,1.34300000,2901.71000000,1667948279999,3892.50929000,13,8.95000000,12.03775000,0
19,1667948280000,1.34100000,1.34700000,1.34100000,1.34200000,2159.67000000,1667948339999,2905.56620000,14,1647.87000000,2218.71402000,0
20,1667948340000,1.34100000,1.34300000,1.34100000,1.34200000,317.26000000,1667948399999,425.83733000,4,19.32000000,25.92744000,0
21,1667948400000,1.34000000,1.34000000,1.33900000,1.33900000,312.29000000,1667948459999,418.17560000,3,0.00000000,0.00000000,0
22,1667948460000,1.33900000,1.33900000,1.32200000,1.33700000,8361.60000000,1667948519999,11134.78657000,49,2885.61000000,3839.17525000,0
23,1667948520000,1.33200000,1.33200000,1.33200000,1.33200000,45.62000000,1667948579999,60.76584000,1,45.62000000,60.76584000,0
24,1667948580000,1.33400000,1.33400000,1.33200000,1.33200000,71.84000000,1667948639999,95.69558000,3,58.61000000,78.07322000,0
25,1667948640000,1.33300000,1.33300000,1.33100000,1.33100000,295.66000000,1667948699999,394.08946000,2,283.00000000,377.23900000,0
26,1667948700000,1.33300000,1.33600000,1.33300000,1.33600000,686.40000000,1667948759999,915.04513000,4,686.40000000,915.04513000,0
27,1667948760000,1.33700000,1.33700000,1.33700000,1.33700000,56.97000000,1667948819999,76.16889000,1,56.97000000,76.16889000,0
28,1667948820000,1.33700000,1.33700000,1.33700000,1.33700000,0.00000000,1667948879999,0.00000000,0,0.00000000,0.00000000,0
29,1667948880000,1.33700000,1.33700000,1.33700000,1.33700000,0.00000000,1667948939999,0.00000000,0,0.00000000,0.00000000,0
30,1667948940000,1.33700000,1.33700000,1.33700000,1.33700000,0.00000000,1667948999999,0.00000000,0,0.00000000,0.00000000,0
31,1667949000000,1.34000000,1.34600000,1.34000000,1.34600000,320.46000000,1667949059999,431.16372000,4,85.12000000,114.39608000,0
32,1667949060000,1.34600000,1.34600000,1.34600000,1.34600000,0.00000000,1667949119999,0.00000000,0,0.00000000,0.00000000,0
33,1667949120000,1.34000000,1.34000000,1.33300000,1.33300000,4611.62000000,1667949179999,6158.62249000,9,2544.77000000,3392.17841000,0
34,1667949180000,1.34000000,1.34000000,1.34000000,1.34000000,149.30000000,1667949239999,200.06200000,2,0.00000000,0.00000000,0
35,1667949240000,1.34000000,1.34000000,1.34000000,1.34000000,0.00000000,1667949299999,0.00000000,0,0.00000000,0.00000000,0
36,1667949300000,1.34100000,1.34300000,1.33800000,1.34300000,166.17000000,1667949359999,222.64437000,3,17.04000000,22.88472000,0
37,1667949360000,1.34300000,1.34300000,1.34300000,1.34300000,0.00000000,1667949419999,0.00000000,0,0.00000000,0.00000000,0
38,1667949420000,1.34300000,1.34300000,1.34300000,1.34300000,0.00000000,1667949479999,0.00000000,0,0.00000000,0.00000000,0
39,1667949480000,1.34300000,1.34300000,1.34300000,1.34300000,0.00000000,1667949539999,0.00000000,0,0.00000000,0.00000000,0
40,1667949540000,1.33800000,1.33800000,1.33700000,1.33800000,43.31000000,1667949599999,57.94457000,3,0.00000000,0.00000000,0
41,1667949600000,1.33800000,1.34400000,1.33700000,1.34400000,154.04000000,1667949659999,206.09754000,4,2.39000000,3.21216000,0
