,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946840000,0.09132000,0.09138000,0.09124000,0.09138000,0.09790000,1667946899999,0.00893680,4,0.09460000,0.00863557,0
1,1667946900000,0.09144000,0.09144000,0.09129000,0.09129000,0.11790000,1667946959999,0.01076337,5,0.05810000,0.00530424,0
2,1667946960000,0.09126000,0.09126000,0.09104000,0.09104000,2.93440000,1667947019999,0.26726379,10,0.00000000,0.00000000,0
3,1667947020000,0.09126000,0.09144000,0.09126000,0.09144000,0.14200000,1667947079999,0.01297190,7,0.08330000,0.00760966,0
4,1667947080000,0.09137000,0.09145000,0.09137000,0.09145000,0.11510000,1667947139999,0.01051670,2,0.11510000,0.01051670,0
5,1667947140000,0.09146000,0.09154000,0.09146000,0.09154000,1.57540000,1667947199999,0.14408833,9,1.57540000,0.14408833,0
6,1667947200000,0.09160000,0.09163000,0.09157000,0.09157000,0.14220000,1667947259999,0.01302262,7,0.14220000,0.01302262,0
7,1667947260000,0.09155000,0.09155000,0.09138000,0.09138000,0.03990000,1667947319999,0.00365144,4,0.03260000,0.00298425,0
8,1667947320000,0.09140000,0.09172000,0.09137000,0.09172000,2.59310000,1667947379999,0.23763773,12,2.57770000,0.23623056,0
9,1667947380000,0.09152000,0.09152000,0.09152000,0.09152000,0.01480000,1667947439999,0.00135449,1,0.01480000,0.00135449,0
10,1667947440000,0.09151000,0.09162000,0.09151000,0.09162000,0.16570000,1667947499999,0.01516879,4,0.16440000,0.01504983,0
11,1667947500000,0.09162000,0.09162000,0.09162000,0.09162000,0.11480000,1667947559999,0.01051797,1,0.11480000,0.01051797,0
12,1667947560000,0.09162000,0.09162000,0.09162000,0.09162000,0.00000000,1667947619999,0.00000000,0,0.00000000,0.00000000,0
13,1667947620000,0.09149000,0.09149000,0.09144000,0.09149000,0.13780000,1667947679999,0.01260157,4,0.12130000,0.01109209,0
14,1667947680000,0.09160000,0.09173000,0.09151000,0.09173000,0.33150000,1667947739999,0.03037226,8,0.32300000,0.02959443,0
15,1667947740000,0.09176000,0.09200000,0.09170000,0.09200000,2.81910000,1667947799999,0.25919876,30,2.81470000,0.25879491,0
16,1667947800000,0.09199000,0.09200000,0.09193000,0.09200000,0.78740000,1667947859999,0.07243948,3,0.78510000,0.07222805,0
17,1667947860000,0.09199000,0.09199000,0.09199000,0.09199000,0.11480000,1667947919999,0.01056045,1,0.11480000,0.01056045,0
18,1667947920000,0.09199000,0.09200000,0.09199000,0.09200000,0.51030000,1667947979999,0.04694645,4,0.51030000,0.04694645,0
19,1667947980000,0.09181000,0.09181000,0.09175000,0.09175000,0.02320000,1667948039999,0.00212912,4,0.00040000,0.00003670,0
