,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947020000,0.00791300,0.00794300,0.00791300,0.00792100,13.06800000,1667947079999,0.10371082,42,11.89600000,0.09441987,0
1,1667947080000,0.00792100,0.00795500,0.00792100,0.00794500,14.77100000,1667947139999,0.11727109,22,14.27300000,0.11331831,0
2,1667947140000,0.00795600,0.00796100,0.00794500,0.00794500,112.19200000,1667947199999,0.89162308,55,12.60900000,0.10035201,0
3,1667947200000,0.00793700,0.00797600,0.00793700,0.00797600,25.33000000,1667947259999,0.20128627,42,22.87300000,0.18178290,0
4,1667947260000,0.00797700,0.00799800,0.00796400,0.00799300,21.59800000,1667947319999,0.17242993,74,12.24100000,0.09780798,0
5,1667947320000,0.00798500,0.00807300,0.00798500,0.00807300,99.68100000,1667947379999,0.79980709,140,98.60400000,0.79118847,0
6,1667947380000,0.00807300,0.00826300,0.00807300,0.00823300,223.48600000,1667947439999,1.82211414,514,191.43500000,1.56077600,0
7,1667947440000,0.00821700,0.00822800,0.00811000,0.00816100,63.27300000,1667947499999,0.51656315,223,20.96100000,0.17116227,0
8,1667947500000,0.00816900,0.00816900,0.00797700,0.00798500,82.51300000,1667947559999,0.66240765,296,20.33100000,0.16319287,0
9,1667947560000,0.00799300,0.00815300,0.00799300,0.00811300,56.79700000,1667947619999,0.45836034,205,48.89600000,0.39432611,0
10,1667947620000,0.00812100,0.00821200,0.00807800,0.00818500,28.31500000,1667947679999,0.23083207,157,20.77200000,0.16950844,0
11,1667947680000,0.00819300,0.00819300,0.00809500,0.00815200,45.42200000,1667947739999,0.36928050,119,23.36500000,0.18971403,0
12,1667947740000,0.00815300,0.00815700,0.00807800,0.00808200,21.52000000,1667947799999,0.17444322,89,13.55300000,0.10987760,0
13,1667947800000,0.00808900,0.00812600,0.00793700,0.00801300,61.31400000,1667947859999,0.49192370,300,23.51900000,0.18946075,0
14,1667947860000,0.00799500,0.00807300,0.00799300,0.00802500,36.52300000,1667947919999,0.29345511,150,23.83300000,0.19163948,0
15,1667947920000,0.00802200,0.00806400,0.00799800,0.00803700,28.42500000,1667947979999,0.22857581,66,21.17600000,0.17041508,0
16,1667947980000,0.00803700,0.00807200,0.00803700,0.00804900,11.60400000,1667948039999,0.09352308,28,7.90800000,0.06373898,0
17,1667948040000,0.00806500,0.00817200,0.00806500,0.00817200,17.66400000,1667948099999,0.14340686,134,16.41000000,0.13322524,0
18,1667948100000,0.00817400,0.00818200,0.00811400,0.00818200,28.02400000,1667948159999,0.22851657,76,8.56700000,0.06994959,0
19,1667948160000,0.00818400,0.00825000,0.00808600,0.00814400,324.37700000,1667948219999,2.67138331,488,275.54600000,2.27151576,0
20,1667948220000,0.00814300,0.00816700,0.00812600,0.00815600,13.44600000,1667948279999,0.10956483,54,7.97300000,0.06499486,0
21,1667948280000,0.00814500,0.00817000,0.00813200,0.00817000,17.51500000,1667948339999,0.14267874,33,6.73100000,0.05485983,0
22,1667948340000,0.00817100,0.00820100,0.00814300,0.00819700,117.18800000,1667948399999,0.95667919,67,36.25300000,0.29688490,0
23,1667948400000,0.00818500,0.00818500,0.00811800,0.00811800,6.37400000,1667948459999,0.05198409,37,0.08300000,0.00067860,0
24,1667948460000,0.00811400,0.00811400,0.00801500,0.00801500,14.75700000,1667948519999,0.11901430,121,1.81800000,0.01465269,0
25,1667948520000,0.00801500,0.00812300,0.00801500,0.00809000,41.60800000,1667948579999,0.33653081,118,29.40900000,0.23808986,0
26,1667948580000,0.00810000,0.00812900,0.00808600,0.00809600,9.42800000,1667948639999,0.07642338,33,5.64200000,0.04577020,0
27,1667948640000,0.00810500,0.00817100,0.00810500,0.00811300,51.58400000,1667948699999,0.42018150,88,47.63000000,0.38804397,0
28,1667948700000,0.00811100,0.00812400,0.00809500,0.00809500,21.89900000,1667948759999,0.17774432,34,19.11700000,0.15520100,0
29,1667948760000,0.00810500,0.00822100,0.00804100,0.00804100,46.33100000,1667948819999,0.37685390,271,15.70300000,0.12816114,0
30,1667948820000,0.00804800,0.00806500,0.00800900,0.00803300,36.74000000,1667948879999,0.29554417,99,21.20500000,0.17071338,0
31,1667948880000,0.00804100,0.00806500,0.00800600,0.00804900,14.81700000,1667948939999,0.11905424,58,8.40700000,0.06760408,0
