,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947020000,58.60000000,58.60000000,58.60000000,58.60000000,0.14900000,1667947079999,8.73140000,1,0.00000000,0.00000000,0
1,1667947080000,58.60000000,58.60000000,58.60000000,58.60000000,0.00000000,1667947139999,0.00000000,0,0.00000000,0.00000000,0
2,1667947140000,58.50000000,58.50000000,58.40000000,58.40000000,6.08100000,1667947199999,355.31940000,7,2.85500000,166.76020000,0
3,1667947200000,58.30000000,58.30000000,58.20000000,58.20000000,6.21800000,1667947259999,361.93020000,5,4.19500000,244.14900000,0
4,1667947260000,58.20000000,58.20000000,58.20000000,58.20000000,0.00000000,1667947319999,0.00000000,0,0.00000000,0.00000000,0
5,1667947320000,58.40000000,58.50000000,58.30000000,58.30000000,12.26300000,1667947379999,715.48520000,7,2.97500000,173.99480000,0
6,1667947380000,58.50000000,58.50000000,58.50000000,58.50000000,4.62500000,1667947439999,270.56250000,2,4.62500000,270.56250000,0
7,1667947440000,58.40000000,58.40000000,58.40000000,58.40000000,3.40600000,1667947499999,198.91040000,1,3.40600000,198.91040000,0
8,1667947500000,58.40000000,58.40000000,58.30000000,58.30000000,0.94100000,1667947559999,54.91180000,2,0.51500000,30.07600000,0
9,1667947560000,58.30000000,58.40000000,58.30000000,58.40000000,16.57200000,1667947619999,967.29690000,4,16.57200000,967.29690000,0
10,1667947620000,58.40000000,58.40000000,58.40000000,58.40000000,0.00000000,1667947679999,0.00000000,0,0.00000000,0.00000000,0
11,1667947680000,58.50000000,58.50000000,58.50000000,58.50000000,1.42000000,1667947739999,83.07000000,3,0.42500000,24.86250000,0
12,1667947740000,58.40000000,58.40000000,58.00000000,58.00000000,306.04100000,1667947799999,17780.39560000,35,65.93000000,3826.75150000,0
13,1667947800000,57.90000000,57.90000000,57.80000000,57.90000000,83.12600000,1667947859999,4808.35950000,13,0.56600000,32.77140000,0
14,1667947860000,57.90000000,58.00000000,57.80000000,58.00000000,11.61900000,1667947919999,672.73360000,5,11.61900000,672.73360000,0
15,1667947920000,58.00000000,58.00000000,58.00000000,58.00000000,0.00000000,1667947979999,0.00000000,0,0.00000000,0.00000000,0
16,1667947980000,58.00000000,58.20000000,58.00000000,58.20000000,10.35300000,1667948039999,601.26810000,9,10.35300000,601.26810000,0
17,1667948040000,58.10000000,58.30000000,58.10000000,58.30000000,8.30400000,1667948099999,483.08480000,6,5.30700000,308.95910000,0
18,1667948100000,58.30000000,58.30000000,58.30000000,58.30000000,0.00000000,1667948159999,0.00000000,0,0.00000000,0.00000000,0
19,1667948160000,58.10000000,58.30000000,58.10000000,58.30000000,16.85000000,1667948219999,979.10740000,6,0.61200000,35.67960000,0
20,1667948220000,58.00000000,58.30000000,57.80000000,58.00000000,114.63300000,1667948279999,6666.31090000,27,43.14900000,2511.13290000,0
21,1667948280000,57.90000000,57.90000000,57.90000000,57.90000000,1.22700000,1667948339999,71.04330000,1,0.00000000,0.00000000,0
22,1667948340000,57.90000000,57.90000000,57.80000000,57.90000000,12.12600000,1667948399999,702.01790000,6,11.35100000,657.22290000,0
23,1667948400000,57.70000000,57.80000000,57.70000000,57.80000000,8.11900000,1667948459999,468.67150000,9,2.05200000,118.60560000,0
24,1667948460000,57.60000000,57.60000000,57.60000000,57.60000000,1.91800000,1667948519999,110.47680000,3,0.32000000,18.43200000,0
25,1667948520000,57.80000000,57.80000000,57.80000000,57.80000000,0.21500000,1667948579999,12.42700000,1,0.21500000,12.42700000,0
26,1667948580000,57.80000000,57.90000000,57.80000000,57.80000000,15.99300000,1667948639999,924.53770000,12,11.82400000,683.56950000,0
27,1667948640000,57.80000000,57.80000000,57.70000000,57.70000000,21.66900000,1667948699999,1252.19030000,5,18.89000000,1091.84200000,0
28,1667948700000,57.80000000,57.90000000,57.80000000,57.90000000,11.95100000,1667948759999,690.98020000,2,2.12400000,122.97960000,0
29,1667948760000,57.90000000,58.10000000,57.90000000,58.10000000,15.17300000,1667948819999,881.16550000,8,5.17300000,300.16550000,0
30,1667948820000,58.20000000,58.20000000,58.00000000,58.00000000,11.79400000,1667948879999,684.10680000,4,0.27400000,15.94680000,0
