,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947020000,0.35430000,0.35430000,0.35430000,0.35430000,0.00000000,1667947079999,0.00000000,0,0.00000000,0.00000000,0
1,1667947080000,0.35430000,0.35430000,0.35430000,0.35430000,0.00000000,1667947139999,0.00000000,0,0.00000000,0.00000000,0
2,1667947140000,0.35430000,0.35430000,0.35430000,0.35430000,0.00000000,1667947199999,0.00000000,0,0.00000000,0.00000000,0
3,1667947200000,0.35430000,0.35430000,0.35430000,0.35430000,0.00000000,1667947259999,0.00000000,0,0.00000000,0.00000000,0
4,1667947260000,0.35350000,0.35350000,0.35350000,0.35350000,315.90000000,1667947319999,111.67065000,3,0.00000000,0.00000000,0
5,1667947320000,0.35350000,0.35350000,0.35350000,0.35350000,0.00000000,1667947379999,0.00000000,0,0.00000000,0.00000000,0
6,1667947380000,0.35350000,0.35400000,0.35350000,0.35400000,115.00000000,1667947439999,40.67100000,2,115.00000000,40.67100000,0
7,1667947440000,0.35300000,0.35300000,0.35250000,0.35250000,499.70000000,1667947499999,176.20150000,5,0.00000000,0.00000000,0
8,1667947500000,0.35270000,0.35270000,0.35270000,0.35270000,38.00000000,1667947559999,13.40260000,1,0.00000000,0.00000000,0
9,1667947560000,0.35280000,0.35400000,0.35250000,0.35320000,1207.80000000,1667947619999,426.32903000,10,525.80000000,185.88703000,0
10,1667947620000,0.35320000,0.35320000,0.35320000,0.35320000,0.00000000,1667947679999,0.00000000,0,0.00000000,0.00000000,0
11,1667947680000,0.35280000,0.35280000,0.35160000,0.35160000,1398.40000000,1667947739999,492.10880000,12,984.90000000,346.29084000,0
12,1667947740000,0.35130000,0.35130000,0.35130000,0.35130000,37.00000000,1667947799999,12.99810000,1,37.00000000,12.99810000,0
13,1667947800000,0.35020000,0.35020000,0.35010000,0.35010000,191.70000000,1667947859999,67.12590000,2,0.00000000,0.00000000,0
14,1667947860000,0.35010000,0.35010000,0.35010000,0.35010000,88.60000000,1667947919999,31.01886000,1,88.60000000,31.01886000,0
15,1667947920000,0.35010000,0.35010000,0.35010000,0.35010000,0.00000000,1667947979999,0.00000000,0,0.00000000,0.00000000,0
16,1667947980000,0.35040000,0.35290000,0.35040000,0.35290000,1067.00000000,1667948039999,375.42878000,5,1030.00000000,362.40478000,0
17,1667948040000,0.35270000,0.35300000,0.35260000,0.35300000,515.60000000,1667948099999,181.87972000,4,0.00000000,0.00000000,0
18,1667948100000,0.35300000,0.35300000,0.35300000,0.35300000,0.00000000,1667948159999,0.00000000,0,0.00000000,0.00000000,0
19,1667948160000,0.35300000,0.35300000,0.35300000,0.35300000,0.00000000,1667948219999,0.00000000,0,0.00000000,0.00000000,0
20,1667948220000,0.35360000,0.35360000,0.35360000,0.35360000,28.20000000,1667948279999,9.97152000,1,28.20000000,9.97152000,0
21,1667948280000,0.35180000,0.35180000,0.35140000,0.35140000,117.00000000,1667948339999,41.12860000,2,80.00000000,28.11200000,0
22,1667948340000,0.35140000,0.35140000,0.35100000,0.35100000,423.00000000,1667948399999,148.48448000,2,28.70000000,10.08518000,0
23,1667948400000,0.35120000,0.35120000,0.35120000,0.35120000,37.00000000,1667948459999,12.99440000,1,37.00000000,12.99440000,0
24,1667948460000,0.35020000,0.35020000,0.34880000,0.34900000,376.60000000,1667948519999,131.43548000,3,326.60000000,113.92548000,0
25,1667948520000,0.34830000,0.34830000,0.34830000,0.34830000,57.50000000,1667948579999,20.02725000,1,0.00000000,0.00000000,0
26,1667948580000,0.35000000,0.35100000,0.35000000,0.35100000,14818.10000000,1667948639999,5200.52364000,6,3811.60000000,1337.24214000,0
27,1667948640000,0.35000000,0.35050000,0.35000000,0.35040000,1432.80000000,1667948699999,501.73890000,5,859.40000000,300.79000000,0
28,1667948700000,0.35080000,0.35080000,0.35080000,0.35080000,232.00000000,1667948759999,81.38560000,1,0.00000000,0.00000000,0
29,1667948760000,0.35080000,0.35080000,0.35080000,0.35080000,0.00000000,1667948819999,0.00000000,0,0.00000000,0.00000000,0
30,1667948820000,0.35070000,0.35070000,0.35010000,0.35010000,2736.20000000,1667948879999,958.67681000,6,0.00000000,0.00000000,0
31,1667948880000,0.35060000,0.35060000,0.35000000,0.35000000,1166.90000000,1667948939999,408.77570000,4,0.00000000,0.00000000,0
32,1667948940000,0.34930000,0.34980000,0.34900000,0.34980000,7221.00000000,1667948999999,2520.55032000,6,332.40000000,116.27352000,0
33,1667949000000,0.35020000,0.35070000,0.35020000,0.35060000,4612.60000000,1667949059999,1616.77800000,9,1036.00000000,363.32520000,0
34,1667949060000,0.35050000,0.35090000,0.34980000,0.35010000,3731.20000000,1667949119999,1307.63324000,11,142.50000000,49.98475000,0
35,1667949120000,0.35020000,0.35020000,0.35020000,0.35020000,402.50000000,1667949179999,140.95550000,1,0.00000000,0.00000000,0
36,1667949180000,0.35010000,0.35010000,0.35010000,0.35010000,31.40000000,1667949239999,10.99314000,1,31.40000000,10.99314000,0
37,1667949240000,0.34940000,0.34940000,0.34920000,0.34920000,607.80000000,1667949299999,212.25116000,3,0.00000000,0.00000000,0
38,1667949300000,0.35040000,0.35040000,0.35040000,0.35040000,536.40000000,1667949359999,187.95456000,1,0.00000000,0.00000000,0
39,1667949360000,0.35050000,0.35050000,0.35000000,0.35000000,1162.40000000,1667949419999,407.13760000,2,0.00000000,0.00000000,0
40,1667949420000,0.35000000,0.35000000,0.35000000,0.35000000,0.00000000,1667949479999,0.00000000,0,0.00000000,0.00000000,0
41,1667949480000,0.34870000,0.34870000,0.34870000,0.34870000,57.30000000,1667949539999,19.98051000,1,0.00000000,0.00000000,0
42,1667949540000,0.34810000,0.34820000,0.34800000,0.34820000,492.60000000,1667949599999,171.44323000,6,37.00000000,12.88340000,0
43,1667949600000,0.34830000,0.34830000,0.34830000,0.34830000,32.40000000,1667949659999,11.28492000,1,0.00000000,0.00000000,0
44,1667949660000,0.34820000,0.34860000,0.34820000,0.34840000,5363.70000000,1667949719999,1868.31122000,7,5363.70000000,1868.31122000,0
45,1667949720000,0.34840000,0.34840000,0.34840000,0.34840000,16142.00000000,1667949779999,5623.87280000,3,16142.00000000,5623.87280000,0
46,1667949780000,0.34930000,0.34930000,0.34930000,0.34930000,80.00000000,1667949839999,27.94400000,1,0.00000000,0.00000000,0
47,1667949840000,0.34930000,0.34930000,0.34930000,0.34930000,0.00000000,1667949899999,0.00000000,0,0.00000000,0.00000000,0
48,1667949900000,0.34930000,0.34930000,0.34930000,0.34930000,0.00000000,1667949959999,0.00000000,0,0.00000000,0.00000000,0
49,1667949960000,0.35000000,0.35000000,0.35000000,0.35000000,285.70000000,1667950019999,99.99500000,1,0.00000000,0.00000000,0
50,1667950020000,0.35150000,0.35150000,0.35150000,0.35150000,31.30000000,1667950079999,11.00195000,1,31.30000000,11.00195000,0
51,1667950080000,0.35070000,0.35070000,0.35070000,0.35070000,672.10000000,1667950139999,235.70547000,1,0.00000000,0.00000000,0
52,1667950140000,0.35070000,0.35070000,0.35070000,0.35070000,0.00000000,1667950199999,0.00000000,0,0.00000000,0.00000000,0
53,1667950200000,0.35070000,0.35070000,0.35070000,0.35070000,0.00000000,1667950259999,0.00000000,0,0.00000000,0.00000000,0
54,1667950260000,0.35160000,0.35160000,0.35160000,0.35160000,228.50000000,1667950319999,80.34060000,2,200.00000000,70.32000000,0
55,1667950320000,0.35250000,0.35250000,0.35250000,0.35250000,285.20000000,1667950379999,100.53300000,1,285.20000000,100.53300000,0
56,1667950380000,0.35330000,0.35330000,0.35330000,0.35330000,181.20000000,1667950439999,64.01796000,1,0.00000000,0.00000000,0
57,1667950440000,0.35360000,0.35550000,0.35360000,0.35470000,2706.90000000,1667950499999,961.28041000,9,1487.50000000,528.34900000,0
58,1667950500000,0.35550000,0.35710000,0.35550000,0.35600000,2440.50000000,1667950559999,868.44876000,12,1841.60000000,655.08810000,0
59,1667950560000,0.35720000,0.35740000,0.35680000,0.35720000,2825.30000000,1667950619999,1009.13447000,7,289.90000000,103.55228000,0
60,1667950620000,0.35800000,0.36120000,0.35800000,0.36000000,2178.90000000,1667950679999,784.38682000,11,2117.80000000,762.51302000,0
61,1667950680000,0.36100000,0.36180000,0.36010000,0.36180000,485.00000000,1667950739999,174.92919000,5,37.00000000,13.38660000,0
62,1667950740000,0.36200000,0.36330000,0.36200000,0.36330000,178.80000000,1667950799999,64.76746000,4,32.20000000,11.69826000,0
63,1667950800000,0.36360000,0.36390000,0.36300000,0.36390000,2189.90000000,1667950859999,795.91612000,9,1776.70000000,645.92452000,0
64,1667950860000,0.36300000,0.36300000,0.36210000,0.36210000,179.50000000,1667950919999,65.12079000,3,0.00000000,0.00000000,0
65,1667950920000,0.36370000,0.36410000,0.36350000,0.36350000,1487.50000000,1667950979999,541.07147000,5,187.80000000,68.37798000,0
66,1667950980000,0.36330000,0.36420000,0.36330000,0.36420000,316.90000000,1667951039999,115.28691000,3,174.60000000,63.58932000,0
67,1667951040000,0.36300000,0.36300000,0.36210000,0.36210000,211.00000000,1667951099999,76.45740000,3,0.00000000,0.00000000,0
68,1667951100000,0.36300000,0.36300000,0.36300000,0.36300000,774.80000000,1667951159999,281.25240000,1,0.00000000,0.00000000,0
69,1667951160000,0.36300000,0.36300000,0.36060000,0.36060000,562.10000000,1667951219999,203.65236000,5,0.00000000,0.00000000,0
70,1667951220000,0.36020000,0.36020000,0.36020000,0.36020000,280.40000000,1667951279999,101.00008000,1,280.40000000,101.00008000,0
71,1667951280000,0.36020000,0.36020000,0.36020000,0.36020000,0.00000000,1667951339999,0.00000000,0,0.00000000,0.00000000,0
72,1667951340000,0.36030000,0.36030000,0.36030000,0.36030000,37.00000000,1667951399999,13.33110000,1,37.00000000,13.33110000,0
