,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947140000,0.00002016,0.00002016,0.00002016,0.00002016,511.50000000,1667947199999,0.01031184,1,511.50000000,0.01031184,0
1,1667947200000,0.00002017,0.00002017,0.00002017,0.00002017,523.70000000,1667947259999,0.01056302,1,0.00000000,0.00000000,0
2,1667947260000,0.00002026,0.00002032,0.00002026,0.00002032,1750.40000000,1667947319999,0.03553713,3,1750.40000000,0.03553713,0
3,1667947320000,0.00002024,0.00002024,0.00002011,0.00002011,11391.30000000,1667947379999,0.22918480,8,0.00000000,0.00000000,0
4,1667947380000,0.00002013,0.00002013,0.00002013,0.00002013,512.30000000,1667947439999,0.01031259,1,512.30000000,0.01031259,0
5,1667947440000,0.00002024,0.00002024,0.00002024,0.00002024,535.30000000,1667947499999,0.01083447,1,0.00000000,0.00000000,0
6,1667947500000,0.00002021,0.00002021,0.00002021,0.00002021,516.40000000,1667947559999,0.01043644,1,516.40000000,0.01043644,0
7,1667947560000,0.00002022,0.00002022,0.00002022,0.00002022,529.90000000,1667947619999,0.01071457,1,529.90000000,0.01071457,0
8,1667947620000,0.00002021,0.00002021,0.00002021,0.00002021,561.10000000,1667947679999,0.01133983,1,561.10000000,0.01133983,0
9,1667947680000,0.00002021,0.00002021,0.00002021,0.00002021,0.00000000,1667947739999,0.00000000,0,0.00000000,0.00000000,0
10,1667947740000,0.00002012,0.00002014,0.00002012,0.00002012,2669.00000000,1667947799999,0.05371113,3,0.00000000,0.00000000,0
11,1667947800000,0.00002018,0.00002018,0.00002018,0.00002018,551.20000000,1667947859999,0.01112321,1,551.20000000,0.01112321,0
12,1667947860000,0.00002019,0.00002028,0.00002019,0.00002028,8650.60000000,1667947919999,0.17537632,3,8136.50000000,0.16499665,0
13,1667947920000,0.00002027,0.00002027,0.00002027,0.00002027,523.50000000,1667947979999,0.01061134,1,0.00000000,0.00000000,0
14,1667947980000,0.00002028,0.00002028,0.00002028,0.00002028,541.80000000,1667948039999,0.01098770,1,0.00000000,0.00000000,0
15,1667948040000,0.00002013,0.00002019,0.00002013,0.00002019,9388.20000000,1667948099999,0.18901694,3,541.50000000,0.01093288,0
16,1667948100000,0.00002010,0.00002010,0.00002010,0.00002010,533.70000000,1667948159999,0.01072737,1,533.70000000,0.01072737,0
17,1667948160000,0.00002012,0.00002012,0.00002005,0.00002005,20088.00000000,1667948219999,0.40328362,3,0.00000000,0.00000000,0
18,1667948220000,0.00002014,0.00002014,0.00002014,0.00002014,527.00000000,1667948279999,0.01061378,1,0.00000000,0.00000000,0
19,1667948280000,0.00002007,0.00002014,0.00002007,0.00002014,1953.80000000,1667948339999,0.03931350,4,1439.40000000,0.02898950,0
20,1667948340000,0.00002017,0.00002017,0.00002017,0.00002017,542.70000000,1667948399999,0.01094625,1,542.70000000,0.01094625,0
21,1667948400000,0.00002016,0.00002016,0.00002016,0.00002016,514.90000000,1667948459999,0.01038038,1,0.00000000,0.00000000,0
22,1667948460000,0.00002024,0.00002025,0.00002024,0.00002025,7657.80000000,1667948519999,0.15505921,2,7657.80000000,0.15505921,0
23,1667948520000,0.00002024,0.00002024,0.00002024,0.00002024,547.50000000,1667948579999,0.01108140,1,547.50000000,0.01108140,0
24,1667948580000,0.00002012,0.00002012,0.00002012,0.00002012,545.00000000,1667948639999,0.01096540,1,0.00000000,0.00000000,0
25,1667948640000,0.00002013,0.00002013,0.00002013,0.00002013,516.70000000,1667948699999,0.01040117,1,0.00000000,0.00000000,0
26,1667948700000,0.00002014,0.00002014,0.00002007,0.00002007,6396.40000000,1667948759999,0.12841211,2,0.00000000,0.00000000,0
27,1667948760000,0.00002005,0.00002006,0.00002005,0.00002006,539.10000000,1667948819999,0.01081434,2,539.00000000,0.01081234,0
28,1667948820000,0.00002005,0.00002012,0.00002005,0.00002012,8055.50000000,1667948879999,0.16203952,2,7525.00000000,0.15140300,0
29,1667948880000,0.00002011,0.00002011,0.00002011,0.00002011,548.60000000,1667948939999,0.01103234,1,548.60000000,0.01103234,0
30,1667948940000,0.00002008,0.00002008,0.00002008,0.00002008,535.10000000,1667948999999,0.01074480,1,535.10000000,0.01074480,0
