,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946720000,0.96800000,0.97300000,0.96800000,0.97300000,257.80000000,1667946779999,250.32440000,3,257.80000000,250.32440000,0
1,1667946780000,0.97100000,0.97100000,0.96900000,0.97100000,2601.80000000,1667946839999,2525.67540000,12,2457.00000000,2385.21940000,0
2,1667946840000,0.97100000,0.97100000,0.97100000,0.97100000,0.00000000,1667946899999,0.00000000,0,0.00000000,0.00000000,0
3,1667946900000,0.96900000,0.96900000,0.96600000,0.96700000,803.40000000,1667946959999,777.13770000,11,331.30000000,320.63590000,0
4,1667946960000,0.96800000,0.97000000,0.96800000,0.97000000,437.20000000,1667947019999,423.59190000,5,154.90000000,149.94320000,0
5,1667947020000,0.96900000,0.96900000,0.96700000,0.96700000,519.70000000,1667947079999,502.79830000,6,380.00000000,367.46000000,0
6,1667947080000,0.96600000,0.96600000,0.96600000,0.96600000,136.90000000,1667947139999,132.24540000,2,34.50000000,33.32700000,0
7,1667947140000,0.96700000,0.96700000,0.96600000,0.96600000,259.90000000,1667947199999,251.25480000,3,259.90000000,251.25480000,0
8,1667947200000,0.96600000,0.96700000,0.96200000,0.96500000,4603.90000000,1667947259999,4435.68630000,23,940.10000000,908.02620000,0
9,1667947260000,0.96400000,0.96700000,0.96400000,0.96700000,695.10000000,1667947319999,671.95720000,6,683.60000000,660.87120000,0
10,1667947320000,0.96700000,0.96800000,0.96600000,0.96700000,367.90000000,1667947379999,355.72930000,5,176.60000000,170.84580000,0
11,1667947380000,0.96700000,0.96700000,0.96700000,0.96700000,0.00000000,1667947439999,0.00000000,0,0.00000000,0.00000000,0
12,1667947440000,0.96700000,0.96700000,0.96500000,0.96500000,627.70000000,1667947499999,606.07170000,4,52.90000000,51.04850000,0
13,1667947500000,0.96300000,0.96300000,0.96300000,0.96300000,259.50000000,1667947559999,249.89850000,3,0.00000000,0.00000000,0
14,1667947560000,0.96400000,0.96500000,0.96400000,0.96500000,279.80000000,1667947619999,269.85140000,2,279.80000000,269.85140000,0
15,1667947620000,0.96700000,0.96800000,0.96700000,0.96800000,1005.60000000,1667947679999,972.55380000,6,405.60000000,392.35380000,0
16,1667947680000,0.96900000,0.96900000,0.96700000,0.96700000,1192.10000000,1667947739999,1154.04740000,7,692.70000000,671.11630000,0
17,1667947740000,0.96400000,0.96400000,0.96100000,0.96100000,2146.70000000,1667947799999,2064.76590000,13,701.90000000,674.52590000,0
18,1667947800000,0.96000000,0.96100000,0.95900000,0.96100000,4616.90000000,1667947859999,4435.16760000,21,3857.60000000,3706.84330000,0
19,1667947860000,0.96100000,0.96200000,0.96100000,0.96200000,2286.30000000,1667947919999,2197.58230000,15,887.70000000,853.28060000,0
20,1667947920000,0.96200000,0.96300000,0.96000000,0.96300000,3626.30000000,1667947979999,3489.59180000,19,1742.70000000,1676.89380000,0
21,1667947980000,0.96400000,0.97100000,0.96400000,0.97100000,3524.10000000,1667948039999,3401.86660000,15,3046.70000000,2940.69820000,0
22,1667948040000,0.97200000,0.97300000,0.96900000,0.97100000,1708.30000000,1667948099999,1659.11650000,12,312.20000000,303.34410000,0
23,1667948100000,0.97100000,0.97100000,0.97100000,0.97100000,0.00000000,1667948159999,0.00000000,0,0.00000000,0.00000000,0
24,1667948160000,0.97100000,0.97100000,0.97100000,0.97100000,81.70000000,1667948219999,79.33070000,1,0.00000000,0.00000000,0
25,1667948220000,0.97100000,0.97100000,0.97100000,0.97100000,0.00000000,1667948279999,0.00000000,0,0.00000000,0.00000000,0
26,1667948280000,0.96800000,0.96900000,0.96500000,0.96600000,2572.80000000,1667948339999,2486.68070000,22,2132.70000000,2061.72700000,0
27,1667948340000,0.96800000,0.96900000,0.96600000,0.96900000,1258.70000000,1667948399999,1218.16900000,11,865.30000000,837.66400000,0
28,1667948400000,0.96900000,0.96900000,0.96900000,0.96900000,0.00000000,1667948459999,0.00000000,0,0.00000000,0.00000000,0
29,1667948460000,0.96800000,0.96800000,0.96400000,0.96400000,758.50000000,1667948519999,733.25280000,9,393.60000000,380.88760000,0
30,1667948520000,0.96400000,0.96900000,0.96300000,0.96900000,7360.00000000,1667948579999,7100.70790000,16,6245.40000000,6021.16130000,0
31,1667948580000,0.97000000,0.97300000,0.97000000,0.97200000,887.40000000,1667948639999,862.34990000,10,356.80000000,346.76170000,0
32,1667948640000,0.97500000,0.97600000,0.97500000,0.97500000,353.70000000,1667948699999,345.02040000,9,177.40000000,172.99570000,0
33,1667948700000,0.97400000,0.97800000,0.97400000,0.97600000,523.00000000,1667948759999,510.71690000,11,252.50000000,246.40670000,0
34,1667948760000,0.97900000,0.98100000,0.97700000,0.97700000,1032.10000000,1667948819999,1011.28940000,6,1020.50000000,999.95620000,0
35,1667948820000,0.97700000,0.97800000,0.97400000,0.97400000,1574.50000000,1667948879999,1537.33270000,15,1033.90000000,1009.93610000,0
36,1667948880000,0.97500000,0.97500000,0.97200000,0.97200000,1126.10000000,1667948939999,1095.34350000,8,0.00000000,0.00000000,0
