,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946900000,0.05523000,0.05529000,0.05506000,0.05506000,70759.00000000,1667946959999,3901.98229800,29,22004.60000000,1215.12184400,0
1,1667946960000,0.05513000,0.05546000,0.05511000,0.05534000,111579.70000000,1667947019999,6172.77041100,51,85751.90000000,4744.82970500,0
2,1667947020000,0.05536000,0.05536000,0.05520000,0.05521000,56158.80000000,1667947079999,3104.40819000,31,23354.40000000,1290.09455200,0
3,1667947080000,0.05522000,0.05535000,0.05522000,0.05528000,20212.90000000,1667947139999,1117.89184600,20,14574.70000000,806.33142000,0
4,1667947140000,0.05523000,0.05524000,0.05511000,0.05511000,56727.30000000,1667947199999,3128.83063500,34,11716.70000000,646.66711800,0
5,1667947200000,0.05516000,0.05516000,0.05502000,0.05504000,69094.10000000,1667947259999,3806.03461000,23,10583.90000000,583.47027400,0
6,1667947260000,0.05505000,0.05528000,0.05504000,0.05525000,58559.20000000,1667947319999,3230.33806900,35,30942.70000000,1709.38979100,0
7,1667947320000,0.05525000,0.05540000,0.05522000,0.05535000,195774.40000000,1667947379999,10824.12305400,46,166445.90000000,9203.54367000,0
8,1667947380000,0.05540000,0.05547000,0.05539000,0.05539000,22661.90000000,1667947439999,1256.02366600,21,15054.20000000,834.51261400,0
9,1667947440000,0.05542000,0.05544000,0.05526000,0.05526000,61602.70000000,1667947499999,3410.32328800,20,23027.70000000,1276.53687700,0
10,1667947500000,0.05531000,0.05541000,0.05526000,0.05527000,151948.70000000,1667947559999,8406.99593900,45,93997.50000000,5202.96102300,0
11,1667947560000,0.05527000,0.05538000,0.05519000,0.05538000,173714.60000000,1667947619999,9605.38993700,33,58668.30000000,3247.55323600,0
12,1667947620000,0.05542000,0.05551000,0.05542000,0.05550000,28690.00000000,1667947679999,1590.98769500,9,27521.00000000,1526.09650500,0
13,1667947680000,0.05552000,0.05560000,0.05536000,0.05536000,117364.70000000,1667947739999,6513.65547700,23,52036.80000000,2890.21430900,0
14,1667947740000,0.05535000,0.05537000,0.05496000,0.05496000,195336.90000000,1667947799999,10764.69163000,68,35426.50000000,1953.78792500,0
15,1667947800000,0.05499000,0.05499000,0.05490000,0.05495000,355273.00000000,1667947859999,19518.88847100,35,123751.30000000,6800.74020000,0
16,1667947860000,0.05495000,0.05518000,0.05495000,0.05518000,383494.00000000,1667947919999,21087.60835300,64,383196.90000000,21071.28270800,0
17,1667947920000,0.05519000,0.05524000,0.05507000,0.05524000,243084.70000000,1667947979999,13413.10024100,27,103868.70000000,5732.96853300,0
18,1667947980000,0.05524000,0.05565000,0.05524000,0.05562000,131265.80000000,1667948039999,7279.32502800,50,104692.70000000,5801.84474000,0
19,1667948040000,0.05566000,0.05579000,0.05556000,0.05567000,161249.30000000,1667948099999,8979.06380600,59,71576.50000000,3987.38702600,0
20,1667948100000,0.05568000,0.05572000,0.05558000,0.05572000,41882.70000000,1667948159999,2330.32574700,18,31605.20000000,1758.64339800,0
21,1667948160000,0.05570000,0.05571000,0.05559000,0.05562000,113988.90000000,1667948219999,6342.90116700,39,56181.50000000,3126.78978400,0
22,1667948220000,0.05563000,0.05563000,0.05546000,0.05559000,273192.30000000,1667948279999,15163.44097400,63,232280.10000000,12892.29554500,0
23,1667948280000,0.05554000,0.05561000,0.05521000,0.05524000,149099.50000000,1667948339999,8263.57537300,61,35570.90000000,1975.73223200,0
24,1667948340000,0.05522000,0.05543000,0.05522000,0.05536000,291330.40000000,1667948399999,16127.32373500,72,203949.40000000,11287.92094800,0
25,1667948400000,0.05534000,0.05541000,0.05530000,0.05532000,113203.10000000,1667948459999,6264.60998800,35,63751.00000000,3528.04626400,0
26,1667948460000,0.05533000,0.05534000,0.05510000,0.05515000,222825.40000000,1667948519999,12296.47042200,80,123846.50000000,6834.24988800,0
27,1667948520000,0.05512000,0.05534000,0.05505000,0.05532000,137319.90000000,1667948579999,7572.76950600,45,105812.10000000,5835.02590800,0
28,1667948580000,0.05532000,0.05566000,0.05532000,0.05566000,221632.80000000,1667948639999,12304.31781100,51,74115.30000000,4114.81355400,0
29,1667948640000,0.05567000,0.05587000,0.05567000,0.05582000,132451.80000000,1667948699999,7389.87099900,58,57503.10000000,3208.11059400,0
30,1667948700000,0.05581000,0.05595000,0.05575000,0.05589000,242635.40000000,1667948759999,13553.96414900,50,100026.60000000,5589.42773200,0
31,1667948760000,0.05586000,0.05602000,0.05586000,0.05597000,311462.80000000,1667948819999,17424.97001200,64,135907.80000000,7603.37304300,0
32,1667948820000,0.05595000,0.05602000,0.05572000,0.05578000,280096.80000000,1667948879999,15667.27232400,59,64316.50000000,3594.63629400,0
33,1667948880000,0.05579000,0.05581000,0.05575000,0.05581000,130092.40000000,1667948939999,7256.53619400,21,107346.70000000,5987.91142200,0
34,1667948940000,0.05577000,0.05600000,0.05569000,0.05600000,815059.50000000,1667948999999,45496.76728200,141,735323.90000000,41044.79373500,0
35,1667949000000,0.05596000,0.05655000,0.05596000,0.05626000,1498815.10000000,1667949059999,84425.67735000,221,580470.50000000,32677.36962300,0
36,1667949060000,0.05627000,0.05631000,0.05608000,0.05608000,561182.40000000,1667949119999,31552.78379300,82,144706.10000000,8131.32361100,0
37,1667949120000,0.05608000,0.05614000,0.05595000,0.05599000,624784.40000000,1667949179999,35028.33649600,78,259533.20000000,14559.66467500,0
38,1667949180000,0.05598000,0.05613000,0.05598000,0.05610000,142062.30000000,1667949239999,7957.05819600,24,125848.60000000,7048.03385400,0
39,1667949240000,0.05608000,0.05641000,0.05607000,0.05631000,458338.00000000,1667949299999,25791.53055000,91,346614.60000000,19496.55828900,0
40,1667949300000,0.05629000,0.05636000,0.05619000,0.05635000,381113.00000000,1667949359999,21454.98551200,73,330436.60000000,18603.30629000,0
41,1667949360000,0.05632000,0.05640000,0.05589000,0.05605000,378755.90000000,1667949419999,21291.28471200,118,116618.70000000,6559.25060500,0
42,1667949420000,0.05593000,0.05597000,0.05574000,0.05574000,130384.80000000,1667949479999,7283.53168500,54,52328.60000000,2924.95429200,0
43,1667949480000,0.05574000,0.05574000,0.05544000,0.05560000,193831.60000000,1667949539999,10774.17139500,74,66162.10000000,3679.31254700,0
44,1667949540000,0.05567000,0.05591000,0.05563000,0.05572000,270854.00000000,1667949599999,15117.92358300,76,127337.30000000,7106.30031300,0
45,1667949600000,0.05574000,0.05582000,0.05555000,0.05572000,224355.20000000,1667949659999,12491.77307500,59,155399.90000000,8656.38839100,0
46,1667949660000,0.05570000,0.05576000,0.05559000,0.05576000,150097.50000000,1667949719999,8355.46563700,47,95560.70000000,5320.09240800,0
47,1667949720000,0.05572000,0.05582000,0.05554000,0.05582000,368634.30000000,1667949779999,20524.11892200,85,300799.50000000,16751.06644700,0
48,1667949780000,0.05583000,0.05605000,0.05582000,0.05592000,130421.60000000,1667949839999,7292.34390000,43,59598.40000000,3333.75278300,0
49,1667949840000,0.05589000,0.05612000,0.05586000,0.05607000,81973.20000000,1667949899999,4589.35790900,35,51105.90000000,2861.89035100,0
