,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946840000,0.00484000,0.00486000,0.00484000,0.00485000,106571.70000000,1667946899999,516.55606700,8,44768.90000000,217.43051500,0
1,1667946900000,0.00484000,0.00485000,0.00482000,0.00482000,975452.90000000,1667946959999,4719.86741400,24,25897.80000000,125.43905000,0
2,1667946960000,0.00484000,0.00485000,0.00482000,0.00483000,217478.60000000,1667947019999,1050.02732900,12,135617.20000000,655.28004600,0
3,1667947020000,0.00485000,0.00485000,0.00480000,0.00482000,2154235.40000000,1667947079999,10346.25069300,31,33736.50000000,162.85839000,0
4,1667947080000,0.00480000,0.00482000,0.00480000,0.00480000,428351.10000000,1667947139999,2057.08866100,13,179277.90000000,861.12150100,0
5,1667947140000,0.00481000,0.00481000,0.00479000,0.00481000,555094.60000000,1667947199999,2665.10963000,23,323285.90000000,1552.51120000,0
6,1667947200000,0.00480000,0.00480000,0.00479000,0.00479000,1035666.40000000,1667947259999,4968.41299800,25,608870.30000000,2922.43943800,0
7,1667947260000,0.00481000,0.00485000,0.00479000,0.00482000,3098640.70000000,1667947319999,14977.23580000,47,1472376.70000000,7117.04262400,0
8,1667947320000,0.00484000,0.00484000,0.00482000,0.00484000,2381115.80000000,1667947379999,11484.28971200,21,1082473.40000000,5224.83334400,0
9,1667947380000,0.00484000,0.00486000,0.00482000,0.00486000,2214063.10000000,1667947439999,10739.87549000,18,1886705.10000000,9152.43816000,0
10,1667947440000,0.00485000,0.00486000,0.00483000,0.00484000,150425.50000000,1667947499999,729.20303000,13,23299.00000000,113.03882900,0
11,1667947500000,0.00483000,0.00484000,0.00480000,0.00480000,205822.90000000,1667947559999,992.56155400,18,16581.00000000,80.16905000,0
12,1667947560000,0.00481000,0.00482000,0.00480000,0.00482000,240181.60000000,1667947619999,1153.35820000,13,29911.00000000,144.05932000,0
13,1667947620000,0.00482000,0.00482000,0.00480000,0.00482000,44248.10000000,1667947679999,213.02602200,7,27599.10000000,133.02766200,0
14,1667947680000,0.00483000,0.00484000,0.00482000,0.00484000,90517.60000000,1667947739999,437.31711600,10,73919.60000000,357.31475600,0
15,1667947740000,0.00482000,0.00483000,0.00477000,0.00477000,863014.10000000,1667947799999,4141.09317200,30,32547.60000000,156.70504400,0
16,1667947800000,0.00477000,0.00478000,0.00476000,0.00476000,111599.20000000,1667947859999,531.92794400,10,46409.00000000,221.45479000,0
17,1667947860000,0.00477000,0.00478000,0.00476000,0.00478000,69289.50000000,1667947919999,330.59489000,9,52483.50000000,250.59833000,0
18,1667947920000,0.00478000,0.00479000,0.00476000,0.00477000,171905.90000000,1667947979999,820.25472100,9,121661.70000000,580.57839900,0
19,1667947980000,0.00478000,0.00483000,0.00478000,0.00483000,309186.70000000,1667948039999,1486.44350600,15,276638.80000000,1330.13914700,0
20,1667948040000,0.00483000,0.00483000,0.00481000,0.00483000,401820.00000000,1667948099999,1939.89847600,16,353197.60000000,1705.70482800,0
21,1667948100000,0.00484000,0.00486000,0.00481000,0.00483000,1421927.60000000,1667948159999,6888.75451600,18,1405329.60000000,6808.75215600,0
