,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946840000,0.69580000,0.69580000,0.69430000,0.69430000,6138.00000000,1667946899999,4267.71480000,27,2001.00000000,1391.45700000,0
1,1667946900000,0.69480000,0.69480000,0.69360000,0.69410000,7463.00000000,1667946959999,5179.47490000,15,1163.00000000,807.24850000,0
2,1667946960000,0.69400000,0.69620000,0.69400000,0.69580000,4621.00000000,1667947019999,3210.22310000,20,4246.00000000,2949.54630000,0
3,1667947020000,0.69520000,0.69520000,0.69200000,0.69340000,15860.00000000,1667947079999,11003.81870000,98,5403.00000000,3745.11500000,0
4,1667947080000,0.69370000,0.69440000,0.69220000,0.69220000,16733.00000000,1667947139999,11607.47670000,57,14104.00000000,9786.31800000,0
5,1667947140000,0.69200000,0.69320000,0.69180000,0.69220000,7643.00000000,1667947199999,5293.41560000,28,5878.00000000,4071.75980000,0
6,1667947200000,0.69160000,0.69240000,0.69030000,0.69190000,11556.00000000,1667947259999,7996.22190000,31,9334.00000000,6459.67730000,0
7,1667947260000,0.69240000,0.69280000,0.69190000,0.69260000,880.00000000,1667947319999,609.46990000,9,532.00000000,368.54850000,0
8,1667947320000,0.69200000,0.69220000,0.69110000,0.69210000,1138.00000000,1667947379999,787.29240000,13,258.00000000,178.55170000,0
9,1667947380000,0.69220000,0.69400000,0.69220000,0.69360000,5081.00000000,1667947439999,3523.57040000,16,5081.00000000,3523.57040000,0
10,1667947440000,0.69360000,0.69380000,0.69200000,0.69270000,14871.00000000,1667947499999,10305.53370000,36,8359.00000000,5797.01430000,0
11,1667947500000,0.69170000,0.69220000,0.69150000,0.69190000,5321.00000000,1667947559999,3681.40130000,14,5089.00000000,3520.92690000,0
12,1667947560000,0.69170000,0.69320000,0.69170000,0.69320000,3877.00000000,1667947619999,2685.73210000,7,3828.00000000,2651.77020000,0
13,1667947620000,0.69460000,0.69500000,0.69460000,0.69500000,133.00000000,1667947679999,92.38860000,2,116.00000000,80.57360000,0
14,1667947680000,0.69480000,0.69520000,0.69430000,0.69430000,722.00000000,1667947739999,501.58570000,9,29.00000000,20.16080000,0
15,1667947740000,0.69390000,0.69390000,0.68930000,0.68930000,13649.00000000,1667947799999,9435.60150000,54,8332.00000000,5758.83150000,0
16,1667947800000,0.69040000,0.69060000,0.68880000,0.68900000,6474.00000000,1667947859999,4463.84600000,22,3399.00000000,2343.98380000,0
17,1667947860000,0.68880000,0.69190000,0.68880000,0.69190000,10402.00000000,1667947919999,7181.65540000,21,9501.00000000,6560.28290000,0
18,1667947920000,0.69120000,0.69200000,0.69090000,0.69200000,2634.00000000,1667947979999,1821.23470000,19,938.00000000,649.06710000,0
19,1667947980000,0.69250000,0.69660000,0.69250000,0.69660000,2344.00000000,1667948039999,1627.43820000,18,1741.00000000,1208.44470000,0
20,1667948040000,0.69690000,0.69890000,0.69560000,0.69570000,15398.00000000,1667948099999,10729.93340000,51,922.00000000,642.85650000,0
21,1667948100000,0.69650000,0.69810000,0.69650000,0.69810000,5517.00000000,1667948159999,3843.00230000,16,217.00000000,151.33950000,0
22,1667948160000,0.69770000,0.69780000,0.69600000,0.69600000,1940.00000000,1667948219999,1352.29490000,10,799.00000000,557.34220000,0
23,1667948220000,0.69580000,0.69640000,0.69480000,0.69640000,6693.00000000,1667948279999,4656.84690000,22,3629.00000000,2524.45850000,0
24,1667948280000,0.69560000,0.69610000,0.69430000,0.69430000,2979.00000000,1667948339999,2070.75710000,14,624.00000000,434.07840000,0
25,1667948340000,0.69420000,0.69550000,0.69420000,0.69490000,2745.00000000,1667948399999,1908.24580000,14,2190.00000000,1522.34040000,0
26,1667948400000,0.69490000,0.69490000,0.69400000,0.69430000,1169.00000000,1667948459999,811.78530000,7,228.00000000,158.40740000,0
27,1667948460000,0.69350000,0.69350000,0.69130000,0.69270000,3610.00000000,1667948519999,2499.91590000,31,872.00000000,603.84090000,0
28,1667948520000,0.69290000,0.69350000,0.69190000,0.69350000,1048.00000000,1667948579999,725.93850000,12,787.00000000,545.34910000,0
29,1667948580000,0.69540000,0.69660000,0.69540000,0.69590000,2761.00000000,1667948639999,1921.51640000,13,2391.00000000,1664.09990000,0
30,1667948640000,0.69680000,0.69800000,0.69680000,0.69800000,1916.00000000,1667948699999,1336.74590000,10,1864.00000000,1300.44990000,0
31,1667948700000,0.69770000,0.69950000,0.69770000,0.69870000,1725.00000000,1667948759999,1205.22940000,16,1103.00000000,770.43500000,0
32,1667948760000,0.69900000,0.70020000,0.69900000,0.69970000,6714.00000000,1667948819999,4695.95680000,27,2483.00000000,1737.04390000,0
33,1667948820000,0.69900000,0.69900000,0.69670000,0.69750000,1152.00000000,1667948879999,803.96310000,11,231.00000000,161.12250000,0
34,1667948880000,0.69700000,0.69700000,0.69540000,0.69640000,763.00000000,1667948939999,531.36560000,9,215.00000000,149.72150000,0
35,1667948940000,0.69500000,0.69730000,0.69500000,0.69730000,1801.00000000,1667948999999,1253.95310000,15,1610.00000000,1121.07930000,0
36,1667949000000,0.69760000,0.69990000,0.69760000,0.69950000,1478.00000000,1667949059999,1032.76770000,10,1264.00000000,883.07470000,0
37,1667949060000,0.69910000,0.69940000,0.69840000,0.69940000,806.00000000,1667949119999,563.14590000,15,423.00000000,295.53320000,0
38,1667949120000,0.69830000,0.69830000,0.69710000,0.69710000,5670.00000000,1667949179999,3956.42220000,13,0.00000000,0.00000000,0
39,1667949180000,0.69800000,0.69860000,0.69800000,0.69830000,1837.00000000,1667949239999,1282.93980000,7,1711.00000000,1194.91620000,0
