,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947080000,49.33000000,49.33000000,49.33000000,49.33000000,0.00000000,1667947139999,0.00000000,0,0.00000000,0.00000000,0
1,1667947140000,49.22000000,49.22000000,49.19000000,49.19000000,5.78000000,1667947199999,284.35120000,2,0.00000000,0.00000000,0
2,1667947200000,49.02000000,49.02000000,49.02000000,49.02000000,1.01000000,1667947259999,49.51020000,1,0.00000000,0.00000000,0
3,1667947260000,49.02000000,49.02000000,49.02000000,49.02000000,0.00000000,1667947319999,0.00000000,0,0.00000000,0.00000000,0
4,1667947320000,48.61000000,48.70000000,48.61000000,48.70000000,5.70000000,1667947379999,277.19310000,2,4.41000000,214.37010000,0
5,1667947380000,48.70000000,48.70000000,48.70000000,48.70000000,0.00000000,1667947439999,0.00000000,0,0.00000000,0.00000000,0
6,1667947440000,49.08000000,49.08000000,49.00000000,49.00000000,18.11000000,1667947499999,887.42200000,2,18.11000000,887.42200000,0
7,1667947500000,48.88000000,48.92000000,48.88000000,48.92000000,13.43000000,1667947559999,656.81920000,2,13.43000000,656.81920000,0
8,1667947560000,48.70000000,48.70000000,48.18000000,48.18000000,34.88000000,1667947619999,1693.56340000,4,0.00000000,0.00000000,0
9,1667947620000,48.77000000,48.82000000,48.77000000,48.82000000,7.15000000,1667947679999,348.84250000,2,7.15000000,348.84250000,0
10,1667947680000,48.85000000,48.85000000,48.85000000,48.85000000,4.41000000,1667947739999,215.42850000,1,4.41000000,215.42850000,0
11,1667947740000,48.85000000,48.85000000,48.85000000,48.85000000,0.00000000,1667947799999,0.00000000,0,0.00000000,0.00000000,0
12,1667947800000,48.79000000,48.79000000,48.79000000,48.79000000,4.41000000,1667947859999,215.16390000,1,4.41000000,215.16390000,0
13,1667947860000,48.79000000,48.79000000,48.79000000,48.79000000,0.00000000,1667947919999,0.00000000,0,0.00000000,0.00000000,0
14,1667947920000,48.79000000,48.79000000,48.79000000,48.79000000,0.00000000,1667947979999,0.00000000,0,0.00000000,0.00000000,0
15,1667947980000,48.80000000,48.80000000,48.80000000,48.80000000,2.73000000,1667948039999,133.22400000,1,2.73000000,133.22400000,0
16,1667948040000,48.80000000,48.80000000,48.80000000,48.80000000,0.00000000,1667948099999,0.00000000,0,0.00000000,0.00000000,0
17,1667948100000,48.80000000,48.80000000,48.80000000,48.80000000,0.00000000,1667948159999,0.00000000,0,0.00000000,0.00000000,0
18,1667948160000,48.80000000,48.80000000,48.80000000,48.80000000,0.00000000,1667948219999,0.00000000,0,0.00000000,0.00000000,0
19,1667948220000,48.80000000,48.80000000,48.80000000,48.80000000,0.00000000,1667948279999,0.00000000,0,0.00000000,0.00000000,0
20,1667948280000,48.80000000,48.80000000,48.79000000,48.79000000,3.09000000,1667948339999,150.78800000,2,0.00000000,0.00000000,0
21,1667948340000,48.47000000,48.79000000,48.47000000,48.79000000,23.47000000,1667948399999,1137.76370000,3,0.00000000,0.00000000,0
22,1667948400000,48.79000000,48.79000000,48.79000000,48.79000000,0.00000000,1667948459999,0.00000000,0,0.00000000,0.00000000,0
23,1667948460000,48.79000000,48.79000000,48.79000000,48.79000000,0.00000000,1667948519999,0.00000000,0,0.00000000,0.00000000,0
24,1667948520000,48.79000000,48.79000000,48.79000000,48.79000000,0.00000000,1667948579999,0.00000000,0,0.00000000,0.00000000,0
25,1667948580000,48.61000000,48.84000000,48.61000000,48.84000000,180.60000000,1667948639999,8779.44210000,2,180.60000000,8779.44210000,0
26,1667948640000,48.84000000,48.84000000,48.84000000,48.84000000,0.00000000,1667948699999,0.00000000,0,0.00000000,0.00000000,0
27,1667948700000,48.84000000,48.84000000,48.84000000,48.84000000,0.00000000,1667948759999,0.00000000,0,0.00000000,0.00000000,0
28,1667948760000,48.84000000,48.84000000,48.84000000,48.84000000,0.00000000,1667948819999,0.00000000,0,0.00000000,0.00000000,0
29,1667948820000,48.84000000,48.84000000,48.84000000,48.84000000,0.00000000,1667948879999,0.00000000,0,0.00000000,0.00000000,0
30,1667948880000,48.84000000,48.84000000,48.84000000,48.84000000,0.00000000,1667948939999,0.00000000,0,0.00000000,0.00000000,0
31,1667948940000,48.84000000,48.84000000,48.84000000,48.84000000,0.00000000,1667948999999,0.00000000,0,0.00000000,0.00000000,0
32,1667949000000,48.84000000,48.84000000,48.84000000,48.84000000,0.00000000,1667949059999,0.00000000,0,0.00000000,0.00000000,0
33,1667949060000,49.83000000,49.83000000,49.83000000,49.83000000,42.43000000,1667949119999,2114.28690000,2,42.43000000,2114.28690000,0
34,1667949120000,49.83000000,49.83000000,49.83000000,49.83000000,4.01000000,1667949179999,199.81830000,1,4.01000000,199.81830000,0
35,1667949180000,49.83000000,49.83000000,49.83000000,49.83000000,0.00000000,1667949239999,0.00000000,0,0.00000000,0.00000000,0
36,1667949240000,49.83000000,49.83000000,49.83000000,49.83000000,0.00000000,1667949299999,0.00000000,0,0.00000000,0.00000000,0
37,1667949300000,49.84000000,49.84000000,49.84000000,49.84000000,3.47000000,1667949359999,172.94480000,1,3.47000000,172.94480000,0
