,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947080000,0.00050715,0.00050787,0.00050697,0.00050712,90.02000000,1667947139999,0.04566383,11,30.66000000,0.01555897,0
1,1667947140000,0.00050739,0.00050739,0.00050529,0.00050529,58.49000000,1667947199999,0.02959529,9,16.97000000,0.00859104,0
2,1667947200000,0.00050487,0.00050493,0.00049867,0.00049942,317.82000000,1667947259999,0.15921283,47,14.99000000,0.00750152,0
3,1667947260000,0.00049896,0.00049933,0.00049839,0.00049891,44.18000000,1667947319999,0.02204648,6,11.54000000,0.00576226,0
4,1667947320000,0.00049947,0.00050506,0.00049947,0.00050463,306.00000000,1667947379999,0.15382097,33,251.01000000,0.12611411,0
5,1667947380000,0.00050446,0.00050498,0.00050407,0.00050447,71.85000000,1667947439999,0.03625014,8,15.00000000,0.00757469,0
6,1667947440000,0.00050362,0.00050418,0.00050362,0.00050376,44.09000000,1667947499999,0.02220794,6,3.44000000,0.00173309,0
7,1667947500000,0.00050330,0.00050330,0.00050172,0.00050172,45.84000000,1667947559999,0.02304517,6,0.00000000,0.00000000,0
8,1667947560000,0.00050222,0.00050237,0.00050051,0.00050112,258.51000000,1667947619999,0.12974702,16,74.83000000,0.03755852,0
9,1667947620000,0.00050145,0.00050338,0.00050145,0.00050338,108.84000000,1667947679999,0.05467662,15,108.84000000,0.05467662,0
10,1667947680000,0.00050352,0.00050453,0.00050267,0.00050453,136.60000000,1667947739999,0.06879377,19,95.06000000,0.04789638,0
11,1667947740000,0.00050488,0.00050613,0.00050488,0.00050613,130.98000000,1667947799999,0.06621535,12,115.98000000,0.05864200,0
12,1667947800000,0.00050562,0.00050627,0.00050529,0.00050627,98.75000000,1667947859999,0.04996574,6,16.58000000,0.00839000,0
13,1667947860000,0.00050538,0.00050538,0.00050306,0.00050402,83.53000000,1667947919999,0.04214878,10,12.76000000,0.00643652,0
14,1667947920000,0.00050481,0.00050506,0.00050384,0.00050460,77.04000000,1667947979999,0.03886467,9,47.04000000,0.02374062,0
15,1667947980000,0.00050414,0.00050825,0.00050414,0.00050635,537.77000000,1667948039999,0.27222351,57,232.72000000,0.11778526,0
16,1667948040000,0.00050635,0.00050850,0.00050630,0.00050734,238.30000000,1667948099999,0.12088001,23,115.02000000,0.05838767,0
17,1667948100000,0.00050698,0.00050769,0.00050632,0.00050632,35.69000000,1667948159999,0.01809239,5,0.06000000,0.00003046,0
18,1667948160000,0.00050724,0.00050854,0.00050724,0.00050823,62.67000000,1667948219999,0.03182524,8,47.67000000,0.02420179,0
19,1667948220000,0.00050790,0.00050885,0.00050557,0.00050557,300.87000000,1667948279999,0.15260691,23,134.42000000,0.06828153,0
