,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946900000,0.03291000,0.03291000,0.03291000,0.03291000,20000.00000000,1667946959999,658.20000000,4,0.00000000,0.00000000,0
1,1667946960000,0.03301000,0.03301000,0.03301000,0.03301000,461.00000000,1667947019999,15.21761000,1,461.00000000,15.21761000,0
2,1667947020000,0.03297000,0.03297000,0.03297000,0.03297000,1237.00000000,1667947079999,40.78389000,1,0.00000000,0.00000000,0
3,1667947080000,0.03297000,0.03297000,0.03297000,0.03297000,822.00000000,1667947139999,27.10134000,1,822.00000000,27.10134000,0
4,1667947140000,0.03297000,0.03297000,0.03297000,0.03297000,0.00000000,1667947199999,0.00000000,0,0.00000000,0.00000000,0
5,1667947200000,0.03279000,0.03279000,0.03275000,0.03275000,4665.00000000,1667947259999,152.80535000,2,665.00000000,21.80535000,0
6,1667947260000,0.03275000,0.03275000,0.03275000,0.03275000,0.00000000,1667947319999,0.00000000,0,0.00000000,0.00000000,0
7,1667947320000,0.03275000,0.03275000,0.03275000,0.03275000,0.00000000,1667947379999,0.00000000,0,0.00000000,0.00000000,0
8,1667947380000,0.03275000,0.03275000,0.03275000,0.03275000,0.00000000,1667947439999,0.00000000,0,0.00000000,0.00000000,0
9,1667947440000,0.03275000,0.03275000,0.03275000,0.03275000,0.00000000,1667947499999,0.00000000,0,0.00000000,0.00000000,0
10,1667947500000,0.03281000,0.03281000,0.03281000,0.03281000,1487.00000000,1667947559999,48.78847000,1,1487.00000000,48.78847000,0
11,1667947560000,0.03281000,0.03281000,0.03281000,0.03281000,0.00000000,1667947619999,0.00000000,0,0.00000000,0.00000000,0
12,1667947620000,0.03290000,0.03290000,0.03290000,0.03290000,2166.00000000,1667947679999,71.26140000,1,2166.00000000,71.26140000,0
13,1667947680000,0.03290000,0.03290000,0.03290000,0.03290000,0.00000000,1667947739999,0.00000000,0,0.00000000,0.00000000,0
14,1667947740000,0.03264000,0.03264000,0.03253000,0.03253000,7757.00000000,1667947799999,252.84486000,3,5268.00000000,171.84216000,0
15,1667947800000,0.03253000,0.03253000,0.03253000,0.03253000,0.00000000,1667947859999,0.00000000,0,0.00000000,0.00000000,0
16,1667947860000,0.03253000,0.03253000,0.03253000,0.03253000,0.00000000,1667947919999,0.00000000,0,0.00000000,0.00000000,0
17,1667947920000,0.03256000,0.03256000,0.03256000,0.03256000,5093.00000000,1667947979999,165.82808000,1,0.00000000,0.00000000,0
18,1667947980000,0.03276000,0.03276000,0.03276000,0.03276000,1816.00000000,1667948039999,59.49216000,2,1816.00000000,59.49216000,0
19,1667948040000,0.03276000,0.03276000,0.03276000,0.03276000,0.00000000,1667948099999,0.00000000,0,0.00000000,0.00000000,0
20,1667948100000,0.03285000,0.03289000,0.03285000,0.03289000,10795.00000000,1667948159999,354.97491000,2,0.00000000,0.00000000,0
21,1667948160000,0.03289000,0.03289000,0.03289000,0.03289000,0.00000000,1667948219999,0.00000000,0,0.00000000,0.00000000,0
22,1667948220000,0.03289000,0.03289000,0.03289000,0.03289000,0.00000000,1667948279999,0.00000000,0,0.00000000,0.00000000,0
23,1667948280000,0.03289000,0.03289000,0.03289000,0.03289000,0.00000000,1667948339999,0.00000000,0,0.00000000,0.00000000,0
24,1667948340000,0.03289000,0.03289000,0.03289000,0.03289000,0.00000000,1667948399999,0.00000000,0,0.00000000,0.00000000,0
25,1667948400000,0.03289000,0.03289000,0.03289000,0.03289000,0.00000000,1667948459999,0.00000000,0,0.00000000,0.00000000,0
26,1667948460000,0.03289000,0.03289000,0.03289000,0.03289000,0.00000000,1667948519999,0.00000000,0,0.00000000,0.00000000,0
27,1667948520000,0.03289000,0.03289000,0.03289000,0.03289000,0.00000000,1667948579999,0.00000000,0,0.00000000,0.00000000,0
28,1667948580000,0.03289000,0.03289000,0.03289000,0.03289000,0.00000000,1667948639999,0.00000000,0,0.00000000,0.00000000,0
29,1667948640000,0.03289000,0.03289000,0.03289000,0.03289000,0.00000000,1667948699999,0.00000000,0,0.00000000,0.00000000,0
