,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946780000,0.25420000,0.25450000,0.25370000,0.25410000,10154.40000000,1667946839999,2579.97393000,25,2127.20000000,541.01236000,0
1,1667946840000,0.25410000,0.25410000,0.25400000,0.25400000,2512.50000000,1667946899999,638.27655000,11,1015.50000000,258.03855000,0
2,1667946900000,0.25390000,0.25390000,0.25310000,0.25320000,9593.40000000,1667946959999,2432.55891000,37,3182.50000000,807.35131000,0
3,1667946960000,0.25340000,0.25380000,0.25320000,0.25380000,12801.20000000,1667947019999,3244.05592000,32,10284.00000000,2606.08504000,0
4,1667947020000,0.25350000,0.25360000,0.25270000,0.25310000,9361.50000000,1667947079999,2369.61502000,37,1652.00000000,417.88559000,0
5,1667947080000,0.25320000,0.25330000,0.25310000,0.25320000,5945.40000000,1667947139999,1505.52997000,23,5550.70000000,1405.61690000,0
6,1667947140000,0.25300000,0.25320000,0.25210000,0.25240000,17486.80000000,1667947199999,4417.38003000,42,7704.30000000,1948.46426000,0
7,1667947200000,0.25240000,0.25250000,0.25200000,0.25230000,31210.00000000,1667947259999,7876.58274000,57,21089.70000000,5323.27936000,0
8,1667947260000,0.25230000,0.25260000,0.25200000,0.25260000,6462.80000000,1667947319999,1631.36304000,40,2154.60000000,544.11269000,0
9,1667947320000,0.25260000,0.25270000,0.25250000,0.25260000,5157.50000000,1667947379999,1302.76488000,15,2730.20000000,689.72302000,0
10,1667947380000,0.25270000,0.25350000,0.25250000,0.25320000,5256.30000000,1667947439999,1329.68358000,24,4773.40000000,1207.43660000,0
11,1667947440000,0.25320000,0.25330000,0.25260000,0.25270000,7594.00000000,1667947499999,1920.35996000,31,1776.70000000,449.57694000,0
12,1667947500000,0.25270000,0.25310000,0.25240000,0.25290000,8054.70000000,1667947559999,2034.76773000,21,2298.60000000,581.05217000,0
13,1667947560000,0.25260000,0.25300000,0.25260000,0.25300000,9469.10000000,1667947619999,2392.66259000,15,5614.40000000,1418.88911000,0
14,1667947620000,0.25300000,0.25340000,0.25300000,0.25330000,12117.10000000,1667947679999,3068.87169000,31,4296.10000000,1087.84860000,0
15,1667947680000,0.25340000,0.25350000,0.25300000,0.25300000,7614.80000000,1667947739999,1929.03930000,19,2233.00000000,565.94708000,0
16,1667947740000,0.25310000,0.25320000,0.25080000,0.25120000,21941.10000000,1667947799999,5522.33805000,67,9064.40000000,2280.29511000,0
17,1667947800000,0.25120000,0.25150000,0.25090000,0.25100000,1526.90000000,1667947859999,383.35857000,11,736.90000000,185.00407000,0
18,1667947860000,0.25100000,0.25160000,0.25100000,0.25160000,4160.10000000,1667947919999,1046.15349000,13,4160.10000000,1046.15349000,0
19,1667947920000,0.25140000,0.25180000,0.25140000,0.25180000,1142.10000000,1667947979999,287.29851000,9,579.40000000,145.78692000,0
20,1667947980000,0.25180000,0.25330000,0.25180000,0.25310000,9934.40000000,1667948039999,2508.16847000,47,8330.80000000,2103.31807000,0
21,1667948040000,0.25320000,0.25430000,0.25280000,0.25280000,21769.50000000,1667948099999,5517.98060000,56,7197.40000000,1826.31754000,0
22,1667948100000,0.25320000,0.25370000,0.25320000,0.25370000,15144.50000000,1667948159999,3837.70395000,42,4936.30000000,1251.16794000,0
23,1667948160000,0.25370000,0.25380000,0.25320000,0.25320000,4834.20000000,1667948219999,1225.58883000,22,1797.60000000,456.13345000,0
24,1667948220000,0.25310000,0.25320000,0.25270000,0.25310000,6469.00000000,1667948279999,1635.92939000,29,3205.80000000,810.77518000,0
25,1667948280000,0.25300000,0.25320000,0.25200000,0.25210000,11300.60000000,1667948339999,2854.97016000,37,1412.10000000,357.24106000,0
26,1667948340000,0.25230000,0.25260000,0.25220000,0.25240000,7136.10000000,1667948399999,1801.26568000,26,4664.80000000,1177.58161000,0
27,1667948400000,0.25230000,0.25260000,0.25210000,0.25210000,6888.70000000,1667948459999,1738.07270000,23,4689.40000000,1183.27384000,0
28,1667948460000,0.25230000,0.25230000,0.25120000,0.25170000,26522.70000000,1667948519999,6670.48080000,72,8947.80000000,2251.55071000,0
29,1667948520000,0.25150000,0.25210000,0.25110000,0.25200000,29481.80000000,1667948579999,7419.53838000,48,19649.00000000,4949.99008000,0
30,1667948580000,0.25220000,0.25280000,0.25220000,0.25280000,15432.40000000,1667948639999,3898.06817000,52,11228.30000000,2836.05509000,0
31,1667948640000,0.25290000,0.25300000,0.25250000,0.25300000,14552.20000000,1667948699999,3678.04097000,40,7601.20000000,1922.25983000,0
32,1667948700000,0.25280000,0.25360000,0.25270000,0.25350000,13057.10000000,1667948759999,3306.34127000,42,11692.10000000,2960.99219000,0
33,1667948760000,0.25340000,0.25380000,0.25340000,0.25380000,3096.80000000,1667948819999,785.43722000,21,2260.00000000,573.27328000,0
34,1667948820000,0.25370000,0.25380000,0.25270000,0.25290000,10124.90000000,1667948879999,2563.42950000,46,3158.60000000,799.72121000,0
35,1667948880000,0.25290000,0.25300000,0.25250000,0.25270000,5170.40000000,1667948939999,1306.40102000,28,2231.10000000,563.70258000,0
36,1667948940000,0.25260000,0.25310000,0.25220000,0.25310000,6309.80000000,1667948999999,1593.63137000,37,3164.70000000,799.55711000,0
37,1667949000000,0.25320000,0.25400000,0.25310000,0.25380000,13266.30000000,1667949059999,3363.46012000,48,9533.40000000,2417.19691000,0
38,1667949060000,0.25380000,0.25390000,0.25330000,0.25360000,4485.90000000,1667949119999,1137.38233000,25,1860.30000000,471.87803000,0
39,1667949120000,0.25360000,0.25370000,0.25300000,0.25330000,9466.00000000,1667949179999,2396.61392000,41,1869.70000000,473.64473000,0
40,1667949180000,0.25310000,0.25340000,0.25310000,0.25330000,2442.00000000,1667949239999,618.27411000,13,1999.50000000,506.23311000,0
41,1667949240000,0.25330000,0.25410000,0.25330000,0.25370000,12127.90000000,1667949299999,3077.35228000,44,7279.20000000,1846.91783000,0
42,1667949300000,0.25370000,0.25430000,0.25370000,0.25430000,5246.20000000,1667949359999,1332.27793000,22,4612.90000000,1171.54458000,0
43,1667949360000,0.25420000,0.25490000,0.25300000,0.25350000,20261.10000000,1667949419999,5143.45468000,73,6100.50000000,1552.02956000,0
44,1667949420000,0.25300000,0.25370000,0.25260000,0.25310000,13425.20000000,1667949479999,3398.38749000,47,4357.70000000,1104.67022000,0
45,1667949480000,0.25280000,0.25290000,0.25170000,0.25200000,19349.50000000,1667949539999,4883.51794000,88,5142.30000000,1298.00922000,0
