,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946960000,1.02200000,1.02300000,1.02100000,1.02300000,840.00000000,1667947019999,858.48000000,8,212.20000000,216.96460000,0
1,1667947020000,1.02100000,1.02200000,1.01900000,1.02000000,899.60000000,1667947079999,917.96060000,13,30.60000000,31.25100000,0
2,1667947080000,1.02000000,1.02000000,1.02000000,1.02000000,195.00000000,1667947139999,198.90000000,2,97.50000000,99.45000000,0
3,1667947140000,1.01900000,1.01900000,1.01800000,1.01800000,341.50000000,1667947199999,347.84300000,5,0.00000000,0.00000000,0
4,1667947200000,1.01700000,1.01800000,1.01700000,1.01800000,296.80000000,1667947259999,302.10680000,7,261.20000000,265.90160000,0
5,1667947260000,1.01900000,1.01900000,1.01900000,1.01900000,292.00000000,1667947319999,297.54800000,4,292.00000000,297.54800000,0
6,1667947320000,1.02000000,1.02200000,1.02000000,1.02200000,5156.40000000,1667947379999,5261.55630000,10,4299.00000000,4385.39190000,0
7,1667947380000,1.02200000,1.02200000,1.02200000,1.02200000,640.20000000,1667947439999,654.28440000,2,640.20000000,654.28440000,0
8,1667947440000,1.02100000,1.02100000,1.01900000,1.01900000,1517.40000000,1667947499999,1548.31660000,4,600.00000000,612.60000000,0
9,1667947500000,1.02100000,1.02100000,1.02000000,1.02000000,613.40000000,1667947559999,625.68800000,3,613.40000000,625.68800000,0
10,1667947560000,1.02100000,1.02100000,1.01900000,1.02100000,4505.40000000,1667947619999,4594.56530000,14,139.00000000,141.91900000,0
11,1667947620000,1.02200000,1.02200000,1.02200000,1.02200000,1516.80000000,1667947679999,1550.16960000,5,1516.80000000,1550.16960000,0
12,1667947680000,1.02200000,1.02200000,1.02000000,1.02000000,69.30000000,1667947739999,70.72500000,2,19.50000000,19.92900000,0
13,1667947740000,1.01800000,1.01800000,1.01500000,1.01500000,4405.60000000,1667947799999,4473.45110000,29,920.00000000,934.72000000,0
14,1667947800000,1.01500000,1.01500000,1.01300000,1.01300000,1100.60000000,1667947859999,1116.70110000,7,211.60000000,214.56240000,0
15,1667947860000,1.01300000,1.01300000,1.01300000,1.01300000,0.00000000,1667947919999,0.00000000,0,0.00000000,0.00000000,0
16,1667947920000,1.01400000,1.01500000,1.01300000,1.01500000,4960.90000000,1667947979999,5030.36420000,11,784.80000000,796.01040000,0
17,1667947980000,1.01400000,1.02100000,1.01400000,1.02100000,922.20000000,1667948039999,938.65120000,12,452.50000000,460.89300000,0
18,1667948040000,1.02200000,1.02500000,1.02000000,1.02000000,3080.80000000,1667948099999,3150.33000000,22,596.00000000,609.28260000,0
19,1667948100000,1.02100000,1.02200000,1.02100000,1.02200000,600.60000000,1667948159999,613.42420000,4,600.60000000,613.42420000,0
20,1667948160000,1.02300000,1.02400000,1.02000000,1.02000000,1050.00000000,1667948219999,1071.89540000,9,112.60000000,115.23140000,0
21,1667948220000,1.02100000,1.02100000,1.01900000,1.01900000,971.10000000,1667948279999,989.99900000,7,677.00000000,690.01700000,0
22,1667948280000,1.01800000,1.01800000,1.01600000,1.01600000,213.20000000,1667948339999,216.88980000,8,84.80000000,86.21420000,0
23,1667948340000,1.01600000,1.01800000,1.01600000,1.01700000,1253.10000000,1667948399999,1273.96150000,10,1035.30000000,1052.45890000,0
24,1667948400000,1.01600000,1.01800000,1.01600000,1.01800000,202.80000000,1667948459999,206.17870000,4,104.50000000,106.30590000,0
25,1667948460000,1.01600000,1.01600000,1.00700000,1.00900000,12554.90000000,1667948519999,12672.71850000,64,977.30000000,985.40310000,0
26,1667948520000,1.00900000,1.01300000,1.00800000,1.01300000,1503.70000000,1667948579999,1519.61680000,19,1241.40000000,1254.81300000,0
27,1667948580000,1.01300000,1.01700000,1.01300000,1.01700000,710.90000000,1667948639999,721.65720000,13,206.90000000,210.12440000,0
28,1667948640000,1.01600000,1.01900000,1.01600000,1.01900000,376.90000000,1667948699999,383.73790000,8,314.90000000,320.68590000,0
29,1667948700000,1.02000000,1.02200000,1.02000000,1.02200000,3106.60000000,1667948759999,3168.85520000,9,3106.60000000,3168.85520000,0
30,1667948760000,1.02300000,1.02300000,1.02200000,1.02200000,1406.30000000,1667948819999,1437.33160000,11,721.60000000,737.56820000,0
31,1667948820000,1.02100000,1.02100000,1.02000000,1.02000000,345.50000000,1667948879999,352.56900000,3,0.00000000,0.00000000,0
32,1667948880000,1.01900000,1.01900000,1.01900000,1.01900000,205.30000000,1667948939999,209.20070000,1,205.30000000,209.20070000,0
33,1667948940000,1.01900000,1.01900000,1.01800000,1.01900000,802.70000000,1667948999999,817.65860000,10,725.20000000,738.76360000,0
34,1667949000000,1.02000000,1.02300000,1.02000000,1.02200000,1050.50000000,1667949059999,1072.83400000,12,190.70000000,194.75640000,0
35,1667949060000,1.02300000,1.02300000,1.02100000,1.02100000,909.70000000,1667949119999,930.19560000,8,0.00000000,0.00000000,0
36,1667949120000,1.02000000,1.02100000,1.01800000,1.01800000,840.20000000,1667949179999,856.47310000,10,170.70000000,173.96670000,0
37,1667949180000,1.01900000,1.01900000,1.01900000,1.01900000,522.50000000,1667949239999,532.42750000,2,522.50000000,532.42750000,0
38,1667949240000,1.01900000,1.02200000,1.01900000,1.02200000,639.50000000,1667949299999,652.81040000,6,389.10000000,396.90160000,0
39,1667949300000,1.02200000,1.02300000,1.02100000,1.02300000,1497.60000000,1667949359999,1531.55020000,6,1340.50000000,1371.02470000,0
40,1667949360000,1.02400000,1.02400000,1.01700000,1.01800000,1165.10000000,1667949419999,1189.86550000,16,385.50000000,393.88080000,0
41,1667949420000,1.01900000,1.01900000,1.01600000,1.01600000,524.70000000,1667949479999,533.56130000,4,76.50000000,77.95350000,0
42,1667949480000,1.01500000,1.01500000,1.01200000,1.01200000,913.40000000,1667949539999,925.33240000,7,600.00000000,607.80000000,0
43,1667949540000,1.01400000,1.01700000,1.01400000,1.01600000,655.30000000,1667949599999,665.57890000,6,443.70000000,450.59330000,0
44,1667949600000,1.01700000,1.01700000,1.01100000,1.01300000,688.10000000,1667949659999,696.48650000,7,277.30000000,281.16770000,0
45,1667949660000,1.01300000,1.01300000,1.01300000,1.01300000,18.80000000,1667949719999,19.04440000,1,0.00000000,0.00000000,0
46,1667949720000,1.01300000,1.01500000,1.01100000,1.01500000,3788.90000000,1667949779999,3838.65470000,8,452.00000000,458.53360000,0
47,1667949780000,1.01600000,1.01800000,1.01600000,1.01800000,1348.00000000,1667949839999,1371.77060000,10,589.00000000,599.10860000,0
48,1667949840000,1.01700000,1.02000000,1.01700000,1.02000000,425.20000000,1667949899999,432.90190000,6,266.20000000,271.19890000,0
49,1667949900000,1.01900000,1.02200000,1.01900000,1.02200000,531.90000000,1667949959999,542.12430000,3,52.10000000,53.20810000,0
50,1667949960000,1.01800000,1.01900000,1.01700000,1.01900000,1722.50000000,1667950019999,1753.59580000,11,948.30000000,965.52840000,0
51,1667950020000,1.02000000,1.02300000,1.01900000,1.02200000,1492.90000000,1667950079999,1525.06450000,10,1333.90000000,1362.56650000,0
52,1667950080000,1.01900000,1.02300000,1.01900000,1.02300000,1311.60000000,1667950139999,1337.68480000,7,370.60000000,378.80580000,0
53,1667950140000,1.02400000,1.02700000,1.02400000,1.02700000,1326.10000000,1667950199999,1360.41660000,15,1289.10000000,1322.41760000,0
54,1667950200000,1.02700000,1.02700000,1.02200000,1.02200000,1631.10000000,1667950259999,1671.20120000,9,407.20000000,417.55840000,0
55,1667950260000,1.02200000,1.02200000,1.02200000,1.02200000,159.00000000,1667950319999,162.49800000,1,159.00000000,162.49800000,0
56,1667950320000,1.02600000,1.02600000,1.02600000,1.02600000,139.40000000,1667950379999,143.02440000,1,139.40000000,143.02440000,0
57,1667950380000,1.02700000,1.02900000,1.02600000,1.02900000,2922.10000000,1667950439999,3002.07690000,14,2585.30000000,2656.04310000,0
58,1667950440000,1.02900000,1.03100000,1.02900000,1.03100000,667.50000000,1667950499999,687.55600000,14,667.50000000,687.55600000,0
59,1667950500000,1.03100000,1.03400000,1.02800000,1.03400000,1722.70000000,1667950559999,1776.90800000,14,708.80000000,731.94520000,0
