,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946840000,13.04000000,13.06000000,13.03000000,13.03000000,52.30000000,1667946899999,681.71280000,13,1.80000000,23.50800000,0
1,1667946900000,13.05000000,13.05000000,13.01000000,13.01000000,20.02000000,1667946959999,260.85700000,7,7.92000000,103.35600000,0
2,1667946960000,13.01000000,13.05000000,12.98000000,13.05000000,411.72000000,1667947019999,5355.79390000,36,76.49000000,995.93220000,0
3,1667947020000,13.02000000,13.02000000,12.98000000,12.99000000,178.34000000,1667947079999,2319.44990000,22,23.02000000,299.69040000,0
4,1667947080000,13.00000000,13.01000000,12.97000000,12.97000000,61.89000000,1667947139999,804.10800000,20,24.69000000,321.20690000,0
5,1667947140000,13.00000000,13.01000000,12.97000000,12.99000000,89.34000000,1667947199999,1159.84790000,11,20.79000000,270.27830000,0
6,1667947200000,12.96000000,12.97000000,12.94000000,12.97000000,53.86000000,1667947259999,698.08100000,9,25.40000000,329.43800000,0
7,1667947260000,12.97000000,13.00000000,12.97000000,13.00000000,36.34000000,1667947319999,471.77600000,4,36.34000000,471.77600000,0
8,1667947320000,12.99000000,13.01000000,12.99000000,13.01000000,168.12000000,1667947379999,2186.88230000,12,144.14000000,1874.90250000,0
9,1667947380000,13.01000000,13.01000000,12.99000000,13.01000000,83.95000000,1667947439999,1091.38250000,8,43.60000000,567.23600000,0
10,1667947440000,12.99000000,12.99000000,12.98000000,12.98000000,18.94000000,1667947499999,245.99040000,8,0.00000000,0.00000000,0
11,1667947500000,12.97000000,12.97000000,12.96000000,12.96000000,2.69000000,1667947559999,34.87790000,2,2.69000000,34.87790000,0
12,1667947560000,12.97000000,13.00000000,12.97000000,13.00000000,76.84000000,1667947619999,997.11810000,12,36.27000000,470.55890000,0
13,1667947620000,13.00000000,13.01000000,13.00000000,13.01000000,178.56000000,1667947679999,2322.82570000,10,178.56000000,2322.82570000,0
14,1667947680000,13.03000000,13.03000000,13.00000000,13.00000000,46.54000000,1667947739999,605.79160000,6,21.78000000,283.79340000,0
15,1667947740000,12.99000000,12.99000000,12.92000000,12.92000000,285.06000000,1667947799999,3692.39360000,45,1.83000000,23.68020000,0
16,1667947800000,12.92000000,12.93000000,12.88000000,12.89000000,80.97000000,1667947859999,1044.39860000,27,13.56000000,175.29680000,0
17,1667947860000,12.89000000,12.90000000,12.88000000,12.90000000,44.03000000,1667947919999,567.87420000,7,43.17000000,556.79740000,0
18,1667947920000,12.92000000,12.92000000,12.92000000,12.92000000,30.19000000,1667947979999,390.05480000,4,30.19000000,390.05480000,0
19,1667947980000,12.94000000,13.02000000,12.94000000,13.02000000,90.71000000,1667948039999,1177.01440000,12,78.89000000,1023.70900000,0
20,1667948040000,13.03000000,13.09000000,13.03000000,13.05000000,164.90000000,1667948099999,2152.13970000,16,159.98000000,2087.90550000,0
21,1667948100000,13.07000000,13.08000000,13.07000000,13.08000000,320.52000000,1667948159999,4192.31660000,5,320.52000000,4192.31660000,0
22,1667948160000,13.06000000,13.06000000,13.06000000,13.06000000,134.11000000,1667948219999,1751.47660000,5,0.00000000,0.00000000,0
23,1667948220000,13.06000000,13.07000000,13.06000000,13.06000000,279.38000000,1667948279999,3649.95290000,8,113.19000000,1479.39330000,0
24,1667948280000,13.06000000,13.06000000,13.02000000,13.02000000,935.43000000,1667948339999,12216.25100000,20,0.00000000,0.00000000,0
25,1667948340000,13.02000000,13.02000000,13.02000000,13.02000000,0.00000000,1667948399999,0.00000000,0,0.00000000,0.00000000,0
26,1667948400000,13.00000000,13.01000000,12.96000000,12.96000000,60.96000000,1667948459999,792.21510000,13,24.77000000,322.13950000,0
27,1667948460000,12.96000000,12.96000000,12.91000000,12.91000000,42.18000000,1667948519999,545.24780000,7,0.78000000,10.10880000,0
28,1667948520000,12.91000000,12.98000000,12.91000000,12.98000000,44.93000000,1667948579999,581.33930000,6,37.14000000,480.77040000,0
29,1667948580000,12.99000000,13.00000000,12.99000000,13.00000000,134.93000000,1667948639999,1752.98640000,5,101.39000000,1317.30180000,0
30,1667948640000,13.00000000,13.02000000,12.99000000,13.01000000,66.05000000,1667948699999,859.04750000,5,0.00000000,0.00000000,0
31,1667948700000,13.01000000,13.03000000,12.98000000,13.01000000,460.13000000,1667948759999,5981.93720000,34,172.51000000,2244.03690000,0
32,1667948760000,13.03000000,13.05000000,13.03000000,13.05000000,54.00000000,1667948819999,704.25740000,10,30.50000000,397.71860000,0
33,1667948820000,13.05000000,13.05000000,13.02000000,13.04000000,151.39000000,1667948879999,1973.39430000,15,121.06000000,1578.01170000,0
34,1667948880000,13.04000000,13.06000000,13.01000000,13.05000000,193.25000000,1667948939999,2521.64670000,20,183.36000000,2392.90160000,0
35,1667948940000,13.02000000,13.04000000,13.01000000,13.04000000,252.47000000,1667948999999,3289.83800000,17,205.19000000,2674.13420000,0
36,1667949000000,13.04000000,13.07000000,13.04000000,13.06000000,113.97000000,1667949059999,1488.65240000,15,15.81000000,206.48290000,0
37,1667949060000,13.06000000,13.07000000,13.06000000,13.07000000,24.16000000,1667949119999,315.56820000,3,3.86000000,50.45020000,0
38,1667949120000,13.04000000,13.04000000,13.04000000,13.04000000,8.41000000,1667949179999,109.66640000,2,4.55000000,59.33200000,0
39,1667949180000,13.03000000,13.04000000,13.03000000,13.04000000,1.87000000,1667949239999,24.37650000,2,1.87000000,24.37650000,0
40,1667949240000,13.04000000,13.11000000,13.04000000,13.08000000,899.79000000,1667949299999,11742.59920000,27,875.23000000,11421.22160000,0
41,1667949300000,13.09000000,13.10000000,13.09000000,13.10000000,34.29000000,1667949359999,449.08880000,5,34.29000000,449.08880000,0
42,1667949360000,13.12000000,13.14000000,13.03000000,13.03000000,163.25000000,1667949419999,2138.39650000,19,16.84000000,221.00240000,0
43,1667949420000,13.05000000,13.05000000,13.03000000,13.03000000,15.03000000,1667949479999,196.01290000,3,8.60000000,112.23000000,0
