,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946720000,0.00018330,0.00018330,0.00018320,0.00018320,37722.00000000,1667946779999,6.91434010,9,35320.00000000,6.47415420,0
1,1667946780000,0.00018310,0.00018310,0.00018310,0.00018310,8932.00000000,1667946839999,1.63544920,2,0.00000000,0.00000000,0
2,1667946840000,0.00018330,0.00018330,0.00018310,0.00018330,5307.00000000,1667946899999,0.97228890,5,3675.00000000,0.67346970,0
3,1667946900000,0.00018330,0.00018330,0.00018310,0.00018310,17941.00000000,1667946959999,3.28530550,3,17159.00000000,3.14196490,0
4,1667946960000,0.00018300,0.00018310,0.00018290,0.00018310,18620.00000000,1667947019999,3.40636000,13,3135.00000000,0.57392740,0
5,1667947020000,0.00018310,0.00018350,0.00018310,0.00018350,32710.00000000,1667947079999,5.99496470,11,32710.00000000,5.99496470,0
6,1667947080000,0.00018350,0.00018350,0.00018350,0.00018350,12706.00000000,1667947139999,2.33155100,5,11228.00000000,2.06033800,0
7,1667947140000,0.00018360,0.00018380,0.00018360,0.00018380,22139.00000000,1667947199999,4.06691600,7,20484.00000000,3.76305800,0
8,1667947200000,0.00018370,0.00018370,0.00018310,0.00018310,28009.00000000,1667947259999,5.13228280,11,2958.00000000,0.54222400,0
9,1667947260000,0.00018300,0.00018300,0.00018250,0.00018260,20888.00000000,1667947319999,3.81559560,10,727.00000000,0.13275020,0
10,1667947320000,0.00018270,0.00018270,0.00018250,0.00018250,296724.00000000,1667947379999,54.15227000,29,217390.00000000,39.67381500,0
11,1667947380000,0.00018250,0.00018250,0.00018230,0.00018230,32557.00000000,1667947439999,5.94010840,7,24340.00000000,4.44205000,0
12,1667947440000,0.00018230,0.00018250,0.00018220,0.00018250,264106.00000000,1667947499999,48.19425540,24,249783.00000000,45.58449490,0
13,1667947500000,0.00018250,0.00018250,0.00018250,0.00018250,67765.00000000,1667947559999,12.36711250,5,67765.00000000,12.36711250,0
14,1667947560000,0.00018250,0.00018250,0.00018220,0.00018220,18199.00000000,1667947619999,3.31970060,6,11714.00000000,2.13767280,0
15,1667947620000,0.00018250,0.00018250,0.00018250,0.00018250,815.00000000,1667947679999,0.14873750,1,815.00000000,0.14873750,0
16,1667947680000,0.00018240,0.00018250,0.00018240,0.00018250,71074.00000000,1667947739999,12.97075340,9,68558.00000000,12.51183500,0
17,1667947740000,0.00018250,0.00018310,0.00018240,0.00018310,6338532.00000000,1667947799999,1156.80088440,295,6335835.00000000,1156.30837170,0
18,1667947800000,0.00018310,0.00018400,0.00018310,0.00018400,111940.00000000,1667947859999,20.53332230,26,105696.00000000,19.38924710,0
19,1667947860000,0.00018390,0.00018410,0.00018350,0.00018370,33128.00000000,1667947919999,6.08611340,13,4612.00000000,0.84892420,0
20,1667947920000,0.00018360,0.00018420,0.00018360,0.00018420,102647.00000000,1667947979999,18.86058550,10,33807.00000000,6.21467750,0
21,1667947980000,0.00018430,0.00018450,0.00018410,0.00018410,28222.00000000,1667948039999,5.20177290,11,16943.00000000,3.12378020,0
22,1667948040000,0.00018400,0.00018400,0.00018360,0.00018370,48552.00000000,1667948099999,8.92728890,25,25456.00000000,4.68036450,0
23,1667948100000,0.00018370,0.00018370,0.00018340,0.00018360,41212.00000000,1667948159999,7.56344050,15,18813.00000000,3.45359200,0
24,1667948160000,0.00018360,0.00018360,0.00018350,0.00018360,40265.00000000,1667948219999,7.39235400,6,5362.00000000,0.98446320,0
