,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946900000,1.11030000,1.11030000,1.10800000,1.10980000,4267.00000000,1667946959999,4735.78360000,6,4174.00000000,4632.73960000,0
1,1667946960000,1.10980000,1.11000000,1.10900000,1.10900000,22710.00000000,1667947019999,25203.06070000,6,18107.00000000,20093.73070000,0
2,1667947020000,1.10980000,1.11020000,1.10980000,1.11020000,904.00000000,1667947079999,1003.49440000,4,904.00000000,1003.49440000,0
3,1667947080000,1.10780000,1.11010000,1.10780000,1.11010000,3089.00000000,1667947139999,3425.19580000,2,1392.00000000,1545.25920000,0
4,1667947140000,1.10840000,1.10840000,1.10840000,1.10840000,4049.00000000,1667947199999,4487.91160000,1,0.00000000,0.00000000,0
5,1667947200000,1.10820000,1.10980000,1.10820000,1.10820000,20014.00000000,1667947259999,22179.86700000,5,213.00000000,236.38740000,0
6,1667947260000,1.10820000,1.10960000,1.10660000,1.10660000,1455.00000000,1667947319999,1611.08600000,4,173.00000000,191.96080000,0
7,1667947320000,1.10660000,1.11010000,1.10660000,1.11010000,2756.00000000,1667947379999,3049.85260000,2,18.00000000,19.98180000,0
8,1667947380000,1.10980000,1.10980000,1.10980000,1.10980000,9.00000000,1667947439999,9.98820000,1,9.00000000,9.98820000,0
9,1667947440000,1.10970000,1.10970000,1.10970000,1.10970000,2527.00000000,1667947499999,2804.21190000,4,2527.00000000,2804.21190000,0
10,1667947500000,1.10910000,1.10910000,1.10910000,1.10910000,1138.00000000,1667947559999,1262.15580000,3,1056.00000000,1171.20960000,0
11,1667947560000,1.10910000,1.10910000,1.10910000,1.10910000,0.00000000,1667947619999,0.00000000,0,0.00000000,0.00000000,0
12,1667947620000,1.10960000,1.10960000,1.10960000,1.10960000,4164.00000000,1667947679999,4620.37440000,2,4164.00000000,4620.37440000,0
13,1667947680000,1.10960000,1.10960000,1.10710000,1.10780000,4827.00000000,1667947739999,5355.70530000,4,214.00000000,237.39050000,0
14,1667947740000,1.10540000,1.10550000,1.10060000,1.10550000,3218.00000000,1667947799999,3555.92660000,8,3060.00000000,3381.64030000,0
15,1667947800000,1.10040000,1.10590000,1.10040000,1.10590000,2870.00000000,1667947859999,3162.98600000,3,16.00000000,17.69440000,0
16,1667947860000,1.10230000,1.10230000,1.10230000,1.10230000,85.00000000,1667947919999,93.69550000,1,85.00000000,93.69550000,0
17,1667947920000,1.10580000,1.10900000,1.10360000,1.10360000,2075.00000000,1667947979999,2290.13780000,4,37.00000000,41.00100000,0
18,1667947980000,1.10590000,1.11090000,1.10590000,1.10760000,4636.00000000,1667948039999,5135.74990000,6,937.00000000,1040.25740000,0
19,1667948040000,1.11130000,1.11130000,1.10580000,1.10960000,16786.00000000,1667948099999,18620.36270000,6,16407.00000000,18201.26450000,0
20,1667948100000,1.10790000,1.10790000,1.10320000,1.10320000,1964.00000000,1667948159999,2175.69940000,4,1918.00000000,2124.95220000,0
21,1667948160000,1.10620000,1.10790000,1.10620000,1.10790000,4709.00000000,1667948219999,5217.02290000,3,4709.00000000,5217.02290000,0
22,1667948220000,1.10650000,1.10650000,1.10650000,1.10650000,451.00000000,1667948279999,499.03150000,1,451.00000000,499.03150000,0
23,1667948280000,1.10650000,1.10650000,1.10650000,1.10650000,0.00000000,1667948339999,0.00000000,0,0.00000000,0.00000000,0
24,1667948340000,1.10650000,1.10650000,1.10620000,1.10620000,3858.00000000,1667948399999,4268.64720000,5,2733.00000000,3024.05970000,0
25,1667948400000,1.10620000,1.10630000,1.10420000,1.10420000,2959.00000000,1667948459999,3272.63100000,5,2097.00000000,2319.75220000,0
26,1667948460000,1.10610000,1.10640000,1.10610000,1.10640000,3097.00000000,1667948519999,3426.36300000,5,3097.00000000,3426.36300000,0
27,1667948520000,1.10640000,1.10640000,1.10640000,1.10640000,844.00000000,1667948579999,933.80160000,5,844.00000000,933.80160000,0
28,1667948580000,1.10640000,1.10740000,1.10550000,1.10550000,34862.00000000,1667948639999,38583.65150000,6,3049.00000000,3373.59330000,0
29,1667948640000,1.10720000,1.10740000,1.10720000,1.10740000,436.00000000,1667948699999,482.77320000,3,0.00000000,0.00000000,0
30,1667948700000,1.10980000,1.11300000,1.10980000,1.11300000,5231.00000000,1667948759999,5806.87020000,4,5231.00000000,5806.87020000,0
31,1667948760000,1.11300000,1.11300000,1.11300000,1.11300000,2757.00000000,1667948819999,3068.54100000,2,2757.00000000,3068.54100000,0
32,1667948820000,1.11100000,1.11100000,1.11000000,1.11000000,11888.00000000,1667948879999,13197.48000000,3,0.00000000,0.00000000,0
33,1667948880000,1.10990000,1.10990000,1.10990000,1.10990000,1784.00000000,1667948939999,1980.06160000,3,1784.00000000,1980.06160000,0
34,1667948940000,1.10750000,1.10750000,1.10750000,1.10750000,450.00000000,1667948999999,498.37500000,1,0.00000000,0.00000000,0
35,1667949000000,1.10980000,1.11040000,1.10980000,1.11040000,19425.00000000,1667949059999,21568.15560000,5,19425.00000000,21568.15560000,0
36,1667949060000,1.11040000,1.11180000,1.11040000,1.11150000,4371.00000000,1667949119999,4855.77090000,3,1674.00000000,1861.02210000,0
37,1667949120000,1.10930000,1.11040000,1.10600000,1.11040000,62384.00000000,1667949179999,69148.30260000,9,60016.00000000,66527.76640000,0
38,1667949180000,1.10880000,1.11000000,1.10540000,1.10850000,2544.00000000,1667949239999,2818.71060000,8,618.00000000,685.11850000,0
39,1667949240000,1.10990000,1.10990000,1.10710000,1.10710000,2949.00000000,1667949299999,3267.36760000,3,901.00000000,1000.01990000,0
40,1667949300000,1.10850000,1.10850000,1.10850000,1.10850000,361.00000000,1667949359999,400.16850000,1,0.00000000,0.00000000,0
41,1667949360000,1.10530000,1.10860000,1.10530000,1.10710000,2141.00000000,1667949419999,2371.14830000,4,1534.00000000,1700.23120000,0
42,1667949420000,1.10660000,1.10660000,1.10660000,1.10660000,965.00000000,1667949479999,1067.86900000,2,965.00000000,1067.86900000,0
43,1667949480000,1.10350000,1.10350000,1.10350000,1.10350000,459.00000000,1667949539999,506.50650000,2,389.00000000,429.26150000,0
