,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946900000,1.14560000,1.14710000,1.14560000,1.14710000,757.00000000,1667946959999,868.07720000,4,572.00000000,656.14120000,0
1,1667946960000,1.14710000,1.14710000,1.14600000,1.14600000,906.00000000,1667947019999,1038.56550000,6,279.00000000,320.02350000,0
2,1667947020000,1.14660000,1.14660000,1.14500000,1.14500000,585.00000000,1667947079999,670.08820000,8,64.00000000,73.31360000,0
3,1667947080000,1.14620000,1.15040000,1.14530000,1.14550000,8685.00000000,1667947139999,9960.51790000,39,5139.00000000,5892.37940000,0
4,1667947140000,1.14660000,1.14660000,1.14460000,1.14460000,986.00000000,1667947199999,1129.74490000,14,301.00000000,345.03740000,0
5,1667947200000,1.14440000,1.14500000,1.14410000,1.14500000,1640.00000000,1667947259999,1877.12960000,12,817.00000000,935.39690000,0
6,1667947260000,1.14490000,1.14650000,1.14470000,1.14650000,1517.00000000,1667947319999,1737.89700000,8,1517.00000000,1737.89700000,0
7,1667947320000,1.14650000,1.14650000,1.14480000,1.14480000,2340.00000000,1667947379999,2681.06270000,10,553.00000000,633.97220000,0
8,1667947380000,1.14480000,1.14640000,1.14480000,1.14640000,194.00000000,1667947439999,222.21060000,4,74.00000000,84.83360000,0
9,1667947440000,1.14640000,1.14640000,1.14490000,1.14510000,708.00000000,1667947499999,810.81300000,9,34.00000000,38.97760000,0
10,1667947500000,1.14480000,1.14690000,1.14120000,1.14450000,4437.00000000,1667947559999,5073.82030000,35,1470.00000000,1682.80730000,0
11,1667947560000,1.14370000,1.14660000,1.14370000,1.14660000,360.00000000,1667947619999,412.10760000,6,360.00000000,412.10760000,0
12,1667947620000,1.14620000,1.14750000,1.14310000,1.14450000,1393.00000000,1667947679999,1597.33520000,10,1308.00000000,1500.13390000,0
13,1667947680000,1.14730000,1.14890000,1.14320000,1.14320000,3980.00000000,1667947739999,4561.18710000,19,1405.00000000,1612.74680000,0
14,1667947740000,1.14210000,1.14540000,1.14000000,1.14530000,14476.00000000,1667947799999,16514.57070000,50,3439.00000000,3929.42260000,0
15,1667947800000,1.14450000,1.14530000,1.14100000,1.14110000,1972.00000000,1667947859999,2253.51510000,11,850.00000000,973.07730000,0
16,1667947860000,1.14470000,1.14470000,1.14100000,1.14430000,1404.00000000,1667947919999,1602.52120000,13,90.00000000,102.95970000,0
17,1667947920000,1.14430000,1.14430000,1.14340000,1.14340000,122.00000000,1667947979999,139.52990000,3,122.00000000,139.52990000,0
18,1667947980000,1.14300000,1.14670000,1.13910000,1.14410000,14953.00000000,1667948039999,17062.16010000,40,2068.00000000,2365.82440000,0
19,1667948040000,1.14410000,1.14410000,1.14390000,1.14390000,585.00000000,1667948099999,669.27670000,7,585.00000000,669.27670000,0
20,1667948100000,1.14140000,1.14350000,1.14140000,1.14150000,846.00000000,1667948159999,965.74280000,5,42.00000000,48.02700000,0
21,1667948160000,1.14400000,1.14660000,1.14400000,1.14660000,1617.00000000,1667948219999,1850.76890000,10,1617.00000000,1850.76890000,0
22,1667948220000,1.14660000,1.14660000,1.14350000,1.14620000,497.00000000,1667948279999,569.74540000,7,359.00000000,411.61070000,0
