,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946840000,6.00000000,6.00000000,6.00000000,6.00000000,27.63000000,1667946899999,165.78000000,2,27.63000000,165.78000000,0
1,1667946900000,5.99000000,6.00000000,5.99000000,5.99000000,440.03000000,1667946959999,2635.82230000,8,4.26000000,25.56000000,0
2,1667946960000,5.99000000,6.01000000,5.99000000,6.01000000,2635.92000000,1667947019999,15800.66340000,22,617.03000000,3702.78000000,0
3,1667947020000,6.00000000,6.00000000,5.98000000,5.98000000,1765.13000000,1667947079999,10565.95140000,26,2.67000000,15.99330000,0
4,1667947080000,5.99000000,5.99000000,5.97000000,5.97000000,930.22000000,1667947139999,5562.79080000,16,27.05000000,162.02950000,0
5,1667947140000,5.98000000,5.98000000,5.96000000,5.96000000,509.85000000,1667947199999,3044.55280000,25,145.27000000,868.68140000,0
6,1667947200000,5.96000000,5.96000000,5.94000000,5.96000000,12619.75000000,1667947259999,75032.18930000,87,1789.83000000,10652.83710000,0
7,1667947260000,5.96000000,5.97000000,5.94000000,5.95000000,6648.59000000,1667947319999,39552.06460000,91,990.82000000,5905.45060000,0
8,1667947320000,5.96000000,5.97000000,5.96000000,5.96000000,630.35000000,1667947379999,3756.94630000,21,265.67000000,1583.45350000,0
9,1667947380000,5.96000000,5.97000000,5.96000000,5.97000000,427.03000000,1667947439999,2545.72350000,24,62.47000000,372.94590000,0
10,1667947440000,5.96000000,5.97000000,5.96000000,5.96000000,424.22000000,1667947499999,2528.46670000,22,11.55000000,68.95350000,0
11,1667947500000,5.96000000,5.97000000,5.96000000,5.97000000,345.56000000,1667947559999,2061.02320000,22,148.56000000,886.90320000,0
12,1667947560000,5.97000000,5.97000000,5.96000000,5.96000000,1285.83000000,1667947619999,7674.40510000,41,1085.83000000,6482.40510000,0
13,1667947620000,5.96000000,5.98000000,5.96000000,5.97000000,1154.86000000,1667947679999,6894.72170000,38,796.56000000,4756.67070000,0
14,1667947680000,5.98000000,5.98000000,5.97000000,5.97000000,751.53000000,1667947739999,4487.84760000,21,121.35000000,725.67300000,0
15,1667947740000,5.97000000,5.97000000,5.93000000,5.93000000,8696.00000000,1667947799999,51774.56490000,112,255.07000000,1517.54630000,0
16,1667947800000,5.94000000,5.94000000,5.91000000,5.93000000,9172.37000000,1667947859999,54329.85100000,114,1560.49000000,9253.89740000,0
17,1667947860000,5.92000000,5.93000000,5.90000000,5.91000000,12038.19000000,1667947919999,71093.95470000,137,747.33000000,4426.91040000,0
18,1667947920000,5.91000000,5.92000000,5.91000000,5.91000000,884.23000000,1667947979999,5231.24610000,24,544.68000000,3224.50560000,0
19,1667947980000,5.92000000,5.95000000,5.92000000,5.95000000,1919.74000000,1667948039999,11392.73120000,98,1542.89000000,9158.67290000,0
20,1667948040000,5.95000000,5.97000000,5.95000000,5.95000000,3261.36000000,1667948099999,19441.94820000,141,1838.44000000,10967.12500000,0
21,1667948100000,5.96000000,5.97000000,5.95000000,5.96000000,1817.37000000,1667948159999,10822.56360000,109,443.37000000,2643.54360000,0
22,1667948160000,5.96000000,5.98000000,5.96000000,5.96000000,6469.82000000,1667948219999,38659.93040000,82,5692.73000000,34028.14930000,0
23,1667948220000,5.96000000,5.97000000,5.94000000,5.95000000,1431.03000000,1667948279999,8517.56440000,85,68.29000000,407.04170000,0
24,1667948280000,5.95000000,5.96000000,5.92000000,5.92000000,2734.22000000,1667948339999,16241.24870000,122,94.28000000,560.38270000,0
25,1667948340000,5.92000000,5.93000000,5.91000000,5.93000000,3401.04000000,1667948399999,20143.91670000,124,745.49000000,4420.75570000,0
26,1667948400000,5.93000000,5.93000000,5.92000000,5.93000000,572.44000000,1667948459999,3392.29290000,14,445.92000000,2643.29450000,0
27,1667948460000,5.93000000,5.93000000,5.90000000,5.91000000,2657.94000000,1667948519999,15697.63670000,37,414.67000000,2453.17140000,0
28,1667948520000,5.92000000,5.94000000,5.91000000,5.94000000,2999.52000000,1667948579999,17771.63590000,60,2911.65000000,17251.16420000,0
29,1667948580000,5.94000000,5.97000000,5.93000000,5.96000000,3086.20000000,1667948639999,18377.84910000,74,1937.74000000,11542.43920000,0
30,1667948640000,5.95000000,5.98000000,5.95000000,5.98000000,1327.24000000,1667948699999,7922.10390000,56,1013.96000000,6056.10800000,0
31,1667948700000,5.97000000,5.99000000,5.97000000,5.99000000,1407.30000000,1667948759999,8420.17330000,53,845.79000000,5062.65910000,0
32,1667948760000,5.98000000,6.00000000,5.98000000,5.98000000,1723.62000000,1667948819999,10321.98120000,43,1355.80000000,8121.29230000,0
33,1667948820000,5.99000000,5.99000000,5.97000000,5.97000000,1871.27000000,1667948879999,11189.09110000,43,342.96000000,2052.67020000,0
34,1667948880000,5.97000000,5.98000000,5.96000000,5.96000000,515.32000000,1667948939999,3075.98510000,14,81.96000000,490.03100000,0
35,1667948940000,5.97000000,5.97000000,5.96000000,5.97000000,1374.75000000,1667948999999,8204.56950000,31,1097.59000000,6552.61230000,0
36,1667949000000,5.97000000,6.01000000,5.97000000,5.99000000,1129.88000000,1667949059999,6769.66150000,51,692.12000000,4150.35230000,0
37,1667949060000,5.99000000,6.00000000,5.99000000,5.99000000,708.65000000,1667949119999,4246.01430000,17,188.63000000,1131.09450000,0
38,1667949120000,6.00000000,6.00000000,5.98000000,5.99000000,1998.53000000,1667949179999,11965.20400000,33,411.55000000,2465.87940000,0
39,1667949180000,5.99000000,6.00000000,5.99000000,6.00000000,1692.71000000,1667949239999,10146.39700000,27,1356.33000000,8131.48080000,0
40,1667949240000,6.00000000,6.02000000,6.00000000,6.00000000,1409.02000000,1667949299999,8462.75300000,56,968.33000000,5815.25530000,0
41,1667949300000,6.00000000,6.04000000,6.00000000,6.04000000,3033.17000000,1667949359999,18269.10770000,114,1962.31000000,11819.73120000,0
42,1667949360000,6.03000000,6.04000000,5.99000000,6.00000000,2544.68000000,1667949419999,15310.00990000,61,859.43000000,5180.68480000,0
43,1667949420000,6.00000000,6.02000000,6.00000000,6.01000000,2875.42000000,1667949479999,17281.00340000,38,1829.33000000,10994.42460000,0
44,1667949480000,6.00000000,6.00000000,5.99000000,5.99000000,363.91000000,1667949539999,2181.77270000,19,2.25000000,13.47750000,0
45,1667949540000,5.99000000,6.01000000,5.98000000,6.00000000,1246.23000000,1667949599999,7478.45180000,30,1150.30000000,6902.88580000,0
46,1667949600000,6.00000000,6.01000000,5.97000000,5.97000000,6849.51000000,1667949659999,40997.32400000,56,1443.33000000,8654.89310000,0
47,1667949660000,5.99000000,6.00000000,5.98000000,5.99000000,4474.02000000,1667949719999,26798.50260000,36,3537.73000000,21192.28030000,0
48,1667949720000,5.99000000,6.01000000,5.99000000,6.01000000,2962.70000000,1667949779999,17756.89890000,32,1730.31000000,10369.53330000,0
49,1667949780000,6.02000000,6.03000000,6.02000000,6.03000000,1797.64000000,1667949839999,10825.64820000,37,1004.23000000,6049.32000000,0
50,1667949840000,6.03000000,6.04000000,6.01000000,6.04000000,2617.09000000,1667949899999,15779.64010000,46,1264.59000000,7626.54060000,0
51,1667949900000,6.03000000,6.05000000,6.03000000,6.04000000,638.26000000,1667949959999,3855.53780000,25,246.33000000,1488.50680000,0
52,1667949960000,6.04000000,6.04000000,6.00000000,6.02000000,5751.47000000,1667950019999,34662.34540000,43,900.68000000,5432.09360000,0
53,1667950020000,6.03000000,6.04000000,6.01000000,6.04000000,1737.83000000,1667950079999,10471.96230000,35,1429.11000000,8613.60460000,0
54,1667950080000,6.03000000,6.05000000,6.03000000,6.05000000,3377.87000000,1667950139999,20382.67280000,49,2164.73000000,13067.43860000,0
55,1667950140000,6.05000000,6.06000000,6.05000000,6.06000000,1333.83000000,1667950199999,8074.03480000,24,1313.83000000,7953.03480000,0
56,1667950200000,6.06000000,6.07000000,6.03000000,6.03000000,3944.54000000,1667950259999,23862.57450000,58,667.09000000,4041.92870000,0
57,1667950260000,6.03000000,6.04000000,6.02000000,6.04000000,1408.12000000,1667950319999,8493.40420000,101,1008.85000000,6087.31870000,0
58,1667950320000,6.03000000,6.06000000,6.03000000,6.06000000,1876.08000000,1667950379999,11348.71770000,48,1602.73000000,9695.38960000,0
59,1667950380000,6.06000000,6.07000000,6.05000000,6.07000000,1584.72000000,1667950439999,9601.38440000,49,1205.90000000,7307.08620000,0
60,1667950440000,6.07000000,6.08000000,6.05000000,6.07000000,2492.56000000,1667950499999,15122.15070000,54,2424.57000000,14710.18460000,0
61,1667950500000,6.07000000,6.09000000,6.06000000,6.09000000,1824.72000000,1667950559999,11096.20250000,63,1619.01000000,9846.96370000,0
62,1667950560000,6.08000000,6.10000000,6.08000000,6.09000000,1266.90000000,1667950619999,7716.87760000,49,683.79000000,4166.32810000,0
63,1667950620000,6.10000000,6.12000000,6.10000000,6.12000000,4079.56000000,1667950679999,24921.77410000,109,2734.68000000,16710.33520000,0
64,1667950680000,6.11000000,6.13000000,6.11000000,6.13000000,878.29000000,1667950739999,5374.44900000,46,706.08000000,4321.89930000,0
65,1667950740000,6.13000000,6.15000000,6.12000000,6.14000000,5306.11000000,1667950799999,32576.88110000,135,5036.75000000,30924.81450000,0
66,1667950800000,6.15000000,6.16000000,6.13000000,6.14000000,2575.61000000,1667950859999,15827.99380000,88,1885.48000000,11588.36810000,0
67,1667950860000,6.15000000,6.16000000,6.13000000,6.15000000,3453.96000000,1667950919999,21215.76440000,103,1353.24000000,8316.86860000,0
68,1667950920000,6.14000000,6.15000000,6.11000000,6.12000000,1862.52000000,1667950979999,11415.83060000,103,292.15000000,1790.22070000,0
69,1667950980000,6.11000000,6.14000000,6.11000000,6.13000000,3738.46000000,1667951039999,22924.88740000,45,3151.10000000,19329.36890000,0
70,1667951040000,6.13000000,6.15000000,6.13000000,6.15000000,1422.55000000,1667951099999,8729.21870000,28,1356.00000000,8321.26720000,0
71,1667951100000,6.15000000,6.16000000,6.14000000,6.14000000,1668.71000000,1667951159999,10252.09530000,84,1065.70000000,6549.01850000,0
72,1667951160000,6.13000000,6.13000000,6.09000000,6.10000000,4175.19000000,1667951219999,25530.23990000,77,428.92000000,2617.70510000,0
73,1667951220000,6.10000000,6.11000000,6.08000000,6.10000000,3605.04000000,1667951279999,22004.54800000,79,3061.24000000,18691.08970000,0
74,1667951280000,6.10000000,6.10000000,6.08000000,6.08000000,964.03000000,1667951339999,5868.83820000,51,440.57000000,2683.44480000,0
75,1667951340000,6.08000000,6.09000000,6.07000000,6.09000000,1654.09000000,1667951399999,10058.49570000,37,479.03000000,2916.26310000,0
