,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946840000,5.24400000,5.25700000,5.23700000,5.24500000,9182.50000000,1667946899999,48171.01620000,54,6298.20000000,33044.93560000,0
1,1667946900000,5.24800000,5.25000000,5.24500000,5.24500000,1554.00000000,1667946959999,8155.54370000,30,1352.40000000,7098.06110000,0
2,1667946960000,5.24700000,5.25300000,5.24700000,5.24900000,8266.00000000,1667947019999,43396.73640000,64,2774.70000000,14570.26050000,0
3,1667947020000,5.24900000,5.25100000,5.24500000,5.24900000,10225.70000000,1667947079999,53674.41530000,45,7184.30000000,37712.10800000,0
4,1667947080000,5.24800000,5.24800000,5.24300000,5.24300000,4929.50000000,1667947139999,25853.78170000,28,3450.20000000,18097.78130000,0
5,1667947140000,5.24800000,5.24800000,5.24300000,5.24700000,2726.90000000,1667947199999,14305.05780000,25,1722.00000000,9034.35510000,0
6,1667947200000,5.24800000,5.24900000,5.24000000,5.24700000,12691.00000000,1667947259999,66601.73210000,65,11084.20000000,58175.74560000,0
7,1667947260000,5.24800000,5.24900000,5.24600000,5.24800000,4896.10000000,1667947319999,25696.12880000,44,4118.80000000,21617.37940000,0
8,1667947320000,5.24800000,5.24900000,5.24400000,5.24600000,7806.70000000,1667947379999,40954.39680000,39,7531.50000000,39510.81860000,0
9,1667947380000,5.24600000,5.24600000,5.24400000,5.24500000,2834.00000000,1667947439999,14866.01930000,31,2136.80000000,11209.64950000,0
10,1667947440000,5.24500000,5.24600000,5.24400000,5.24500000,4416.60000000,1667947499999,23165.10960000,30,4236.20000000,22219.09200000,0
11,1667947500000,5.24500000,5.24600000,5.24300000,5.24300000,5435.70000000,1667947559999,28507.82980000,41,3324.80000000,17438.74110000,0
12,1667947560000,5.24500000,5.24600000,5.24200000,5.24300000,14967.10000000,1667947619999,78497.17950000,61,10960.20000000,57488.77710000,0
13,1667947620000,5.24200000,5.24600000,5.24200000,5.24400000,10126.50000000,1667947679999,53100.92710000,38,5782.90000000,30331.29800000,0
14,1667947680000,5.24300000,5.24500000,5.24100000,5.24100000,14636.60000000,1667947739999,76726.19940000,34,4039.40000000,21173.79610000,0
15,1667947740000,5.24100000,5.24500000,5.24000000,5.24500000,15598.80000000,1667947799999,81778.94910000,68,14844.00000000,77822.69710000,0
16,1667947800000,5.24500000,5.24600000,5.24300000,5.24500000,8783.30000000,1667947859999,46061.99850000,46,5075.80000000,26623.09180000,0
17,1667947860000,5.24400000,5.24500000,5.24100000,5.24300000,9796.10000000,1667947919999,51361.93200000,52,1292.90000000,6779.20470000,0
18,1667947920000,5.24200000,5.24300000,5.24100000,5.24300000,7053.40000000,1667947979999,36976.40160000,39,4436.90000000,23262.66670000,0
19,1667947980000,5.24300000,5.24300000,5.24100000,5.24100000,15212.10000000,1667948039999,79745.45420000,60,11338.50000000,59441.05560000,0
20,1667948040000,5.24200000,5.24500000,5.24100000,5.24300000,10889.90000000,1667948099999,57102.58850000,41,7955.90000000,41720.31860000,0
21,1667948100000,5.24300000,5.24300000,5.24100000,5.24300000,2674.60000000,1667948159999,14020.22030000,26,1768.70000000,9272.39840000,0
22,1667948160000,5.24300000,5.24400000,5.23900000,5.23900000,13919.80000000,1667948219999,72963.51700000,52,2208.30000000,11578.26920000,0
23,1667948220000,5.24000000,5.24200000,5.23900000,5.24200000,5618.60000000,1667948279999,29451.59030000,36,5232.00000000,27426.01170000,0
24,1667948280000,5.24200000,5.24300000,5.23900000,5.24100000,14137.60000000,1667948339999,74095.09160000,53,4690.80000000,24591.27110000,0
25,1667948340000,5.24100000,5.24300000,5.23900000,5.24200000,12161.60000000,1667948399999,63744.92920000,57,7328.20000000,38414.64760000,0
26,1667948400000,5.24200000,5.24400000,5.24000000,5.24400000,4837.20000000,1667948459999,25361.14020000,25,4535.00000000,23777.24590000,0
27,1667948460000,5.24400000,5.24600000,5.24100000,5.24200000,11914.20000000,1667948519999,62460.89450000,54,3247.70000000,17033.55230000,0
28,1667948520000,5.24300000,5.24400000,5.24100000,5.24300000,3943.50000000,1667948579999,20670.92280000,27,1454.80000000,7627.63270000,0
29,1667948580000,5.24300000,5.24300000,5.24000000,5.24200000,7384.60000000,1667948639999,38711.11130000,37,5201.30000000,27266.55650000,0
30,1667948640000,5.24200000,5.24400000,5.24100000,5.24200000,7339.60000000,1667948699999,38481.37060000,38,2640.90000000,13846.22140000,0
31,1667948700000,5.24400000,5.24400000,5.24000000,5.24100000,9233.90000000,1667948759999,48402.62010000,48,6068.10000000,31810.05380000,0
32,1667948760000,5.24300000,5.24500000,5.24100000,5.24500000,7058.20000000,1667948819999,37006.70960000,43,4863.40000000,25500.15060000,0
33,1667948820000,5.24500000,5.24600000,5.24200000,5.24600000,1470.70000000,1667948879999,7713.85620000,14,939.00000000,4925.18480000,0
34,1667948880000,5.24600000,5.24600000,5.24300000,5.24400000,6066.60000000,1667948939999,31823.33530000,38,4801.90000000,25190.76740000,0
35,1667948940000,5.24500000,5.24800000,5.24400000,5.24600000,5549.40000000,1667948999999,29113.48560000,55,3632.60000000,19057.50570000,0
36,1667949000000,5.24700000,5.24800000,5.24000000,5.24400000,8362.60000000,1667949059999,43855.37210000,47,2462.90000000,12921.27600000,0
37,1667949060000,5.24500000,5.24500000,5.24400000,5.24500000,2071.90000000,1667949119999,10866.30510000,25,1261.50000000,6616.56750000,0
38,1667949120000,5.24500000,5.24500000,5.24400000,5.24500000,4948.00000000,1667949179999,25952.12530000,32,4813.30000000,25245.75850000,0
39,1667949180000,5.24500000,5.24700000,5.24400000,5.24600000,15207.40000000,1667949239999,79780.33960000,49,3652.10000000,19158.43610000,0
40,1667949240000,5.24700000,5.24700000,5.24600000,5.24700000,2247.80000000,1667949299999,11794.11440000,29,2155.60000000,11310.43320000,0
41,1667949300000,5.24700000,5.24800000,5.24600000,5.24700000,2377.90000000,1667949359999,12477.08130000,33,2256.90000000,11842.31530000,0
42,1667949360000,5.24700000,5.24800000,5.24600000,5.24800000,9181.40000000,1667949419999,48177.91770000,41,5056.50000000,26535.44670000,0
43,1667949420000,5.24800000,5.24900000,5.24700000,5.24900000,5375.60000000,1667949479999,28211.49570000,36,5202.50000000,27303.24000000,0
44,1667949480000,5.24900000,5.24900000,5.24700000,5.24900000,8964.60000000,1667949539999,47042.28420000,45,3557.00000000,18668.28020000,0
45,1667949540000,5.24900000,5.25200000,5.23900000,5.24800000,21200.20000000,1667949599999,111218.77680000,87,5901.50000000,30982.80180000,0
46,1667949600000,5.24800000,5.25500000,5.24400000,5.24800000,23354.90000000,1667949659999,122625.52980000,61,18858.70000000,99025.22200000,0
47,1667949660000,5.25200000,5.25300000,5.24800000,5.24800000,2902.20000000,1667949719999,15237.54470000,33,465.30000000,2443.02340000,0
48,1667949720000,5.24900000,5.25400000,5.24900000,5.25200000,4562.80000000,1667949779999,23958.21100000,43,1645.00000000,8636.89270000,0
49,1667949780000,5.25200000,5.25500000,5.23500000,5.25000000,41766.50000000,1667949839999,218969.75240000,71,11398.20000000,59805.82230000,0
50,1667949840000,5.24900000,5.24900000,5.23500000,5.24300000,7866.60000000,1667949899999,41246.81580000,67,2311.50000000,12117.74390000,0
51,1667949900000,5.24300000,5.24900000,5.23400000,5.24400000,6705.90000000,1667949959999,35162.59160000,36,4600.50000000,24133.76250000,0
52,1667949960000,5.24400000,5.25000000,5.24400000,5.24700000,10329.40000000,1667950019999,54194.68490000,67,4877.50000000,25591.72290000,0
53,1667950020000,5.24700000,5.24800000,5.24500000,5.24600000,3393.00000000,1667950079999,17801.69230000,35,1932.20000000,10138.89190000,0
54,1667950080000,5.24600000,5.25200000,5.24300000,5.24600000,7770.30000000,1667950139999,40763.81380000,68,4539.00000000,23814.26950000,0
55,1667950140000,5.24500000,5.24700000,5.24300000,5.24400000,7980.50000000,1667950199999,41864.94490000,66,1868.60000000,9803.86020000,0
56,1667950200000,5.24500000,5.24500000,5.24300000,5.24400000,2647.80000000,1667950259999,13886.15580000,36,1869.40000000,9804.35380000,0
57,1667950260000,5.24400000,5.25000000,5.23600000,5.24400000,13165.30000000,1667950319999,69044.25330000,74,4574.40000000,23984.97850000,0
58,1667950320000,5.24400000,5.24400000,5.24000000,5.24100000,1971.10000000,1667950379999,10330.74490000,37,659.50000000,3456.73540000,0
59,1667950380000,5.24100000,5.24700000,5.23500000,5.23700000,6471.50000000,1667950439999,33916.03460000,45,2606.70000000,13667.83140000,0
60,1667950440000,5.24000000,5.24000000,5.23600000,5.23700000,3399.50000000,1667950499999,17806.03370000,28,443.70000000,2324.58150000,0
61,1667950500000,5.23700000,5.24000000,5.23000000,5.23400000,9217.90000000,1667950559999,48266.38640000,73,3372.70000000,17662.45660000,0
62,1667950560000,5.23400000,5.23700000,5.22700000,5.23500000,10063.70000000,1667950619999,52664.65400000,60,4328.80000000,22658.53480000,0
63,1667950620000,5.23500000,5.23700000,5.22700000,5.23600000,5051.50000000,1667950679999,26439.41450000,50,2801.20000000,14662.26100000,0
64,1667950680000,5.23400000,5.23700000,5.23300000,5.23400000,6848.20000000,1667950739999,35846.26800000,38,2948.60000000,15435.23280000,0
65,1667950740000,5.23300000,5.23400000,5.22800000,5.23000000,4084.20000000,1667950799999,21370.16430000,56,2112.90000000,11056.69890000,0
66,1667950800000,5.23000000,5.23200000,5.22700000,5.23100000,8384.50000000,1667950859999,43852.06350000,41,6170.30000000,32273.76860000,0
67,1667950860000,5.23100000,5.23300000,5.22800000,5.23100000,12337.60000000,1667950919999,64540.11130000,60,7868.30000000,41164.39570000,0
68,1667950920000,5.23100000,5.23200000,5.22900000,5.22900000,12681.00000000,1667950979999,66322.17470000,50,3483.40000000,18218.38070000,0
69,1667950980000,5.22900000,5.23000000,5.22200000,5.22900000,31243.10000000,1667951039999,163234.72920000,46,12204.80000000,63756.12910000,0
70,1667951040000,5.22900000,5.23700000,5.22600000,5.22700000,23463.90000000,1667951099999,122761.91400000,81,11685.10000000,61125.81750000,0
71,1667951100000,5.22700000,5.23100000,5.22300000,5.23000000,6362.60000000,1667951159999,33256.16450000,69,3362.10000000,17577.98620000,0
72,1667951160000,5.22800000,5.23900000,5.22800000,5.23400000,10623.00000000,1667951219999,55597.67310000,50,9230.10000000,48307.01030000,0
73,1667951220000,5.23400000,5.23900000,5.23200000,5.23500000,25089.10000000,1667951279999,131350.12860000,102,9585.70000000,50196.89540000,0
74,1667951280000,5.23400000,5.23500000,5.23200000,5.23500000,4395.80000000,1667951339999,23006.92200000,39,3292.10000000,17231.26950000,0
75,1667951340000,5.23500000,5.23600000,5.23000000,5.23100000,10974.10000000,1667951399999,57423.16290000,78,3790.30000000,19835.15840000,0
76,1667951400000,5.23100000,5.23500000,5.22700000,5.23300000,4475.20000000,1667951459999,23412.14350000,46,2615.60000000,13684.78820000,0
77,1667951460000,5.23200000,5.23300000,5.22800000,5.23000000,5899.70000000,1667951519999,30858.10290000,53,2418.30000000,12650.56890000,0
78,1667951520000,5.22800000,5.22900000,5.22700000,5.22800000,16485.60000000,1667951579999,86190.44600000,36,8347.00000000,43642.03550000,0
79,1667951580000,5.22800000,5.22800000,5.22400000,5.22800000,11538.10000000,1667951639999,60307.81250000,45,8077.80000000,42225.78370000,0
80,1667951640000,5.22800000,5.22900000,5.22300000,5.22500000,11745.60000000,1667951699999,61380.41640000,70,3501.60000000,18305.24780000,0
81,1667951700000,5.22500000,5.22500000,5.22400000,5.22500000,2859.50000000,1667951759999,14939.66170000,26,1633.70000000,8536.08250000,0
82,1667951760000,5.22500000,5.22500000,5.22400000,5.22400000,4911.80000000,1667951819999,25660.64830000,56,1405.10000000,7341.64750000,0
83,1667951820000,5.22400000,5.22600000,5.22300000,5.22500000,2695.20000000,1667951879999,14081.03020000,38,2357.80000000,12318.46730000,0
84,1667951880000,5.22500000,5.22700000,5.22300000,5.22400000,7995.80000000,1667951939999,41775.23450000,62,2060.40000000,10765.58080000,0
85,1667951940000,5.22400000,5.22400000,5.22300000,5.22400000,4798.20000000,1667951999999,25063.12170000,42,2123.10000000,11091.07440000,0
86,1667952000000,5.22300000,5.22700000,5.22200000,5.22500000,24575.60000000,1667952059999,128361.02970000,106,12224.40000000,63852.22270000,0
87,1667952060000,5.22400000,5.22600000,5.22400000,5.22600000,4300.60000000,1667952119999,22474.25850000,33,4048.70000000,21158.33290000,0
88,1667952120000,5.22600000,5.23000000,5.22600000,5.22700000,9146.50000000,1667952179999,47812.73750000,46,8760.20000000,45793.61160000,0
89,1667952180000,5.22700000,5.23000000,5.22400000,5.22500000,12739.40000000,1667952239999,66584.25250000,58,4721.30000000,24686.03280000,0
90,1667952240000,5.22600000,5.22800000,5.22500000,5.22600000,7284.20000000,1667952299999,38073.43450000,45,4849.30000000,25347.38230000,0
91,1667952300000,5.22500000,5.22700000,5.22300000,5.22500000,17565.90000000,1667952359999,91782.29790000,70,5537.90000000,28936.55970000,0
92,1667952360000,5.22500000,5.22900000,5.22400000,5.22600000,11350.10000000,1667952419999,59310.29050000,60,7336.80000000,38339.31340000,0
93,1667952420000,5.22600000,5.22800000,5.22500000,5.22800000,3611.10000000,1667952479999,18875.06350000,34,2923.30000000,15280.35500000,0
94,1667952480000,5.22700000,5.22700000,5.22500000,5.22700000,3663.00000000,1667952539999,19144.59570000,32,2212.70000000,11565.78290000,0
95,1667952540000,5.22700000,5.23000000,5.22700000,5.23000000,7544.30000000,1667952599999,39445.31540000,38,7267.40000000,37997.68220000,0
96,1667952600000,5.23000000,5.23000000,5.22400000,5.22900000,3462.40000000,1667952659999,18103.80750000,38,1789.80000000,9359.32600000,0
97,1667952660000,5.22900000,5.23000000,5.22700000,5.22900000,3792.10000000,1667952719999,19827.78400000,35,2589.40000000,13540.10430000,0
98,1667952720000,5.22900000,5.22900000,5.22400000,5.22700000,6257.40000000,1667952779999,32707.70710000,57,3393.40000000,17742.26610000,0
99,1667952780000,5.22800000,5.23000000,5.22800000,5.22900000,3352.50000000,1667952839999,17529.82740000,32,2487.30000000,13006.56180000,0
100,1667952840000,5.22900000,5.22900000,5.22500000,5.22700000,24593.20000000,1667952899999,128574.14470000,79,6352.60000000,33215.06010000,0
101,1667952900000,5.22700000,5.22900000,5.22600000,5.22800000,9544.30000000,1667952959999,49889.45440000,44,1874.10000000,9796.25460000,0
102,1667952960000,5.22800000,5.22900000,5.22300000,5.22500000,8734.60000000,1667953019999,45654.92650000,75,2706.90000000,14148.50480000,0
103,1667953020000,5.22400000,5.22600000,5.22300000,5.22600000,8299.50000000,1667953079999,43359.20260000,41,4314.50000000,22544.41120000,0
104,1667953080000,5.22600000,5.22600000,5.22200000,5.22300000,13864.90000000,1667953139999,72421.50850000,68,2276.00000000,11892.69240000,0
105,1667953140000,5.22400000,5.22700000,5.22400000,5.22600000,9474.40000000,1667953199999,49503.59590000,44,7989.60000000,41745.78590000,0
106,1667953200000,5.22500000,5.22700000,5.22400000,5.22600000,10124.50000000,1667953259999,52900.25270000,84,4278.70000000,22358.34310000,0
107,1667953260000,5.22600000,5.22700000,5.22600000,5.22700000,3586.10000000,1667953319999,18743.20000000,27,2498.20000000,13057.83460000,0
