,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947140000,0.02704745,0.02711000,0.02703000,0.02704743,509318.00000000,1667947199999,13776.88490277,62,179864.00000000,4865.49180983,0
1,1667947200000,0.02709980,0.02710321,0.02704743,0.02710321,153120.00000000,1667947259999,4144.45084232,36,67903.00000000,1838.29377502,0
2,1667947260000,0.02707750,0.02709500,0.02704744,0.02708996,306419.00000000,1667947319999,8294.47772209,48,67929.00000000,1839.92565528,0
3,1667947320000,0.02707785,0.02739712,0.02707785,0.02736882,762827.00000000,1667947379999,20737.48426666,113,631337.00000000,17160.19672868,0
4,1667947380000,0.02739712,0.02772830,0.02739712,0.02756893,599408.00000000,1667947439999,16549.94282561,194,386948.00000000,10683.79851649,0
5,1667947440000,0.02756891,0.02756892,0.02734023,0.02742946,461633.00000000,1667947499999,12666.00861582,106,78583.00000000,2154.73102574,0
6,1667947500000,0.02740522,0.02742945,0.02729213,0.02735299,411021.00000000,1667947559999,11256.43716113,71,254757.00000000,6980.10659790,0
7,1667947560000,0.02736257,0.02754453,0.02731163,0.02750053,314241.00000000,1667947619999,8623.99810864,62,201113.00000000,5518.59234998,0
8,1667947620000,0.02743892,0.02749936,0.02736118,0.02738535,269585.00000000,1667947679999,7400.45193180,30,86610.00000000,2373.92818924,0
9,1667947680000,0.02743865,0.02743865,0.02732644,0.02732644,88084.00000000,1667947739999,2409.39438453,33,15158.00000000,414.85448188,0
10,1667947740000,0.02733330,0.02739268,0.02701000,0.02701004,1053109.00000000,1667947799999,28561.13239016,199,242351.00000000,6596.98177147,0
11,1667947800000,0.02703890,0.02707577,0.02700204,0.02701530,958094.00000000,1667947859999,25871.49893591,134,497848.00000000,13443.12370824,0
12,1667947860000,0.02705850,0.02710117,0.02703000,0.02703939,207938.00000000,1667947919999,5629.28136426,81,52946.00000000,1433.87778642,0
13,1667947920000,0.02700586,0.02707500,0.02700204,0.02700204,526926.00000000,1667947979999,14236.08495566,44,218852.00000000,5915.01429370,0
14,1667947980000,0.02700204,0.02723000,0.02700204,0.02722175,2721085.00000000,1667948039999,73543.79943722,113,1577783.00000000,42644.84556647,0
15,1667948040000,0.02723000,0.02741059,0.02723000,0.02728977,579544.00000000,1667948099999,15825.89472548,91,234954.00000000,6418.16711233,0
16,1667948100000,0.02738164,0.02738165,0.02728976,0.02733124,117071.00000000,1667948159999,3200.80475346,20,44953.00000000,1230.48205276,0
17,1667948160000,0.02732000,0.02732000,0.02710120,0.02714169,88520.00000000,1667948219999,2410.82687619,46,18754.00000000,511.13677480,0
