,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946660000,0.00000278,0.00000279,0.00000278,0.00000278,3171.00000000,1667946719999,0.00881589,10,105.00000000,0.00029241,0
1,1667946720000,0.00000278,0.00000278,0.00000278,0.00000278,300.00000000,1667946779999,0.00083400,1,0.00000000,0.00000000,0
2,1667946780000,0.00000278,0.00000278,0.00000278,0.00000278,0.00000000,1667946839999,0.00000000,0,0.00000000,0.00000000,0
3,1667946840000,0.00000277,0.00000277,0.00000277,0.00000277,57.00000000,1667946899999,0.00015789,2,0.00000000,0.00000000,0
4,1667946900000,0.00000277,0.00000277,0.00000277,0.00000277,2657.00000000,1667946959999,0.00735989,7,0.00000000,0.00000000,0
5,1667946960000,0.00000277,0.00000277,0.00000276,0.00000276,6520.00000000,1667947019999,0.01804433,10,3441.00000000,0.00952575,0
6,1667947020000,0.00000276,0.00000276,0.00000276,0.00000276,0.00000000,1667947079999,0.00000000,0,0.00000000,0.00000000,0
7,1667947080000,0.00000276,0.00000276,0.00000275,0.00000276,4441.00000000,1667947139999,0.01222384,17,1072.00000000,0.00295872,0
8,1667947140000,0.00000275,0.00000276,0.00000275,0.00000276,11583.00000000,1667947199999,0.03192212,3,6887.00000000,0.01900812,0
9,1667947200000,0.00000275,0.00000276,0.00000275,0.00000276,8000.00000000,1667947259999,0.02200013,6,13.00000000,0.00003588,0
10,1667947260000,0.00000276,0.00000276,0.00000276,0.00000276,5738.00000000,1667947319999,0.01583688,6,5738.00000000,0.01583688,0
11,1667947320000,0.00000277,0.00000277,0.00000277,0.00000277,72.00000000,1667947379999,0.00019944,1,72.00000000,0.00019944,0
12,1667947380000,0.00000276,0.00000276,0.00000276,0.00000276,43.00000000,1667947439999,0.00011868,1,43.00000000,0.00011868,0
13,1667947440000,0.00000276,0.00000276,0.00000276,0.00000276,0.00000000,1667947499999,0.00000000,0,0.00000000,0.00000000,0
