,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947140000,0.05118000,0.05118000,0.05105000,0.05105000,22018.00000000,1667947199999,1126.12796000,14,0.00000000,0.00000000,0
1,1667947200000,0.05105000,0.05105000,0.05100000,0.05100000,13956.00000000,1667947259999,711.93604000,11,0.00000000,0.00000000,0
2,1667947260000,0.05100000,0.05115000,0.05100000,0.05115000,9018.00000000,1667947319999,461.17365000,3,0.00000000,0.00000000,0
3,1667947320000,0.05110000,0.05110000,0.05092000,0.05092000,40066.00000000,1667947379999,2042.19248000,11,31978.00000000,1630.03254000,0
4,1667947380000,0.05092000,0.05092000,0.05090000,0.05092000,31750.00000000,1667947439999,1616.63375000,9,18268.00000000,930.20656000,0
5,1667947440000,0.05110000,0.05110000,0.05109000,0.05110000,24758.00000000,1667947499999,1265.10938000,3,24758.00000000,1265.10938000,0
6,1667947500000,0.05110000,0.05110000,0.05110000,0.05110000,0.00000000,1667947559999,0.00000000,0,0.00000000,0.00000000,0
7,1667947560000,0.05092000,0.05092000,0.05088000,0.05090000,41895.00000000,1667947619999,2132.76844000,11,27857.00000000,1418.19512000,0
8,1667947620000,0.05090000,0.05110000,0.05090000,0.05110000,41302.00000000,1667947679999,2108.53220000,6,24572.00000000,1255.34220000,0
9,1667947680000,0.05109000,0.05109000,0.05101000,0.05101000,4618.00000000,1667947739999,235.65530000,2,1139.00000000,58.19151000,0
10,1667947740000,0.05101000,0.05112000,0.05090000,0.05090000,35301.00000000,1667947799999,1799.84763000,12,3304.00000000,168.75220000,0
11,1667947800000,0.05090000,0.05100000,0.05071000,0.05071000,61882.00000000,1667947859999,3149.19741000,19,0.00000000,0.00000000,0
12,1667947860000,0.05076000,0.05097000,0.05076000,0.05093000,4796.00000000,1667947919999,243.85266000,5,2394.00000000,121.92714000,0
13,1667947920000,0.05093000,0.05093000,0.05093000,0.05093000,4446.00000000,1667947979999,226.43478000,3,0.00000000,0.00000000,0
14,1667947980000,0.05104000,0.05104000,0.05086000,0.05093000,38577.00000000,1667948039999,1964.56779000,10,21058.00000000,1072.69943000,0
15,1667948040000,0.05088000,0.05093000,0.05088000,0.05093000,25288.00000000,1667948099999,1287.55622000,7,24069.00000000,1225.47255000,0
16,1667948100000,0.05109000,0.05135000,0.05109000,0.05129000,36808.00000000,1667948159999,1882.68540000,20,22917.00000000,1171.49221000,0
17,1667948160000,0.05129000,0.05135000,0.05111000,0.05111000,44829.00000000,1667948219999,2299.80368000,9,3894.00000000,199.95690000,0
18,1667948220000,0.05111000,0.05111000,0.05111000,0.05111000,0.00000000,1667948279999,0.00000000,0,0.00000000,0.00000000,0
19,1667948280000,0.05111000,0.05111000,0.05111000,0.05111000,0.00000000,1667948339999,0.00000000,0,0.00000000,0.00000000,0
20,1667948340000,0.05132000,0.05134000,0.05132000,0.05134000,5187.00000000,1667948399999,266.27322000,5,4390.00000000,225.35524000,0
21,1667948400000,0.05134000,0.05134000,0.05134000,0.05134000,16290.00000000,1667948459999,836.32860000,3,0.00000000,0.00000000,0
22,1667948460000,0.05116000,0.05116000,0.05111000,0.05111000,24563.00000000,1667948519999,1255.43103000,3,0.00000000,0.00000000,0
23,1667948520000,0.05118000,0.05118000,0.05118000,0.05118000,9242.00000000,1667948579999,473.00556000,1,9242.00000000,473.00556000,0
24,1667948580000,0.05122000,0.05122000,0.05122000,0.05122000,6104.00000000,1667948639999,312.64688000,2,5131.00000000,262.80982000,0
25,1667948640000,0.05111000,0.05120000,0.05099000,0.05120000,13904.00000000,1667948699999,710.14195000,9,4269.00000000,218.57280000,0
26,1667948700000,0.05120000,0.05141000,0.05120000,0.05141000,23552.00000000,1667948759999,1206.96507000,10,18741.00000000,960.25757000,0
27,1667948760000,0.05142000,0.05150000,0.05142000,0.05150000,36113.00000000,1667948819999,1859.30269000,10,15985.00000000,823.02181000,0
28,1667948820000,0.05150000,0.05150000,0.05150000,0.05150000,0.00000000,1667948879999,0.00000000,0,0.00000000,0.00000000,0
29,1667948880000,0.05143000,0.05150000,0.05143000,0.05148000,49149.00000000,1667948939999,2530.58161000,6,45593.00000000,2347.51873000,0
30,1667948940000,0.05148000,0.05148000,0.05148000,0.05148000,0.00000000,1667948999999,0.00000000,0,0.00000000,0.00000000,0
31,1667949000000,0.05147000,0.05159000,0.05147000,0.05159000,32635.00000000,1667949059999,1681.91803000,11,19973.00000000,1029.19193000,0
32,1667949060000,0.05159000,0.05163000,0.05157000,0.05159000,50638.00000000,1667949119999,2612.42316000,16,10498.00000000,541.60056000,0
33,1667949120000,0.05160000,0.05160000,0.05160000,0.05160000,1950.00000000,1667949179999,100.62000000,2,0.00000000,0.00000000,0
34,1667949180000,0.05160000,0.05160000,0.05160000,0.05160000,1000.00000000,1667949239999,51.60000000,1,0.00000000,0.00000000,0
35,1667949240000,0.05160000,0.05160000,0.05160000,0.05160000,3493.00000000,1667949299999,180.23880000,1,0.00000000,0.00000000,0
36,1667949300000,0.05164000,0.05164000,0.05161000,0.05161000,11061.00000000,1667949359999,571.18422000,4,407.00000000,21.01166000,0
37,1667949360000,0.05161000,0.05161000,0.05157000,0.05157000,12282.00000000,1667949419999,633.65475000,6,10325.00000000,532.67355000,0
38,1667949420000,0.05157000,0.05162000,0.05156000,0.05162000,12936.00000000,1667949479999,667.47660000,7,10902.00000000,562.58322000,0
39,1667949480000,0.05159000,0.05159000,0.05132000,0.05132000,11218.00000000,1667949539999,576.68177000,9,198.00000000,10.21482000,0
40,1667949540000,0.05132000,0.05132000,0.05132000,0.05132000,0.00000000,1667949599999,0.00000000,0,0.00000000,0.00000000,0
41,1667949600000,0.05133000,0.05137000,0.05133000,0.05137000,7729.00000000,1667949659999,397.02649000,2,0.00000000,0.00000000,0
42,1667949660000,0.05156000,0.05156000,0.05137000,0.05137000,1871.00000000,1667949719999,96.19474000,4,1871.00000000,96.19474000,0
43,1667949720000,0.05135000,0.05153000,0.05132000,0.05153000,10710.00000000,1667949779999,549.88643000,5,684.00000000,35.24652000,0
44,1667949780000,0.05162000,0.05162000,0.05162000,0.05162000,8523.00000000,1667949839999,439.95726000,4,6465.00000000,333.72330000,0
45,1667949840000,0.05160000,0.05160000,0.05160000,0.05160000,943.00000000,1667949899999,48.65880000,1,943.00000000,48.65880000,0
46,1667949900000,0.05160000,0.05160000,0.05160000,0.05160000,4464.00000000,1667949959999,230.34240000,3,4464.00000000,230.34240000,0
47,1667949960000,0.05160000,0.05160000,0.05160000,0.05160000,382.00000000,1667950019999,19.71120000,2,382.00000000,19.71120000,0
48,1667950020000,0.05160000,0.05160000,0.05160000,0.05160000,0.00000000,1667950079999,0.00000000,0,0.00000000,0.00000000,0
49,1667950080000,0.05160000,0.05160000,0.05160000,0.05160000,0.00000000,1667950139999,0.00000000,0,0.00000000,0.00000000,0
50,1667950140000,0.05160000,0.05160000,0.05160000,0.05160000,0.00000000,1667950199999,0.00000000,0,0.00000000,0.00000000,0
51,1667950200000,0.05166000,0.05176000,0.05166000,0.05176000,30240.00000000,1667950259999,1564.14621000,11,30240.00000000,1564.14621000,0
52,1667950260000,0.05176000,0.05176000,0.05163000,0.05163000,42006.00000000,1667950319999,2174.13203000,4,41322.00000000,2138.81711000,0
53,1667950320000,0.05163000,0.05167000,0.05163000,0.05163000,12999.00000000,1667950379999,671.48734000,6,2960.00000000,152.82480000,0
54,1667950380000,0.05176000,0.05176000,0.05173000,0.05173000,1953.00000000,1667950439999,101.03457000,3,196.00000000,10.14496000,0
55,1667950440000,0.05169000,0.05170000,0.05169000,0.05170000,2351.00000000,1667950499999,121.53319000,3,0.00000000,0.00000000,0
56,1667950500000,0.05176000,0.05178000,0.05176000,0.05178000,5785.00000000,1667950559999,299.47022000,4,5785.00000000,299.47022000,0
57,1667950560000,0.05179000,0.05202000,0.05179000,0.05202000,57791.00000000,1667950619999,3003.40369000,21,30205.00000000,1568.89476000,0
58,1667950620000,0.05202000,0.05220000,0.05202000,0.05220000,49761.00000000,1667950679999,2594.71248000,37,23747.00000000,1237.97000000,0
59,1667950680000,0.05222000,0.05229000,0.05222000,0.05229000,3101.00000000,1667950739999,162.01051000,5,3101.00000000,162.01051000,0
60,1667950740000,0.05233000,0.05238000,0.05233000,0.05238000,4738.00000000,1667950799999,248.07857000,9,4738.00000000,248.07857000,0
61,1667950800000,0.05238000,0.05249000,0.05238000,0.05249000,1305.00000000,1667950859999,68.39446000,4,1305.00000000,68.39446000,0
62,1667950860000,0.05249000,0.05279000,0.05246000,0.05277000,94203.00000000,1667950919999,4962.98932000,53,40288.00000000,2123.33906000,0
63,1667950920000,0.05279000,0.05286000,0.05279000,0.05286000,19592.00000000,1667950979999,1035.06987000,14,13317.00000000,703.58718000,0
64,1667950980000,0.05287000,0.05302000,0.05287000,0.05302000,39698.00000000,1667951039999,2100.56904000,20,15988.00000000,845.79315000,0
65,1667951040000,0.05302000,0.05350000,0.05301000,0.05345000,92001.00000000,1667951099999,4909.41521000,50,47175.00000000,2519.30033000,0
66,1667951100000,0.05345000,0.05358000,0.05345000,0.05358000,153007.00000000,1667951159999,8183.10288000,63,90009.00000000,4815.38729000,0
67,1667951160000,0.05351000,0.05360000,0.05350000,0.05350000,56850.00000000,1667951219999,3044.34879000,31,9592.00000000,514.12078000,0
68,1667951220000,0.05361000,0.05400000,0.05300000,0.05300000,191408.00000000,1667951279999,10261.57725000,83,77793.00000000,4180.39022000,0
69,1667951280000,0.05300000,0.05308000,0.05299000,0.05299000,37321.00000000,1667951339999,1977.92575000,13,28233.00000000,1496.32781000,0
70,1667951340000,0.05316000,0.05335000,0.05316000,0.05335000,20349.00000000,1667951399999,1083.37495000,9,20349.00000000,1083.37495000,0
71,1667951400000,0.05328000,0.05338000,0.05299000,0.05299000,23366.00000000,1667951459999,1245.28313000,11,20311.00000000,1083.39868000,0
72,1667951460000,0.05299000,0.05326000,0.05296000,0.05300000,19992.00000000,1667951519999,1060.50771000,12,5502.00000000,292.98648000,0
73,1667951520000,0.05300000,0.05307000,0.05296000,0.05300000,46181.00000000,1667951579999,2447.77077000,14,0.00000000,0.00000000,0
74,1667951580000,0.05301000,0.05301000,0.05301000,0.05301000,196.00000000,1667951639999,10.38996000,1,0.00000000,0.00000000,0
75,1667951640000,0.05301000,0.05315000,0.05301000,0.05315000,6926.00000000,1667951699999,368.05460000,3,6481.00000000,344.46515000,0
76,1667951700000,0.05315000,0.05316000,0.05313000,0.05316000,45234.00000000,1667951759999,2404.16700000,17,24095.00000000,1280.63691000,0
77,1667951760000,0.05316000,0.05316000,0.05316000,0.05316000,0.00000000,1667951819999,0.00000000,0,0.00000000,0.00000000,0
78,1667951820000,0.05316000,0.05316000,0.05316000,0.05316000,1881.00000000,1667951879999,99.99396000,1,1881.00000000,99.99396000,0
79,1667951880000,0.05305000,0.05305000,0.05305000,0.05305000,361.00000000,1667951939999,19.15105000,1,0.00000000,0.00000000,0
80,1667951940000,0.05305000,0.05305000,0.05305000,0.05305000,0.00000000,1667951999999,0.00000000,0,0.00000000,0.00000000,0
81,1667952000000,0.05305000,0.05305000,0.05300000,0.05305000,5226.00000000,1667952059999,277.04252000,5,490.00000000,25.99450000,0
82,1667952060000,0.05310000,0.05333000,0.05307000,0.05307000,127057.00000000,1667952119999,6773.62773000,23,18903.00000000,1006.15815000,0
83,1667952120000,0.05313000,0.05322000,0.05310000,0.05316000,43567.00000000,1667952179999,2314.78047000,8,4545.00000000,241.85338000,0
84,1667952180000,0.05313000,0.05313000,0.05300000,0.05301000,6365.00000000,1667952239999,337.76623000,6,2001.00000000,106.31313000,0
85,1667952240000,0.05300000,0.05301000,0.05271000,0.05271000,132944.00000000,1667952299999,7038.90313000,31,525.00000000,27.67275000,0
86,1667952300000,0.05269000,0.05291000,0.05267000,0.05290000,3996.00000000,1667952359999,210.78224000,5,1738.00000000,91.81598000,0
87,1667952360000,0.05278000,0.05278000,0.05260000,0.05260000,768.00000000,1667952419999,40.46484000,2,378.00000000,19.95084000,0
88,1667952420000,0.05260000,0.05266000,0.05254000,0.05254000,40024.00000000,1667952479999,2105.27393000,10,1843.00000000,97.05238000,0
89,1667952480000,0.05254000,0.05254000,0.05231000,0.05231000,6128.00000000,1667952539999,321.60981000,10,0.00000000,0.00000000,0
90,1667952540000,0.05231000,0.05231000,0.05229000,0.05230000,11456.00000000,1667952599999,599.16513000,6,7382.00000000,386.05960000,0
91,1667952600000,0.05228000,0.05228000,0.05227000,0.05227000,1633.00000000,1667952659999,85.36359000,3,0.00000000,0.00000000,0
92,1667952660000,0.05228000,0.05228000,0.05228000,0.05228000,514.00000000,1667952719999,26.87192000,1,0.00000000,0.00000000,0
93,1667952720000,0.05228000,0.05228000,0.05228000,0.05228000,0.00000000,1667952779999,0.00000000,0,0.00000000,0.00000000,0
