,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946720000,0.00000183,0.00000183,0.00000183,0.00000183,63669.00000000,1667946779999,0.11651427,4,63669.00000000,0.11651427,0
1,1667946780000,0.00000183,0.00000183,0.00000183,0.00000183,0.00000000,1667946839999,0.00000000,0,0.00000000,0.00000000,0
2,1667946840000,0.00000183,0.00000183,0.00000183,0.00000183,0.00000000,1667946899999,0.00000000,0,0.00000000,0.00000000,0
3,1667946900000,0.00000184,0.00000184,0.00000184,0.00000184,16226.00000000,1667946959999,0.02985584,3,16226.00000000,0.02985584,0
4,1667946960000,0.00000184,0.00000184,0.00000184,0.00000184,0.00000000,1667947019999,0.00000000,0,0.00000000,0.00000000,0
5,1667947020000,0.00000184,0.00000184,0.00000184,0.00000184,402137.00000000,1667947079999,0.73993208,24,402137.00000000,0.73993208,0
6,1667947080000,0.00000184,0.00000184,0.00000184,0.00000184,189006.00000000,1667947139999,0.34777104,39,67282.00000000,0.12379888,0
7,1667947140000,0.00000185,0.00000185,0.00000184,0.00000184,397285.00000000,1667947199999,0.73497126,31,240450.00000000,0.44483250,0
8,1667947200000,0.00000185,0.00000185,0.00000185,0.00000185,210044.00000000,1667947259999,0.38858140,12,56525.00000000,0.10457125,0
9,1667947260000,0.00000185,0.00000185,0.00000185,0.00000185,20000.00000000,1667947319999,0.03700000,2,20000.00000000,0.03700000,0
10,1667947320000,0.00000185,0.00000185,0.00000185,0.00000185,1994.00000000,1667947379999,0.00368890,2,1994.00000000,0.00368890,0
11,1667947380000,0.00000184,0.00000184,0.00000184,0.00000184,179.00000000,1667947439999,0.00032936,1,0.00000000,0.00000000,0
12,1667947440000,0.00000185,0.00000185,0.00000185,0.00000185,970.00000000,1667947499999,0.00179450,2,970.00000000,0.00179450,0
13,1667947500000,0.00000185,0.00000185,0.00000185,0.00000185,11994.00000000,1667947559999,0.02218890,4,11994.00000000,0.02218890,0
14,1667947560000,0.00000185,0.00000186,0.00000185,0.00000185,22018.00000000,1667947619999,0.04073435,5,20000.00000000,0.03700105,0
15,1667947620000,0.00000185,0.00000185,0.00000185,0.00000185,11994.00000000,1667947679999,0.02218890,4,11994.00000000,0.02218890,0
16,1667947680000,0.00000185,0.00000185,0.00000185,0.00000185,43415.00000000,1667947739999,0.08031775,9,0.00000000,0.00000000,0
17,1667947740000,0.00000185,0.00000186,0.00000184,0.00000186,41578.00000000,1667947799999,0.07695764,17,11994.00000000,0.02228890,0
18,1667947800000,0.00000186,0.00000186,0.00000186,0.00000186,37338.00000000,1667947859999,0.06944868,7,37338.00000000,0.06944868,0
19,1667947860000,0.00000186,0.00000186,0.00000185,0.00000186,37504.00000000,1667947919999,0.06968240,7,30000.00000000,0.05580000,0
20,1667947920000,0.00000186,0.00000186,0.00000185,0.00000186,66530.00000000,1667947979999,0.12338050,13,31021.00000000,0.05768885,0
21,1667947980000,0.00000186,0.00000186,0.00000184,0.00000184,43834.00000000,1667948039999,0.08111108,7,1994.00000000,0.00370884,0
22,1667948040000,0.00000184,0.00000184,0.00000184,0.00000184,0.00000000,1667948099999,0.00000000,0,0.00000000,0.00000000,0
23,1667948100000,0.00000184,0.00000184,0.00000184,0.00000184,0.00000000,1667948159999,0.00000000,0,0.00000000,0.00000000,0
24,1667948160000,0.00000184,0.00000184,0.00000184,0.00000184,0.00000000,1667948219999,0.00000000,0,0.00000000,0.00000000,0
25,1667948220000,0.00000184,0.00000184,0.00000184,0.00000184,0.00000000,1667948279999,0.00000000,0,0.00000000,0.00000000,0
26,1667948280000,0.00000184,0.00000184,0.00000184,0.00000184,0.00000000,1667948339999,0.00000000,0,0.00000000,0.00000000,0
27,1667948340000,0.00000184,0.00000184,0.00000184,0.00000184,0.00000000,1667948399999,0.00000000,0,0.00000000,0.00000000,0
28,1667948400000,0.00000184,0.00000184,0.00000184,0.00000184,0.00000000,1667948459999,0.00000000,0,0.00000000,0.00000000,0
29,1667948460000,0.00000185,0.00000185,0.00000185,0.00000185,5844.00000000,1667948519999,0.01081140,1,5844.00000000,0.01081140,0
30,1667948520000,0.00000185,0.00000185,0.00000185,0.00000185,0.00000000,1667948579999,0.00000000,0,0.00000000,0.00000000,0
31,1667948580000,0.00000185,0.00000185,0.00000185,0.00000185,1245.00000000,1667948639999,0.00230325,2,805.00000000,0.00148925,0
32,1667948640000,0.00000185,0.00000185,0.00000185,0.00000185,0.00000000,1667948699999,0.00000000,0,0.00000000,0.00000000,0
