,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946900000,1.88000000,1.88000000,1.88000000,1.88000000,0.00000000,1667946959999,0.00000000,0,0.00000000,0.00000000,0
1,1667946960000,1.88000000,1.88000000,1.88000000,1.88000000,0.00000000,1667947019999,0.00000000,0,0.00000000,0.00000000,0
2,1667947020000,1.88000000,1.88000000,1.88000000,1.88000000,0.00000000,1667947079999,0.00000000,0,0.00000000,0.00000000,0
3,1667947080000,1.88000000,1.88000000,1.88000000,1.88000000,0.00000000,1667947139999,0.00000000,0,0.00000000,0.00000000,0
4,1667947140000,1.88200000,1.88200000,1.88200000,1.88200000,2662.00000000,1667947199999,5009.88400000,2,2662.00000000,5009.88400000,0
5,1667947200000,1.88200000,1.88200000,1.88200000,1.88200000,0.00000000,1667947259999,0.00000000,0,0.00000000,0.00000000,0
6,1667947260000,1.88200000,1.88200000,1.88200000,1.88200000,0.00000000,1667947319999,0.00000000,0,0.00000000,0.00000000,0
7,1667947320000,1.87800000,1.87800000,1.87800000,1.87800000,63.00000000,1667947379999,118.31400000,1,63.00000000,118.31400000,0
8,1667947380000,1.87800000,1.87800000,1.87800000,1.87800000,0.00000000,1667947439999,0.00000000,0,0.00000000,0.00000000,0
9,1667947440000,1.87800000,1.87800000,1.87800000,1.87800000,0.00000000,1667947499999,0.00000000,0,0.00000000,0.00000000,0
10,1667947500000,1.88200000,1.88200000,1.88200000,1.88200000,10.00000000,1667947559999,18.82000000,1,10.00000000,18.82000000,0
11,1667947560000,1.88200000,1.88200000,1.88200000,1.88200000,0.00000000,1667947619999,0.00000000,0,0.00000000,0.00000000,0
12,1667947620000,1.88200000,1.88200000,1.88200000,1.88200000,0.00000000,1667947679999,0.00000000,0,0.00000000,0.00000000,0
13,1667947680000,1.88200000,1.88200000,1.88200000,1.88200000,0.00000000,1667947739999,0.00000000,0,0.00000000,0.00000000,0
14,1667947740000,1.87400000,1.87400000,1.87400000,1.87400000,53.00000000,1667947799999,99.32200000,1,53.00000000,99.32200000,0
15,1667947800000,1.87400000,1.87400000,1.87400000,1.87400000,0.00000000,1667947859999,0.00000000,0,0.00000000,0.00000000,0
16,1667947860000,1.86900000,1.86900000,1.86900000,1.86900000,1784.00000000,1667947919999,3334.29600000,1,0.00000000,0.00000000,0
17,1667947920000,1.86900000,1.86900000,1.86900000,1.86900000,0.00000000,1667947979999,0.00000000,0,0.00000000,0.00000000,0
18,1667947980000,1.86900000,1.86900000,1.86900000,1.86900000,0.00000000,1667948039999,0.00000000,0,0.00000000,0.00000000,0
19,1667948040000,1.88200000,1.88200000,1.88200000,1.88200000,319.00000000,1667948099999,600.35800000,1,319.00000000,600.35800000,0
20,1667948100000,1.88100000,1.88100000,1.88100000,1.88100000,11.00000000,1667948159999,20.69100000,1,11.00000000,20.69100000,0
21,1667948160000,1.88100000,1.88100000,1.88100000,1.88100000,0.00000000,1667948219999,0.00000000,0,0.00000000,0.00000000,0
22,1667948220000,1.88100000,1.88100000,1.88100000,1.88100000,0.00000000,1667948279999,0.00000000,0,0.00000000,0.00000000,0
23,1667948280000,1.87900000,1.87900000,1.87900000,1.87900000,5313.00000000,1667948339999,9983.12700000,2,5313.00000000,9983.12700000,0
24,1667948340000,1.87900000,1.87900000,1.87900000,1.87900000,0.00000000,1667948399999,0.00000000,0,0.00000000,0.00000000,0
25,1667948400000,1.87900000,1.87900000,1.87900000,1.87900000,0.00000000,1667948459999,0.00000000,0,0.00000000,0.00000000,0
26,1667948460000,1.87900000,1.87900000,1.87900000,1.87900000,0.00000000,1667948519999,0.00000000,0,0.00000000,0.00000000,0
27,1667948520000,1.87900000,1.87900000,1.87900000,1.87900000,0.00000000,1667948579999,0.00000000,0,0.00000000,0.00000000,0
28,1667948580000,1.87900000,1.87900000,1.87900000,1.87900000,0.00000000,1667948639999,0.00000000,0,0.00000000,0.00000000,0
29,1667948640000,1.87900000,1.87900000,1.87900000,1.87900000,0.00000000,1667948699999,0.00000000,0,0.00000000,0.00000000,0
30,1667948700000,1.87900000,1.87900000,1.87900000,1.87900000,0.00000000,1667948759999,0.00000000,0,0.00000000,0.00000000,0
31,1667948760000,1.87900000,1.87900000,1.87900000,1.87900000,0.00000000,1667948819999,0.00000000,0,0.00000000,0.00000000,0
32,1667948820000,1.87900000,1.87900000,1.87900000,1.87900000,2394.00000000,1667948879999,4498.32600000,1,0.00000000,0.00000000,0
33,1667948880000,1.87900000,1.87900000,1.87900000,1.87900000,0.00000000,1667948939999,0.00000000,0,0.00000000,0.00000000,0
34,1667948940000,1.87900000,1.87900000,1.87900000,1.87900000,0.00000000,1667948999999,0.00000000,0,0.00000000,0.00000000,0
35,1667949000000,1.87900000,1.87900000,1.87900000,1.87900000,0.00000000,1667949059999,0.00000000,0,0.00000000,0.00000000,0
36,1667949060000,1.87900000,1.87900000,1.87900000,1.87900000,6.00000000,1667949119999,11.27400000,1,0.00000000,0.00000000,0
37,1667949120000,1.87300000,1.87300000,1.87300000,1.87300000,6.00000000,1667949179999,11.23800000,1,0.00000000,0.00000000,0
38,1667949180000,1.87300000,1.87300000,1.87300000,1.87300000,160.00000000,1667949239999,299.68000000,1,0.00000000,0.00000000,0
39,1667949240000,1.87700000,1.87700000,1.87700000,1.87700000,4058.00000000,1667949299999,7616.86600000,1,4058.00000000,7616.86600000,0
40,1667949300000,1.87500000,1.87500000,1.87500000,1.87500000,3592.00000000,1667949359999,6735.00000000,3,0.00000000,0.00000000,0
41,1667949360000,1.87700000,1.87700000,1.87300000,1.87300000,1121.00000000,1667949419999,2103.26500000,2,908.00000000,1704.31600000,0
42,1667949420000,1.87300000,1.87300000,1.87300000,1.87300000,0.00000000,1667949479999,0.00000000,0,0.00000000,0.00000000,0
43,1667949480000,1.87000000,1.87000000,1.86800000,1.86800000,10400.00000000,1667949539999,19437.99800000,6,0.00000000,0.00000000,0
44,1667949540000,1.86800000,1.86800000,1.86800000,1.86800000,0.00000000,1667949599999,0.00000000,0,0.00000000,0.00000000,0
45,1667949600000,1.87100000,1.87100000,1.87100000,1.87100000,151.00000000,1667949659999,282.52100000,1,151.00000000,282.52100000,0
46,1667949660000,1.87100000,1.87100000,1.87100000,1.87100000,2068.00000000,1667949719999,3869.22800000,1,2068.00000000,3869.22800000,0
