,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947080000,0.68800000,0.68800000,0.68800000,0.68800000,16.31000000,1667947139999,11.22128000,1,16.31000000,11.22128000,0
1,1667947140000,0.68700000,0.68700000,0.68700000,0.68700000,50.41000000,1667947199999,34.63167000,3,0.00000000,0.00000000,0
2,1667947200000,0.68700000,0.68700000,0.68700000,0.68700000,23.74000000,1667947259999,16.30938000,1,0.00000000,0.00000000,0
3,1667947260000,0.68700000,0.68700000,0.68700000,0.68700000,0.00000000,1667947319999,0.00000000,0,0.00000000,0.00000000,0
4,1667947320000,0.68700000,0.68700000,0.68700000,0.68700000,0.00000000,1667947379999,0.00000000,0,0.00000000,0.00000000,0
5,1667947380000,0.68700000,0.68700000,0.68700000,0.68700000,25.54000000,1667947439999,17.54598000,2,0.00000000,0.00000000,0
6,1667947440000,0.68700000,0.68700000,0.68700000,0.68700000,29.38000000,1667947499999,20.18406000,1,0.00000000,0.00000000,0
7,1667947500000,0.68700000,0.68700000,0.68700000,0.68700000,0.00000000,1667947559999,0.00000000,0,0.00000000,0.00000000,0
8,1667947560000,0.68700000,0.68700000,0.68700000,0.68700000,14.57000000,1667947619999,10.00959000,1,0.00000000,0.00000000,0
9,1667947620000,0.68800000,0.68800000,0.68500000,0.68500000,2200.47000000,1667947679999,1511.98317000,9,1776.45000000,1220.39149000,0
10,1667947680000,0.68500000,0.68500000,0.68500000,0.68500000,0.00000000,1667947739999,0.00000000,0,0.00000000,0.00000000,0
11,1667947740000,0.68400000,0.68400000,0.68100000,0.68200000,957.13000000,1667947799999,653.44502000,12,282.46000000,192.35526000,0
12,1667947800000,0.68200000,0.68200000,0.68200000,0.68200000,0.00000000,1667947859999,0.00000000,0,0.00000000,0.00000000,0
13,1667947860000,0.68200000,0.68200000,0.68200000,0.68200000,4.38000000,1667947919999,2.98716000,1,4.38000000,2.98716000,0
14,1667947920000,0.68200000,0.68200000,0.68200000,0.68200000,0.00000000,1667947979999,0.00000000,0,0.00000000,0.00000000,0
15,1667947980000,0.68200000,0.68500000,0.68200000,0.68400000,83.26000000,1667948039999,56.91801000,3,83.26000000,56.91801000,0
16,1667948040000,0.68400000,0.68500000,0.68400000,0.68400000,115.42000000,1667948099999,78.96917000,4,115.42000000,78.96917000,0
17,1667948100000,0.68300000,0.68300000,0.68300000,0.68300000,29.09000000,1667948159999,19.86847000,1,0.00000000,0.00000000,0
18,1667948160000,0.68500000,0.68500000,0.68500000,0.68500000,23.48000000,1667948219999,16.08380000,1,23.48000000,16.08380000,0
19,1667948220000,0.68500000,0.68500000,0.68500000,0.68500000,0.00000000,1667948279999,0.00000000,0,0.00000000,0.00000000,0
20,1667948280000,0.68300000,0.68300000,0.68300000,0.68300000,17.44000000,1667948339999,11.91152000,1,0.00000000,0.00000000,0
21,1667948340000,0.68300000,0.68300000,0.68300000,0.68300000,0.00000000,1667948399999,0.00000000,0,0.00000000,0.00000000,0
22,1667948400000,0.68300000,0.68300000,0.68300000,0.68300000,0.00000000,1667948459999,0.00000000,0,0.00000000,0.00000000,0
23,1667948460000,0.68100000,0.68400000,0.68100000,0.68400000,97.76000000,1667948519999,66.65028000,2,25.24000000,17.26416000,0
24,1667948520000,0.68000000,0.68400000,0.68000000,0.68400000,62.43000000,1667948579999,42.59500000,2,35.65000000,24.38460000,0
25,1667948580000,0.68400000,0.68400000,0.68400000,0.68400000,0.00000000,1667948639999,0.00000000,0,0.00000000,0.00000000,0
26,1667948640000,0.68400000,0.68400000,0.68400000,0.68400000,0.00000000,1667948699999,0.00000000,0,0.00000000,0.00000000,0
27,1667948700000,0.68400000,0.68400000,0.68400000,0.68400000,0.00000000,1667948759999,0.00000000,0,0.00000000,0.00000000,0
28,1667948760000,0.68500000,0.68500000,0.68500000,0.68500000,15.02000000,1667948819999,10.28870000,1,15.02000000,10.28870000,0
29,1667948820000,0.68500000,0.68500000,0.68500000,0.68500000,0.00000000,1667948879999,0.00000000,0,0.00000000,0.00000000,0
30,1667948880000,0.68500000,0.68500000,0.68500000,0.68500000,0.00000000,1667948939999,0.00000000,0,0.00000000,0.00000000,0
31,1667948940000,0.68500000,0.68500000,0.68500000,0.68500000,0.00000000,1667948999999,0.00000000,0,0.00000000,0.00000000,0
32,1667949000000,0.68500000,0.68600000,0.68500000,0.68600000,206.85000000,1667949059999,141.71580000,6,206.85000000,141.71580000,0
33,1667949060000,0.68600000,0.68600000,0.68600000,0.68600000,0.00000000,1667949119999,0.00000000,0,0.00000000,0.00000000,0
34,1667949120000,0.68600000,0.68600000,0.68600000,0.68600000,0.00000000,1667949179999,0.00000000,0,0.00000000,0.00000000,0
35,1667949180000,0.68600000,0.68600000,0.68600000,0.68600000,0.00000000,1667949239999,0.00000000,0,0.00000000,0.00000000,0
36,1667949240000,0.68600000,0.68600000,0.68600000,0.68600000,0.00000000,1667949299999,0.00000000,0,0.00000000,0.00000000,0
37,1667949300000,0.68300000,0.68600000,0.68300000,0.68600000,512.50000000,1667949359999,350.11706000,6,26.52000000,18.19272000,0
38,1667949360000,0.68200000,0.68500000,0.68200000,0.68500000,82.13000000,1667949419999,56.16905000,3,52.13000000,35.70905000,0
39,1667949420000,0.68500000,0.68500000,0.68500000,0.68500000,21.89000000,1667949479999,14.99465000,1,21.89000000,14.99465000,0
40,1667949480000,0.68200000,0.68200000,0.68200000,0.68200000,23.74000000,1667949539999,16.19068000,2,0.00000000,0.00000000,0
41,1667949540000,0.68200000,0.68200000,0.68200000,0.68200000,0.00000000,1667949599999,0.00000000,0,0.00000000,0.00000000,0
42,1667949600000,0.68200000,0.68200000,0.68200000,0.68200000,0.00000000,1667949659999,0.00000000,0,0.00000000,0.00000000,0
43,1667949660000,0.68100000,0.68100000,0.67400000,0.67900000,12290.47000000,1667949719999,8315.40520000,48,162.62000000,110.52695000,0
44,1667949720000,0.67900000,0.67900000,0.67900000,0.67900000,4.49000000,1667949779999,3.04871000,1,4.49000000,3.04871000,0
45,1667949780000,0.67900000,0.67900000,0.67900000,0.67900000,0.00000000,1667949839999,0.00000000,0,0.00000000,0.00000000,0
46,1667949840000,0.67900000,0.67900000,0.67900000,0.67900000,147.27000000,1667949899999,99.99633000,1,147.27000000,99.99633000,0
47,1667949900000,0.68000000,0.68000000,0.67900000,0.67900000,485.62000000,1667949959999,329.88560000,10,485.62000000,329.88560000,0
48,1667949960000,0.67900000,0.67900000,0.67900000,0.67900000,0.00000000,1667950019999,0.00000000,0,0.00000000,0.00000000,0
49,1667950020000,0.67900000,0.67900000,0.67900000,0.67900000,0.00000000,1667950079999,0.00000000,0,0.00000000,0.00000000,0
50,1667950080000,0.67700000,0.67700000,0.67400000,0.67500000,7627.09000000,1667950139999,5149.43527000,40,4765.72000000,3216.86100000,0
51,1667950140000,0.67500000,0.67500000,0.67500000,0.67500000,1043.65000000,1667950199999,704.46375000,15,1043.65000000,704.46375000,0
52,1667950200000,0.67500000,0.67500000,0.67500000,0.67500000,491.14000000,1667950259999,331.51950000,3,491.14000000,331.51950000,0
53,1667950260000,0.67500000,0.67500000,0.67500000,0.67500000,73.09000000,1667950319999,49.33575000,1,73.09000000,49.33575000,0
54,1667950320000,0.67500000,0.67500000,0.67500000,0.67500000,0.00000000,1667950379999,0.00000000,0,0.00000000,0.00000000,0
55,1667950380000,0.67500000,0.67500000,0.67500000,0.67500000,11440.60000000,1667950439999,7722.40500000,29,11440.60000000,7722.40500000,0
56,1667950440000,0.67400000,0.67500000,0.66900000,0.67400000,24525.66000000,1667950499999,16472.23148000,66,1710.64000000,1150.60926000,0
57,1667950500000,0.67400000,0.67400000,0.67200000,0.67400000,4552.35000000,1667950559999,3062.29855000,19,227.45000000,153.30130000,0
58,1667950560000,0.67500000,0.67500000,0.67500000,0.67500000,236.11000000,1667950619999,159.37425000,3,236.11000000,159.37425000,0
59,1667950620000,0.67500000,0.67500000,0.67500000,0.67500000,3605.27000000,1667950679999,2433.55725000,11,3605.27000000,2433.55725000,0
60,1667950680000,0.67500000,0.67500000,0.67500000,0.67500000,22.26000000,1667950739999,15.02550000,1,22.26000000,15.02550000,0
61,1667950740000,0.67500000,0.67500000,0.67500000,0.67500000,1364.81000000,1667950799999,921.24675000,11,1364.81000000,921.24675000,0
62,1667950800000,0.67500000,0.67500000,0.67500000,0.67500000,470.99000000,1667950859999,317.91825000,5,470.99000000,317.91825000,0
63,1667950860000,0.67500000,0.67500000,0.67500000,0.67500000,641.79000000,1667950919999,433.20825000,3,641.79000000,433.20825000,0
64,1667950920000,0.67500000,0.67500000,0.67500000,0.67500000,0.00000000,1667950979999,0.00000000,0,0.00000000,0.00000000,0
65,1667950980000,0.67500000,0.67500000,0.67500000,0.67500000,1327.73000000,1667951039999,896.21775000,5,1327.73000000,896.21775000,0
66,1667951040000,0.67400000,0.67500000,0.67400000,0.67500000,1630.64000000,1667951099999,1100.61614000,15,1564.78000000,1056.22650000,0
