,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947020000,6373.00,6375.00,6360.00,6360.00,9675.20000000,1667947079999,61657328.10,12,8786.70000000,55998506.30,0
1,1667947080000,6360.00,6360.00,6360.00,6360.00,0.00000000,1667947139999,0.00,0,0.00000000,0.00,0
2,1667947140000,6360.00,6360.00,6360.00,6360.00,0.00000000,1667947199999,0.00,0,0.00000000,0.00,0
3,1667947200000,6360.00,6360.00,6360.00,6360.00,0.00000000,1667947259999,0.00,0,0.00000000,0.00,0
4,1667947260000,6360.00,6360.00,6360.00,6360.00,0.00000000,1667947319999,0.00,0,0.00000000,0.00,0
5,1667947320000,6360.00,6360.00,6360.00,6360.00,0.00000000,1667947379999,0.00,0,0.00000000,0.00,0
6,1667947380000,6360.00,6360.00,6360.00,6360.00,0.00000000,1667947439999,0.00,0,0.00000000,0.00,0
7,1667947440000,6378.00,6378.00,6378.00,6378.00,1057.80000000,1667947499999,6746648.40,2,0.00000000,0.00,0
8,1667947500000,6378.00,6378.00,6378.00,6378.00,0.00000000,1667947559999,0.00,0,0.00000000,0.00,0
9,1667947560000,6378.00,6378.00,6378.00,6378.00,0.00000000,1667947619999,0.00,0,0.00000000,0.00,0
10,1667947620000,6378.00,6378.00,6378.00,6378.00,600.00000000,1667947679999,3826800.00,1,0.00000000,0.00,0
11,1667947680000,6378.00,6378.00,6378.00,6378.00,0.00000000,1667947739999,0.00,0,0.00000000,0.00,0
12,1667947740000,6366.00,6366.00,6345.00,6345.00,108.30000000,1667947799999,688349.20,6,0.00000000,0.00,0
13,1667947800000,6332.00,6332.00,6317.00,6317.00,19.50000000,1667947859999,123417.00,3,0.00000000,0.00,0
14,1667947860000,6317.00,6317.00,6317.00,6317.00,0.00000000,1667947919999,0.00,0,0.00000000,0.00,0
15,1667947920000,6348.00,6348.00,6348.00,6348.00,798.00000000,1667947979999,5065704.00,1,798.00000000,5065704.00,0
16,1667947980000,6348.00,6348.00,6348.00,6348.00,0.00000000,1667948039999,0.00,0,0.00000000,0.00,0
17,1667948040000,6388.00,6406.00,6388.00,6388.00,125.40000000,1667948099999,801305.40,5,3.80000000,24274.40,0
18,1667948100000,6411.00,6411.00,6411.00,6411.00,243.40000000,1667948159999,1560437.40,1,243.40000000,1560437.40,0
19,1667948160000,6407.00,6408.00,6407.00,6408.00,156.00000000,1667948219999,999617.70,3,156.00000000,999617.70,0
20,1667948220000,6388.00,6407.00,6388.00,6407.00,74.60000000,1667948279999,476993.20,2,23.60000000,151205.20,0
21,1667948280000,6393.00,6393.00,6393.00,6393.00,117.60000000,1667948339999,751816.80,1,117.60000000,751816.80,0
22,1667948340000,6377.00,6377.00,6366.00,6366.00,625.20000000,1667948399999,3986042.40,4,469.20000000,2992088.40,0
23,1667948400000,6371.00,6374.00,6371.00,6374.00,189.30000000,1667948459999,1206364.20,3,189.30000000,1206364.20,0
24,1667948460000,6374.00,6374.00,6358.00,6358.00,215.60000000,1667948519999,1371725.60,2,215.60000000,1371725.60,0
25,1667948520000,6357.00,6357.00,6357.00,6357.00,3.10000000,1667948579999,19706.70,1,3.10000000,19706.70,0
26,1667948580000,6382.00,6382.00,6382.00,6382.00,1057.80000000,1667948639999,6750879.60,2,1057.80000000,6750879.60,0
27,1667948640000,6382.00,6382.00,6382.00,6382.00,0.00000000,1667948699999,0.00,0,0.00000000,0.00,0
28,1667948700000,6406.00,6406.00,6406.00,6406.00,175.00000000,1667948759999,1121050.00,1,0.00000000,0.00,0
29,1667948760000,6414.00,6414.00,6414.00,6414.00,62.70000000,1667948819999,402157.80,1,0.00000000,0.00,0
