,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946660000,0.00002166,0.00002169,0.00002166,0.00002167,17817.00000000,1667946719999,0.38613727,23,7288.00000000,0.15797348,0
1,1667946720000,0.00002166,0.00002169,0.00002166,0.00002169,33791.00000000,1667946779999,0.73241953,40,11786.00000000,0.25547017,0
2,1667946780000,0.00002168,0.00002172,0.00002168,0.00002170,23795.00000000,1667946839999,0.51606735,40,10704.00000000,0.23215329,0
3,1667946840000,0.00002171,0.00002171,0.00002163,0.00002163,18030.00000000,1667946899999,0.39059778,46,7481.00000000,0.16204321,0
4,1667946900000,0.00002164,0.00002166,0.00002161,0.00002162,28492.00000000,1667946959999,0.61631808,46,12420.00000000,0.26878044,0
5,1667946960000,0.00002162,0.00002163,0.00002160,0.00002163,7234.00000000,1667947019999,0.15632303,24,4551.00000000,0.09834728,0
6,1667947020000,0.00002162,0.00002163,0.00002162,0.00002163,37361.00000000,1667947079999,0.80790134,48,18324.00000000,0.39625135,0
7,1667947080000,0.00002162,0.00002164,0.00002158,0.00002158,39990.00000000,1667947139999,0.86429304,57,8934.00000000,0.19292103,0
8,1667947140000,0.00002158,0.00002159,0.00002156,0.00002159,20498.00000000,1667947199999,0.44234673,42,9839.00000000,0.21232931,0
9,1667947200000,0.00002158,0.00002166,0.00002158,0.00002165,112821.00000000,1667947259999,2.43929820,80,67171.00000000,1.45233699,0
10,1667947260000,0.00002166,0.00002169,0.00002165,0.00002166,107715.00000000,1667947319999,2.33392247,96,40608.00000000,0.88031628,0
11,1667947320000,0.00002166,0.00002168,0.00002165,0.00002167,21201.00000000,1667947379999,0.45926863,35,5183.00000000,0.11229692,0
12,1667947380000,0.00002168,0.00002170,0.00002167,0.00002170,12284.00000000,1667947439999,0.26634030,21,11898.00000000,0.25797188,0
13,1667947440000,0.00002170,0.00002170,0.00002164,0.00002167,65976.00000000,1667947499999,1.42956271,67,15457.00000000,0.33499700,0
14,1667947500000,0.00002167,0.00002168,0.00002163,0.00002163,26345.00000000,1667947559999,0.57052236,31,6169.00000000,0.13362871,0
15,1667947560000,0.00002164,0.00002166,0.00002163,0.00002163,42358.00000000,1667947619999,0.91686313,43,7615.00000000,0.16485151,0
16,1667947620000,0.00002164,0.00002169,0.00002164,0.00002169,47347.00000000,1667947679999,1.02557212,49,26570.00000000,0.57534484,0
17,1667947680000,0.00002168,0.00002182,0.00002168,0.00002175,233900.00000000,1667947739999,5.09267837,217,136247.00000000,2.96640964,0
18,1667947740000,0.00002176,0.00002176,0.00002167,0.00002168,40526.00000000,1667947799999,0.87979108,68,19867.00000000,0.43148779,0
19,1667947800000,0.00002167,0.00002167,0.00002155,0.00002160,120319.00000000,1667947859999,2.59862996,205,31699.00000000,0.68467907,0
20,1667947860000,0.00002160,0.00002164,0.00002157,0.00002163,66328.00000000,1667947919999,1.43273396,76,35078.00000000,0.75807217,0
21,1667947920000,0.00002163,0.00002170,0.00002161,0.00002169,108845.00000000,1667947979999,2.35884816,136,44857.00000000,0.97174913,0
22,1667947980000,0.00002168,0.00002170,0.00002165,0.00002167,44933.00000000,1667948039999,0.97380589,72,19474.00000000,0.42211290,0
23,1667948040000,0.00002167,0.00002173,0.00002167,0.00002173,110998.00000000,1667948099999,2.40887509,135,67271.00000000,1.46006647,0
24,1667948100000,0.00002173,0.00002177,0.00002172,0.00002173,101111.00000000,1667948159999,2.19774658,114,60659.00000000,1.31879629,0
25,1667948160000,0.00002172,0.00002175,0.00002172,0.00002174,42204.00000000,1667948219999,0.91722882,59,25974.00000000,0.56458442,0
26,1667948220000,0.00002174,0.00002174,0.00002172,0.00002173,59728.00000000,1667948279999,1.29815407,68,41422.00000000,0.90039881,0
27,1667948280000,0.00002173,0.00002174,0.00002171,0.00002171,45523.00000000,1667948339999,0.98904231,48,40418.00000000,0.87819723,0
28,1667948340000,0.00002172,0.00002172,0.00002167,0.00002169,73304.00000000,1667948399999,1.58935706,67,42841.00000000,0.92866338,0
29,1667948400000,0.00002167,0.00002168,0.00002164,0.00002165,77901.00000000,1667948459999,1.68715364,94,41763.00000000,0.90472484,0
30,1667948460000,0.00002166,0.00002167,0.00002162,0.00002164,57647.00000000,1667948519999,1.24722687,90,31930.00000000,0.69094285,0
31,1667948520000,0.00002164,0.00002168,0.00002162,0.00002168,174384.00000000,1667948579999,3.77430049,192,44684.00000000,0.96749339,0
32,1667948580000,0.00002167,0.00002171,0.00002165,0.00002168,97793.00000000,1667948639999,2.12013471,143,37375.00000000,0.81048698,0
33,1667948640000,0.00002168,0.00002179,0.00002167,0.00002175,66579.00000000,1667948699999,1.44714420,116,48676.00000000,1.05846878,0
34,1667948700000,0.00002174,0.00002176,0.00002172,0.00002174,33568.00000000,1667948759999,0.72995694,37,17943.00000000,0.39032323,0
35,1667948760000,0.00002174,0.00002177,0.00002172,0.00002175,24862.00000000,1667948819999,0.54054906,31,22817.00000000,0.49608824,0
36,1667948820000,0.00002175,0.00002176,0.00002172,0.00002176,74787.00000000,1667948879999,1.62603494,103,40245.00000000,0.87520240,0
37,1667948880000,0.00002176,0.00002180,0.00002175,0.00002179,57974.00000000,1667948939999,1.26263945,85,42351.00000000,0.92240551,0
38,1667948940000,0.00002179,0.00002181,0.00002177,0.00002181,43569.00000000,1667948999999,0.94910999,68,24157.00000000,0.52625582,0
