,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946720000,0.40210000,0.40280000,0.40150000,0.40240000,148208.00000000,1667946779999,59596.38120000,135,94231.00000000,37899.29620000,0
1,1667946780000,0.40240000,0.40240000,0.40170000,0.40220000,131778.00000000,1667946839999,52975.97040000,90,92920.00000000,37357.04430000,0
2,1667946840000,0.40230000,0.40230000,0.40110000,0.40110000,55184.00000000,1667946899999,22173.90480000,65,17659.00000000,7099.42650000,0
3,1667946900000,0.40110000,0.40130000,0.40080000,0.40110000,97684.00000000,1667946959999,39187.15400000,68,85612.00000000,34345.21850000,0
4,1667946960000,0.40100000,0.40170000,0.40080000,0.40170000,355433.00000000,1667947019999,142615.96300000,134,314893.00000000,126351.91420000,0
5,1667947020000,0.40160000,0.40160000,0.40030000,0.40050000,234185.00000000,1667947079999,93862.42080000,144,131512.00000000,52704.15360000,0
6,1667947080000,0.40050000,0.40110000,0.40000000,0.40000000,170340.00000000,1667947139999,68193.37090000,89,51248.00000000,20527.71620000,0
7,1667947140000,0.40000000,0.40000000,0.39940000,0.39950000,103734.00000000,1667947199999,41457.10070000,82,56782.00000000,22694.44130000,0
8,1667947200000,0.39950000,0.40060000,0.39950000,0.40050000,230307.00000000,1667947259999,92098.84940000,117,143978.00000000,57586.36730000,0
9,1667947260000,0.40060000,0.40140000,0.40060000,0.40090000,119290.00000000,1667947319999,47830.65740000,88,47800.00000000,19161.35070000,0
10,1667947320000,0.40100000,0.40130000,0.40100000,0.40130000,94344.00000000,1667947379999,37847.06450000,71,71094.00000000,28520.02850000,0
11,1667947380000,0.40130000,0.40200000,0.40130000,0.40190000,33634.00000000,1667947439999,13510.26100000,51,25547.00000000,10262.57580000,0
12,1667947440000,0.40200000,0.40200000,0.40090000,0.40090000,92337.00000000,1667947499999,37052.83310000,83,25065.00000000,10063.86110000,0
13,1667947500000,0.40090000,0.40100000,0.40020000,0.40030000,43049.00000000,1667947559999,17245.10870000,41,25222.00000000,10104.84220000,0
14,1667947560000,0.40030000,0.40100000,0.40030000,0.40080000,99669.00000000,1667947619999,39932.21920000,72,81786.00000000,32765.95580000,0
15,1667947620000,0.40080000,0.40160000,0.40080000,0.40150000,114926.00000000,1667947679999,46097.01070000,74,78661.00000000,31552.69070000,0
16,1667947680000,0.40160000,0.40350000,0.40150000,0.40170000,320539.00000000,1667947739999,129051.58710000,203,201851.00000000,81252.15960000,0
17,1667947740000,0.40160000,0.40160000,0.39820000,0.39860000,303603.00000000,1667947799999,121314.55480000,242,132532.00000000,52907.87440000,0
18,1667947800000,0.39870000,0.39870000,0.39620000,0.39730000,469688.00000000,1667947859999,186493.14330000,336,305300.00000000,121218.83460000,0
19,1667947860000,0.39730000,0.39850000,0.39710000,0.39820000,174842.00000000,1667947919999,69543.16180000,97,148695.00000000,59143.59130000,0
20,1667947920000,0.39830000,0.39960000,0.39780000,0.39950000,174737.00000000,1667947979999,69652.04290000,132,139859.00000000,55748.54450000,0
21,1667947980000,0.39940000,0.40070000,0.39940000,0.40070000,250014.00000000,1667948039999,100022.11520000,149,169007.00000000,67614.39040000,0
22,1667948040000,0.40070000,0.40220000,0.40070000,0.40190000,228160.00000000,1667948099999,91592.29550000,212,140887.00000000,56557.68950000,0
23,1667948100000,0.40200000,0.40280000,0.40190000,0.40220000,134784.00000000,1667948159999,54213.32750000,120,94333.00000000,37939.13310000,0
24,1667948160000,0.40210000,0.40240000,0.40200000,0.40200000,180774.00000000,1667948219999,72685.10390000,90,59298.00000000,23847.27710000,0
25,1667948220000,0.40210000,0.40210000,0.40120000,0.40170000,129283.00000000,1667948279999,51922.12480000,93,61449.00000000,24665.84430000,0
26,1667948280000,0.40160000,0.40170000,0.40020000,0.40020000,122027.00000000,1667948339999,48952.11890000,89,75832.00000000,30426.63820000,0
27,1667948340000,0.40010000,0.40140000,0.39990000,0.40020000,270542.00000000,1667948399999,108371.45340000,173,165101.00000000,66131.63320000,0
28,1667948400000,0.40010000,0.40010000,0.39930000,0.39960000,172467.00000000,1667948459999,68933.42590000,124,121504.00000000,48563.78260000,0
29,1667948460000,0.39960000,0.39980000,0.39810000,0.39880000,92281.00000000,1667948519999,36787.45050000,114,65182.00000000,25981.76170000,0
30,1667948520000,0.39860000,0.39970000,0.39820000,0.39970000,224755.00000000,1667948579999,89619.52710000,119,135781.00000000,54141.29550000,0
31,1667948580000,0.39980000,0.40150000,0.39980000,0.40090000,266044.00000000,1667948639999,106634.37860000,169,193672.00000000,77629.70770000,0
32,1667948640000,0.40120000,0.40280000,0.40120000,0.40240000,164811.00000000,1667948699999,66253.26660000,143,116929.00000000,47000.66000000,0
33,1667948700000,0.40230000,0.40310000,0.40190000,0.40280000,303144.00000000,1667948759999,122001.25370000,139,174169.00000000,70101.06180000,0
34,1667948760000,0.40280000,0.40350000,0.40250000,0.40300000,253587.00000000,1667948819999,102201.56160000,146,174930.00000000,70491.93750000,0
35,1667948820000,0.40310000,0.40310000,0.40240000,0.40310000,409623.00000000,1667948879999,164926.62510000,116,146960.00000000,59172.55550000,0
36,1667948880000,0.40310000,0.40400000,0.40280000,0.40380000,308099.00000000,1667948939999,124292.53720000,168,193859.00000000,78213.92180000,0
37,1667948940000,0.40380000,0.40440000,0.40340000,0.40430000,439824.00000000,1667948999999,177543.94620000,159,194671.00000000,78627.69360000,0
38,1667949000000,0.40420000,0.40550000,0.40420000,0.40480000,273117.00000000,1667949059999,110534.79780000,167,202820.00000000,82075.47370000,0
39,1667949060000,0.40490000,0.40500000,0.40420000,0.40420000,391622.00000000,1667949119999,158471.00930000,142,177282.00000000,71742.26330000,0
40,1667949120000,0.40430000,0.40430000,0.40260000,0.40260000,235731.00000000,1667949179999,95168.93170000,156,94180.00000000,38038.82960000,0
41,1667949180000,0.40280000,0.40350000,0.40230000,0.40330000,122403.00000000,1667949239999,49329.16870000,117,61823.00000000,24911.74690000,0
42,1667949240000,0.40320000,0.40450000,0.40320000,0.40390000,124037.00000000,1667949299999,50122.14560000,108,31502.00000000,12721.75010000,0
43,1667949300000,0.40390000,0.40460000,0.40360000,0.40460000,49130.00000000,1667949359999,19846.16230000,46,29647.00000000,11973.09540000,0
44,1667949360000,0.40460000,0.40480000,0.40230000,0.40260000,183510.00000000,1667949419999,73996.01060000,175,62566.00000000,25218.11430000,0
45,1667949420000,0.40250000,0.40300000,0.40210000,0.40210000,119621.00000000,1667949479999,48145.34120000,103,36606.00000000,14734.94750000,0
46,1667949480000,0.40210000,0.40210000,0.40040000,0.40060000,96966.00000000,1667949539999,38913.55120000,164,40668.00000000,16320.37370000,0
47,1667949540000,0.40060000,0.40250000,0.40030000,0.40100000,314919.00000000,1667949599999,126480.08260000,177,211634.00000000,84998.57670000,0
48,1667949600000,0.40090000,0.40220000,0.40000000,0.40100000,206467.00000000,1667949659999,82806.02280000,146,100693.00000000,40406.31340000,0
49,1667949660000,0.40100000,0.40120000,0.39990000,0.40060000,202625.00000000,1667949719999,81163.01820000,158,82507.00000000,33050.15830000,0
50,1667949720000,0.40050000,0.40110000,0.39910000,0.40070000,199615.00000000,1667949779999,79850.84370000,171,82043.00000000,32825.04000000,0
51,1667949780000,0.40080000,0.40190000,0.40030000,0.40180000,143666.00000000,1667949839999,57643.63720000,122,68950.00000000,27668.45000000,0
52,1667949840000,0.40170000,0.40220000,0.40110000,0.40190000,186316.00000000,1667949899999,74845.59880000,104,81277.00000000,32651.06740000,0
53,1667949900000,0.40160000,0.40240000,0.40130000,0.40240000,133921.00000000,1667949959999,53802.55030000,75,50091.00000000,20125.10400000,0
54,1667949960000,0.40240000,0.40300000,0.40120000,0.40150000,242131.00000000,1667950019999,97317.14130000,165,116973.00000000,47023.17460000,0
55,1667950020000,0.40150000,0.40270000,0.40110000,0.40240000,187457.00000000,1667950079999,75368.75730000,141,109169.00000000,43903.64290000,0
56,1667950080000,0.40240000,0.40330000,0.40170000,0.40330000,147681.00000000,1667950139999,59450.49460000,133,96850.00000000,38994.61140000,0
57,1667950140000,0.40310000,0.40390000,0.40260000,0.40350000,97190.00000000,1667950199999,39194.95790000,109,38469.00000000,15516.63020000,0
58,1667950200000,0.40330000,0.40390000,0.40220000,0.40230000,176706.00000000,1667950259999,71283.75430000,128,88725.00000000,35798.07100000,0
59,1667950260000,0.40240000,0.40470000,0.40220000,0.40440000,116370.00000000,1667950319999,46920.71190000,133,79467.00000000,32049.94010000,0
60,1667950320000,0.40450000,0.40480000,0.40350000,0.40460000,81335.00000000,1667950379999,32876.90500000,93,46632.00000000,18852.12790000,0
61,1667950380000,0.40470000,0.40540000,0.40420000,0.40530000,128461.00000000,1667950439999,52008.55950000,119,89153.00000000,36097.12320000,0
62,1667950440000,0.40520000,0.40640000,0.40480000,0.40640000,217707.00000000,1667950499999,88328.11240000,167,166455.00000000,67547.19740000,0
63,1667950500000,0.40640000,0.40750000,0.40540000,0.40710000,147993.00000000,1667950559999,60166.68340000,157,83563.00000000,33987.40610000,0
64,1667950560000,0.40720000,0.40780000,0.40700000,0.40720000,113239.00000000,1667950619999,46126.47920000,94,55678.00000000,22681.25800000,0
65,1667950620000,0.40710000,0.40940000,0.40660000,0.40940000,283838.00000000,1667950679999,115902.05270000,292,173798.00000000,70971.09840000,0
66,1667950680000,0.40940000,0.40990000,0.40890000,0.40980000,117277.00000000,1667950739999,48013.85630000,113,32355.00000000,13246.17850000,0
67,1667950740000,0.40980000,0.41090000,0.40950000,0.41090000,125807.00000000,1667950799999,51602.94150000,160,82096.00000000,33672.00840000,0
68,1667950800000,0.41100000,0.41100000,0.40920000,0.41100000,256612.00000000,1667950859999,105273.07060000,183,95321.00000000,39101.78390000,0
69,1667950860000,0.41090000,0.41140000,0.41010000,0.41060000,206082.00000000,1667950919999,84610.02960000,139,60760.00000000,24954.58820000,0
70,1667950920000,0.41080000,0.41130000,0.40970000,0.40970000,134963.00000000,1667950979999,55440.11090000,81,36724.00000000,15070.58870000,0
71,1667950980000,0.40960000,0.41050000,0.40950000,0.40980000,95947.00000000,1667951039999,39359.74060000,76,38305.00000000,15713.53890000,0
72,1667951040000,0.40980000,0.41140000,0.40940000,0.41140000,173639.00000000,1667951099999,71245.51510000,119,106862.00000000,43869.69230000,0
73,1667951100000,0.41120000,0.41150000,0.41000000,0.41010000,110145.00000000,1667951159999,45231.59750000,73,27900.00000000,11455.83020000,0
74,1667951160000,0.41000000,0.41000000,0.40760000,0.40830000,121309.00000000,1667951219999,49556.28370000,149,15366.00000000,6285.39900000,0
75,1667951220000,0.40820000,0.40860000,0.40700000,0.40750000,79548.00000000,1667951279999,32431.41150000,98,34834.00000000,14205.55050000,0
76,1667951280000,0.40750000,0.40790000,0.40690000,0.40750000,72829.00000000,1667951339999,29680.12390000,57,35783.00000000,14581.51940000,0
77,1667951340000,0.40740000,0.40850000,0.40730000,0.40830000,88088.00000000,1667951399999,35935.28530000,72,64467.00000000,26295.79780000,0
78,1667951400000,0.40830000,0.40850000,0.40630000,0.40660000,267897.00000000,1667951459999,109119.69570000,117,49642.00000000,20233.49040000,0
79,1667951460000,0.40660000,0.40720000,0.40610000,0.40650000,147619.00000000,1667951519999,60018.17100000,111,36017.00000000,14645.35160000,0
80,1667951520000,0.40650000,0.40650000,0.40520000,0.40530000,127771.00000000,1667951579999,51856.04680000,129,46983.00000000,19051.66050000,0
81,1667951580000,0.40530000,0.40580000,0.40490000,0.40500000,82220.00000000,1667951639999,33325.52200000,75,33584.00000000,13616.24800000,0
82,1667951640000,0.40490000,0.40550000,0.40450000,0.40470000,43318.00000000,1667951699999,17541.15920000,55,15351.00000000,6217.66360000,0
83,1667951700000,0.40480000,0.40550000,0.40440000,0.40520000,104985.00000000,1667951759999,42508.76300000,80,50218.00000000,20337.44540000,0
84,1667951760000,0.40510000,0.40580000,0.40510000,0.40580000,67658.00000000,1667951819999,27429.44430000,64,23280.00000000,9433.87600000,0
85,1667951820000,0.40590000,0.40680000,0.40590000,0.40630000,76131.00000000,1667951879999,30948.44130000,63,26414.00000000,10731.29240000,0
86,1667951880000,0.40650000,0.40660000,0.40520000,0.40520000,64329.00000000,1667951939999,26103.72490000,59,21355.00000000,8664.56260000,0
87,1667951940000,0.40510000,0.40630000,0.40500000,0.40610000,73655.00000000,1667951999999,29889.87130000,75,35414.00000000,14371.12360000,0
88,1667952000000,0.40600000,0.40740000,0.40500000,0.40720000,322419.00000000,1667952059999,130889.55360000,208,110395.00000000,44832.87930000,0
89,1667952060000,0.40720000,0.40720000,0.40540000,0.40540000,113797.00000000,1667952119999,46255.85750000,94,15800.00000000,6419.97050000,0
90,1667952120000,0.40530000,0.40530000,0.40370000,0.40460000,278240.00000000,1667952179999,112586.94160000,262,130886.00000000,52956.55290000,0
91,1667952180000,0.40460000,0.40610000,0.40340000,0.40440000,317913.00000000,1667952239999,128608.64080000,330,187180.00000000,75756.63290000,0
92,1667952240000,0.40430000,0.40440000,0.40310000,0.40330000,110134.00000000,1667952299999,44458.45160000,128,65924.00000000,26602.78590000,0
93,1667952300000,0.40320000,0.40450000,0.40320000,0.40420000,118630.00000000,1667952359999,47930.45450000,117,74156.00000000,29959.19990000,0
94,1667952360000,0.40410000,0.40430000,0.40250000,0.40310000,225254.00000000,1667952419999,90801.64500000,205,103637.00000000,41771.17400000,0
95,1667952420000,0.40300000,0.40310000,0.40190000,0.40210000,226588.00000000,1667952479999,91184.08870000,223,82447.00000000,33171.30140000,0
96,1667952480000,0.40200000,0.40250000,0.40120000,0.40120000,193304.00000000,1667952539999,77686.11410000,202,81033.00000000,32582.65240000,0
97,1667952540000,0.40130000,0.40200000,0.40110000,0.40190000,334020.00000000,1667952599999,134150.43220000,252,203188.00000000,81620.75900000,0
98,1667952600000,0.40180000,0.40240000,0.40130000,0.40160000,208788.00000000,1667952659999,83855.72610000,136,147503.00000000,59229.99490000,0
99,1667952660000,0.40170000,0.40230000,0.40160000,0.40170000,209657.00000000,1667952719999,84237.85620000,124,146292.00000000,58768.13410000,0
100,1667952720000,0.40170000,0.40290000,0.40130000,0.40250000,224866.00000000,1667952779999,90427.67090000,162,161978.00000000,65152.08090000,0
101,1667952780000,0.40270000,0.40270000,0.40130000,0.40210000,150977.00000000,1667952839999,60668.24150000,163,73070.00000000,29345.41190000,0
102,1667952840000,0.40200000,0.40350000,0.40150000,0.40350000,81156.00000000,1667952899999,32681.95410000,88,56068.00000000,22582.06310000,0
103,1667952900000,0.40340000,0.40410000,0.40320000,0.40410000,84248.00000000,1667952959999,34005.76920000,121,49183.00000000,19857.12580000,0
104,1667952960000,0.40430000,0.40670000,0.40430000,0.40610000,218242.00000000,1667953019999,88545.00810000,249,143716.00000000,58334.00380000,0
105,1667953020000,0.40620000,0.40670000,0.40570000,0.40670000,102629.00000000,1667953079999,41677.02000000,127,44217.00000000,17959.59750000,0
106,1667953080000,0.40660000,0.40830000,0.40630000,0.40810000,237874.00000000,1667953139999,96886.70960000,256,136071.00000000,55413.95460000,0
107,1667953140000,0.40810000,0.40830000,0.40660000,0.40820000,246253.00000000,1667953199999,100350.05290000,263,131432.00000000,53555.35000000,0
108,1667953200000,0.40810000,0.40910000,0.40780000,0.40880000,147443.00000000,1667953259999,60232.71340000,179,77556.00000000,31685.91040000,0
109,1667953260000,0.40880000,0.40900000,0.40780000,0.40870000,168390.00000000,1667953319999,68752.09400000,144,74629.00000000,30471.79830000,0
110,1667953320000,0.40860000,0.40950000,0.40860000,0.40920000,121343.00000000,1667953379999,49644.31700000,123,78280.00000000,32021.86720000,0
111,1667953380000,0.40930000,0.41030000,0.40930000,0.41030000,147998.00000000,1667953439999,60641.63280000,142,115341.00000000,47259.48350000,0
112,1667953440000,0.41030000,0.41080000,0.40960000,0.41080000,223979.00000000,1667953499999,91876.72340000,167,112584.00000000,46197.40610000,0
113,1667953500000,0.41080000,0.41090000,0.40970000,0.41050000,222806.00000000,1667953559999,91385.03150000,182,106472.00000000,43663.72640000,0
114,1667953560000,0.41050000,0.41050000,0.40830000,0.40840000,323136.00000000,1667953619999,132165.85280000,240,124222.00000000,50801.57880000,0
115,1667953620000,0.40840000,0.40860000,0.40760000,0.40760000,251017.00000000,1667953679999,102400.06860000,152,37962.00000000,15503.61540000,0
116,1667953680000,0.40750000,0.40780000,0.40660000,0.40720000,185648.00000000,1667953739999,75611.74650000,188,103520.00000000,42166.98920000,0
117,1667953740000,0.40690000,0.40770000,0.40640000,0.40770000,208255.00000000,1667953799999,84754.56950000,165,47052.00000000,19145.80670000,0
118,1667953800000,0.40770000,0.40910000,0.40750000,0.40910000,135168.00000000,1667953859999,55188.39180000,148,86000.00000000,35107.78300000,0
119,1667953860000,0.40920000,0.41000000,0.40920000,0.40980000,185904.00000000,1667953919999,76141.46870000,155,109264.00000000,44750.48040000,0
120,1667953920000,0.40980000,0.41010000,0.40910000,0.40990000,155790.00000000,1667953979999,63816.54660000,97,92202.00000000,37764.48620000,0
121,1667953980000,0.41000000,0.41030000,0.40890000,0.40920000,320762.00000000,1667954039999,131504.34840000,194,185619.00000000,76097.43430000,0
122,1667954040000,0.40920000,0.40920000,0.40780000,0.40780000,231226.00000000,1667954099999,94439.68040000,159,144980.00000000,59208.68070000,0
123,1667954100000,0.40780000,0.40830000,0.40740000,0.40770000,266658.00000000,1667954159999,108742.25980000,152,201283.00000000,82075.66200000,0
124,1667954160000,0.40770000,0.40770000,0.40670000,0.40680000,270095.00000000,1667954219999,109915.39430000,209,149675.00000000,60910.73790000,0
125,1667954220000,0.40680000,0.40780000,0.40660000,0.40770000,317529.00000000,1667954279999,129310.29900000,211,214672.00000000,87405.98290000,0
126,1667954280000,0.40770000,0.40790000,0.40650000,0.40660000,290201.00000000,1667954339999,118076.36520000,189,178515.00000000,72633.40620000,0
127,1667954340000,0.40660000,0.40760000,0.40660000,0.40690000,149796.00000000,1667954399999,60970.27200000,125,94032.00000000,38262.56670000,0
128,1667954400000,0.40690000,0.40740000,0.40620000,0.40620000,302697.00000000,1667954459999,123220.70940000,178,138103.00000000,56204.76710000,0
129,1667954460000,0.40630000,0.40680000,0.40620000,0.40670000,316069.00000000,1667954519999,128480.95640000,171,204542.00000000,83151.67910000,0
130,1667954520000,0.40660000,0.40710000,0.40650000,0.40700000,108106.00000000,1667954579999,43979.53160000,74,69798.00000000,28400.56010000,0
131,1667954580000,0.40700000,0.40790000,0.40690000,0.40790000,128131.00000000,1667954639999,52212.07440000,76,111781.00000000,45546.34360000,0
132,1667954640000,0.40780000,0.40820000,0.40700000,0.40820000,852788.00000000,1667954699999,347657.08740000,257,493887.00000000,201319.86670000,0
133,1667954700000,0.40810000,0.40810000,0.40630000,0.40670000,577685.00000000,1667954759999,235063.36460000,271,157652.00000000,64193.44590000,0
134,1667954760000,0.40660000,0.40670000,0.40490000,0.40490000,346687.00000000,1667954819999,140600.16310000,244,248225.00000000,100654.35030000,0
