,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946660000,0.00030390,0.00030390,0.00030390,0.00030390,6.00000000,1667946719999,0.00182340,1,6.00000000,0.00182340,0
1,1667946720000,0.00030350,0.00030430,0.00030350,0.00030430,4015.00000000,1667946779999,1.22034810,8,2695.00000000,0.81951410,0
2,1667946780000,0.00030350,0.00030390,0.00030340,0.00030390,1075.00000000,1667946839999,0.32620180,5,5.00000000,0.00151950,0
3,1667946840000,0.00030370,0.00030370,0.00030300,0.00030300,3064.00000000,1667946899999,0.92983740,6,0.00000000,0.00000000,0
4,1667946900000,0.00030320,0.00030340,0.00030290,0.00030340,1281.00000000,1667946959999,0.38839280,6,1231.00000000,0.37324640,0
5,1667946960000,0.00030290,0.00030320,0.00030250,0.00030310,10582.00000000,1667947019999,3.20489910,18,5100.00000000,1.54574220,0
6,1667947020000,0.00030300,0.00030320,0.00030300,0.00030300,1168.00000000,1667947079999,0.35402540,5,963.00000000,0.29191040,0
7,1667947080000,0.00030320,0.00030360,0.00030260,0.00030260,11831.00000000,1667947139999,3.58196480,14,2038.00000000,0.61808080,0
8,1667947140000,0.00030300,0.00030310,0.00030280,0.00030310,4950.00000000,1667947199999,1.49891110,4,253.00000000,0.07665950,0
9,1667947200000,0.00030280,0.00030350,0.00030280,0.00030310,7776.00000000,1667947259999,2.35744700,14,1829.00000000,0.55474590,0
10,1667947260000,0.00030350,0.00030390,0.00030350,0.00030390,982.00000000,1667947319999,0.29826340,3,982.00000000,0.29826340,0
11,1667947320000,0.00030380,0.00030380,0.00030310,0.00030310,873.00000000,1667947379999,0.26478960,3,66.00000000,0.02005080,0
12,1667947380000,0.00030370,0.00030370,0.00030320,0.00030320,999.00000000,1667947439999,0.30290030,2,7.00000000,0.00212590,0
13,1667947440000,0.00030350,0.00030350,0.00030340,0.00030340,6022.00000000,1667947499999,1.82754190,4,0.00000000,0.00000000,0
14,1667947500000,0.00030350,0.00030370,0.00030310,0.00030310,308.00000000,1667947559999,0.09337100,8,5.00000000,0.00151850,0
15,1667947560000,0.00030320,0.00030320,0.00030300,0.00030300,670.00000000,1667947619999,0.20312600,4,580.00000000,0.17585600,0
