,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946840000,0.35250000,0.35250000,0.35250000,0.35250000,0.00000000,1667946899999,0.00000000,0,0.00000000,0.00000000,0
1,1667946900000,0.35250000,0.35250000,0.35250000,0.35250000,0.00000000,1667946959999,0.00000000,0,0.00000000,0.00000000,0
2,1667946960000,0.35250000,0.35250000,0.35250000,0.35250000,0.17801000,1667947019999,0.06274852,1,0.00000000,0.00000000,0
3,1667947020000,0.35250000,0.35250000,0.35250000,0.35250000,0.00000000,1667947079999,0.00000000,0,0.00000000,0.00000000,0
4,1667947080000,0.35320000,0.35420000,0.35240000,0.35250000,0.07810000,1667947139999,0.02757042,9,0.07639000,0.02696709,0
5,1667947140000,0.35260000,0.35260000,0.35260000,0.35260000,0.00033000,1667947199999,0.00011635,1,0.00000000,0.00000000,0
6,1667947200000,0.35260000,0.35260000,0.35260000,0.35260000,0.00000000,1667947259999,0.00000000,0,0.00000000,0.00000000,0
7,1667947260000,0.35260000,0.35260000,0.35260000,0.35260000,0.00000000,1667947319999,0.00000000,0,0.00000000,0.00000000,0
8,1667947320000,0.35310000,0.35320000,0.35260000,0.35320000,0.14964000,1667947379999,0.05284921,6,0.14874000,0.05253187,0
9,1667947380000,0.35320000,0.35320000,0.35320000,0.35320000,0.00000000,1667947439999,0.00000000,0,0.00000000,0.00000000,0
10,1667947440000,0.35320000,0.35320000,0.35320000,0.35320000,0.00000000,1667947499999,0.00000000,0,0.00000000,0.00000000,0
11,1667947500000,0.35320000,0.35320000,0.35320000,0.35320000,0.00000000,1667947559999,0.00000000,0,0.00000000,0.00000000,0
12,1667947560000,0.35370000,0.35400000,0.35370000,0.35400000,0.01574000,1667947619999,0.00556766,2,0.01574000,0.00556766,0
13,1667947620000,0.35400000,0.35400000,0.35400000,0.35400000,0.00029000,1667947679999,0.00010266,1,0.00000000,0.00000000,0
14,1667947680000,0.35500000,0.35500000,0.35500000,0.35500000,0.00095000,1667947739999,0.00033725,1,0.00095000,0.00033725,0
15,1667947740000,0.35350000,0.35350000,0.35350000,0.35350000,0.00585000,1667947799999,0.00206797,1,0.00585000,0.00206797,0
16,1667947800000,0.35350000,0.35350000,0.35350000,0.35350000,0.08461000,1667947859999,0.02990962,4,0.00000000,0.00000000,0
17,1667947860000,0.35350000,0.35350000,0.35260000,0.35260000,0.05708000,1667947919999,0.02016774,6,0.00000000,0.00000000,0
18,1667947920000,0.35320000,0.35320000,0.35320000,0.35320000,0.01174000,1667947979999,0.00414656,1,0.00000000,0.00000000,0
19,1667947980000,0.35400000,0.35570000,0.35400000,0.35570000,0.02234000,1667948039999,0.00793949,5,0.02234000,0.00793949,0
20,1667948040000,0.35560000,0.35570000,0.35560000,0.35570000,0.10000000,1667948099999,0.03556630,3,0.10000000,0.03556630,0
21,1667948100000,0.35540000,0.35540000,0.35540000,0.35540000,0.03042000,1667948159999,0.01081126,1,0.03042000,0.01081126,0
22,1667948160000,0.35540000,0.35540000,0.35540000,0.35540000,0.00284000,1667948219999,0.00100933,2,0.00000000,0.00000000,0
23,1667948220000,0.35550000,0.35570000,0.35550000,0.35550000,0.06277000,1667948279999,0.02232450,5,0.06113000,0.02174148,0
24,1667948280000,0.35400000,0.35400000,0.35400000,0.35400000,0.00142000,1667948339999,0.00050268,1,0.00000000,0.00000000,0
25,1667948340000,0.35440000,0.35450000,0.35440000,0.35450000,0.00058000,1667948399999,0.00020557,2,0.00058000,0.00020557,0
26,1667948400000,0.35450000,0.35450000,0.35450000,0.35450000,0.00000000,1667948459999,0.00000000,0,0.00000000,0.00000000,0
27,1667948460000,0.35350000,0.35350000,0.35290000,0.35290000,0.01799000,1667948519999,0.00635692,5,0.01573000,0.00555911,0
28,1667948520000,0.35340000,0.35340000,0.35340000,0.35340000,0.00911000,1667948579999,0.00321947,1,0.00911000,0.00321947,0
29,1667948580000,0.35400000,0.35410000,0.35400000,0.35410000,0.00773000,1667948639999,0.00273705,2,0.00142000,0.00050268,0
30,1667948640000,0.35500000,0.35710000,0.35500000,0.35710000,0.19056000,1667948699999,0.06797396,8,0.19056000,0.06797396,0
31,1667948700000,0.35680000,0.35750000,0.35580000,0.35680000,0.22442000,1667948759999,0.08012502,10,0.20301000,0.07250692,0
32,1667948760000,0.35720000,0.35820000,0.35630000,0.35630000,0.19196000,1667948819999,0.06871954,10,0.18986000,0.06797131,0
33,1667948820000,0.35610000,0.35810000,0.35610000,0.35610000,0.19991000,1667948879999,0.07138767,10,0.19709000,0.07038347,0
34,1667948880000,0.35620000,0.35880000,0.35580000,0.35580000,0.29025000,1667948939999,0.10386142,23,0.28347000,0.10144758,0
35,1667948940000,0.35580000,0.35580000,0.35580000,0.35580000,0.00000000,1667948999999,0.00000000,0,0.00000000,0.00000000,0
36,1667949000000,0.35670000,0.35720000,0.35630000,0.35660000,0.01409000,1667949059999,0.00502664,8,0.00290000,0.00103567,0
37,1667949060000,0.35720000,0.35720000,0.35720000,0.35720000,0.00315000,1667949119999,0.00112516,3,0.00108000,0.00038577,0
38,1667949120000,0.35750000,0.35750000,0.35750000,0.35750000,0.15577000,1667949179999,0.05568777,1,0.00000000,0.00000000,0
39,1667949180000,0.35720000,0.35720000,0.35640000,0.35640000,0.16378000,1667949239999,0.05850177,2,0.00000000,0.00000000,0
40,1667949240000,0.35750000,0.35820000,0.35740000,0.35740000,0.00280000,1667949299999,0.00100235,5,0.00169000,0.00060515,0
41,1667949300000,0.35770000,0.35880000,0.35770000,0.35880000,0.09738000,1667949359999,0.03493848,5,0.09548000,0.03425821,0
42,1667949360000,0.35900000,0.35960000,0.35740000,0.35770000,0.05058000,1667949419999,0.01814619,10,0.04749000,0.01704071,0
43,1667949420000,0.35830000,0.35860000,0.35770000,0.35810000,0.08399000,1667949479999,0.03009889,9,0.08321000,0.02981986,0
44,1667949480000,0.35760000,0.35760000,0.35720000,0.35720000,0.00496000,1667949539999,0.00177313,3,0.00000000,0.00000000,0
45,1667949540000,0.35820000,0.35820000,0.35820000,0.35820000,0.00140000,1667949599999,0.00050148,1,0.00140000,0.00050148,0
46,1667949600000,0.35820000,0.35820000,0.35820000,0.35820000,0.00000000,1667949659999,0.00000000,0,0.00000000,0.00000000,0
47,1667949660000,0.35820000,0.35820000,0.35820000,0.35820000,0.00000000,1667949719999,0.00000000,0,0.00000000,0.00000000,0
48,1667949720000,0.35820000,0.35820000,0.35820000,0.35820000,0.00000000,1667949779999,0.00000000,0,0.00000000,0.00000000,0
49,1667949780000,0.35870000,0.35990000,0.35870000,0.35990000,0.02669000,1667949839999,0.00960043,6,0.02669000,0.00960043,0
