,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946840000,6553.00000000,6553.00000000,6539.00000000,6539.00000000,1.32430000,1667946899999,8668.42116000,20,1.02113000,6685.98287000,0
1,1667946900000,6539.00000000,6539.00000000,6531.00000000,6531.00000000,0.01757000,1667946959999,114.84151000,5,0.00783000,51.20037000,0
2,1667946960000,6536.00000000,6537.00000000,6536.00000000,6536.00000000,0.03524000,1667947019999,230.35920000,3,0.00168000,10.98048000,0
3,1667947020000,6540.00000000,6540.00000000,6525.00000000,6534.00000000,0.33927000,1667947079999,2218.62099000,7,0.13543000,885.53154000,0
4,1667947080000,6538.00000000,6546.00000000,6534.00000000,6546.00000000,0.99307000,1667947139999,6494.95576000,12,0.61105000,3998.79133000,0
5,1667947140000,6545.00000000,6545.00000000,6514.00000000,6514.00000000,0.31805000,1667947199999,2075.41850000,14,0.02611000,170.75603000,0
6,1667947200000,6514.00000000,6523.00000000,6507.00000000,6518.00000000,4.50015000,1667947259999,29301.72424000,27,4.07179000,26508.39929000,0
7,1667947260000,6512.00000000,6525.00000000,6511.00000000,6524.00000000,0.35950000,1667947319999,2343.28521000,6,0.06945000,453.11562000,0
8,1667947320000,6531.00000000,6542.00000000,6526.00000000,6542.00000000,3.03684000,1667947379999,19849.17195000,23,2.68319000,17538.02200000,0
9,1667947380000,6541.00000000,6545.00000000,6530.00000000,6530.00000000,1.18399000,1667947439999,7736.06119000,14,0.14069000,920.50583000,0
10,1667947440000,6543.00000000,6544.00000000,6529.00000000,6532.00000000,0.16838000,1667947499999,1100.46840000,7,0.10538000,689.11540000,0
11,1667947500000,6529.00000000,6546.00000000,6529.00000000,6541.00000000,3.98969000,1667947559999,26096.34610000,33,0.69622000,4553.86707000,0
12,1667947560000,6541.00000000,6568.00000000,6539.00000000,6567.00000000,6.47986000,1667947619999,42446.63774000,37,5.88543000,38552.62400000,0
13,1667947620000,6565.00000000,6565.00000000,6560.00000000,6560.00000000,0.28130000,1667947679999,1846.34823000,6,0.00000000,0.00000000,0
14,1667947680000,6563.00000000,6568.00000000,6559.00000000,6559.00000000,0.88550000,1667947739999,5811.74139000,17,0.37349000,2452.26909000,0
15,1667947740000,6543.00000000,6548.00000000,6500.00000000,6500.00000000,2.44268000,1667947799999,15920.20369000,30,2.10076000,13691.14366000,0
16,1667947800000,6509.00000000,6509.00000000,6493.00000000,6496.00000000,0.18534000,1667947859999,1203.96192000,8,0.00170000,11.06530000,0
17,1667947860000,6500.00000000,6517.00000000,6499.00000000,6517.00000000,0.96715000,1667947919999,6289.80279000,16,0.88530000,5757.17198000,0
18,1667947920000,6509.00000000,6509.00000000,6496.00000000,6496.00000000,0.10627000,1667947979999,690.98986000,3,0.03276000,213.23484000,0
19,1667947980000,6504.00000000,6558.00000000,6495.00000000,6555.00000000,3.82499000,1667948039999,24970.62538000,39,3.26740000,21343.69229000,0
20,1667948040000,6555.00000000,6585.00000000,6549.00000000,6573.00000000,0.92292000,1667948099999,6064.09775000,19,0.68907000,4531.00340000,0
21,1667948100000,6561.00000000,6561.00000000,6559.00000000,6559.00000000,0.09721000,1667948159999,637.79053000,3,0.00000000,0.00000000,0
22,1667948160000,6579.00000000,6586.00000000,6575.00000000,6575.00000000,0.42553000,1667948219999,2800.86871000,8,0.34633000,2280.12263000,0
23,1667948220000,6569.00000000,6573.00000000,6562.00000000,6562.00000000,0.30771000,1667948279999,2021.12500000,6,0.18903000,1241.71676000,0
24,1667948280000,6551.00000000,6561.00000000,6523.00000000,6523.00000000,0.20880000,1667948339999,1365.80950000,10,0.01560000,102.09482000,0
25,1667948340000,6531.00000000,6548.00000000,6531.00000000,6539.00000000,0.67918000,1667948399999,4438.59931000,8,0.64860000,4238.63669000,0
26,1667948400000,6539.00000000,6539.00000000,6521.00000000,6521.00000000,0.18066000,1667948459999,1179.40571000,8,0.00000000,0.00000000,0
27,1667948460000,6517.00000000,6520.00000000,6490.00000000,6500.00000000,0.34411000,1667948519999,2240.40110000,16,0.30638000,1994.80647000,0
28,1667948520000,6500.00000000,6512.00000000,6500.00000000,6512.00000000,0.34643000,1667948579999,2252.72848000,9,0.34643000,2252.72848000,0
29,1667948580000,6520.00000000,6554.00000000,6520.00000000,6554.00000000,0.68927000,1667948639999,4506.20053000,28,0.66644000,4356.87314000,0
30,1667948640000,6580.00000000,6597.00000000,6567.00000000,6587.00000000,1.12753000,1667948699999,7430.02576000,19,1.01802000,6709.54759000,0
31,1667948700000,6587.00000000,6609.00000000,6585.00000000,6609.00000000,0.22501000,1667948759999,1483.88785000,12,0.21695000,1430.77245000,0
32,1667948760000,6610.00000000,6620.00000000,6602.00000000,6620.00000000,1.08134000,1667948819999,7155.51611000,16,1.07651000,7123.62579000,0
33,1667948820000,6598.00000000,6605.00000000,6590.00000000,6595.00000000,1.00590000,1667948879999,6635.23150000,20,0.17654000,1165.11837000,0
34,1667948880000,6601.00000000,6601.00000000,6591.00000000,6593.00000000,0.17092000,1667948939999,1127.46811000,11,0.13182000,869.68584000,0
35,1667948940000,6589.00000000,6614.00000000,6581.00000000,6614.00000000,0.41868000,1667948999999,2763.88698000,13,0.38701000,2555.24688000,0
36,1667949000000,6621.00000000,6638.00000000,6610.00000000,6627.00000000,0.36154000,1667949059999,2395.66596000,23,0.29637000,1963.76947000,0
37,1667949060000,6634.00000000,6642.00000000,6619.00000000,6628.00000000,0.35167000,1667949119999,2331.40410000,16,0.16331000,1082.46106000,0
38,1667949120000,6630.00000000,6631.00000000,6605.00000000,6605.00000000,0.16635000,1667949179999,1101.41580000,13,0.11231000,743.96001000,0
39,1667949180000,6608.00000000,6622.00000000,6607.00000000,6622.00000000,0.09617000,1667949239999,635.73727000,8,0.06037000,399.20667000,0
40,1667949240000,6618.00000000,6641.00000000,6618.00000000,6641.00000000,0.05831000,1667949299999,386.18906000,4,0.05831000,386.18906000,0
41,1667949300000,6640.00000000,6651.00000000,6637.00000000,6651.00000000,0.09323000,1667949359999,618.98026000,7,0.09323000,618.98026000,0
42,1667949360000,6651.00000000,6664.00000000,6605.00000000,6605.00000000,0.46231000,1667949419999,3075.18425000,34,0.33114000,2204.70360000,0
43,1667949420000,6617.00000000,6623.00000000,6600.00000000,6600.00000000,0.53218000,1667949479999,3518.95221000,20,0.33336000,2206.18624000,0
44,1667949480000,6601.00000000,6601.00000000,6567.00000000,6592.00000000,1.02366000,1667949539999,6743.60154000,23,0.01247000,82.22525000,0
45,1667949540000,6589.00000000,6606.00000000,6572.00000000,6606.00000000,0.26722000,1667949599999,1761.20332000,13,0.21749000,1433.99801000,0
46,1667949600000,6584.00000000,6592.00000000,6571.00000000,6592.00000000,0.05502000,1667949659999,361.96286000,8,0.01619000,106.72448000,0
47,1667949660000,6592.00000000,6592.00000000,6566.00000000,6583.00000000,0.20758000,1667949719999,1365.96665000,12,0.02959000,194.80537000,0
48,1667949720000,6578.00000000,6605.00000000,6574.00000000,6605.00000000,0.15156000,1667949779999,997.86152000,4,0.00794000,52.44370000,0
