,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667946720000,41.70000000,41.80000000,41.70000000,41.80000000,19.21900000,1667946779999,803.25770000,8,18.25400000,763.01720000,0
1,1667946780000,41.80000000,41.80000000,41.80000000,41.80000000,0.87900000,1667946839999,36.74220000,3,0.87900000,36.74220000,0
2,1667946840000,41.70000000,41.70000000,41.60000000,41.70000000,87.34800000,1667946899999,3642.36790000,36,0.25100000,10.46670000,0
3,1667946900000,41.60000000,41.70000000,41.60000000,41.60000000,12.06700000,1667946959999,502.35440000,9,3.67200000,153.12240000,0
4,1667946960000,41.60000000,41.70000000,41.60000000,41.70000000,41.97200000,1667947019999,1747.72620000,7,16.91000000,705.14700000,0
5,1667947020000,41.70000000,41.70000000,41.50000000,41.50000000,226.67100000,1667947079999,9429.90330000,23,0.00000000,0.00000000,0
6,1667947080000,41.50000000,41.50000000,41.50000000,41.50000000,0.99900000,1667947139999,41.45850000,1,0.00000000,0.00000000,0
7,1667947140000,41.50000000,41.60000000,41.50000000,41.60000000,101.49100000,1667947199999,4221.87650000,7,100.00000000,4160.00000000,0
8,1667947200000,41.50000000,41.60000000,41.50000000,41.60000000,6.41400000,1667947259999,266.26070000,5,3.29900000,136.98820000,0
9,1667947260000,41.60000000,41.60000000,41.50000000,41.50000000,8.69700000,1667947319999,361.73500000,5,8.09500000,336.75200000,0
10,1667947320000,41.60000000,41.70000000,41.60000000,41.60000000,147.55100000,1667947379999,6148.09890000,21,107.78900000,4493.99970000,0
11,1667947380000,41.70000000,41.80000000,41.70000000,41.80000000,73.30900000,1667947439999,3057.12590000,9,50.93000000,2123.92160000,0
12,1667947440000,41.80000000,41.80000000,41.70000000,41.70000000,139.82000000,1667947499999,5830.54190000,23,12.85200000,535.97630000,0
13,1667947500000,41.60000000,41.60000000,41.60000000,41.60000000,30.37800000,1667947559999,1263.72480000,8,6.96500000,289.74400000,0
14,1667947560000,41.60000000,41.70000000,41.60000000,41.70000000,17.43000000,1667947619999,725.56870000,5,17.43000000,725.56870000,0
